,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,MI,CHAIN PHARMACY,AK,ANCHORAGE,9193,0.9081,200.0,7.5,201010,2420.0
1,IL,PRACTITIONER,AK,ANCHORAGE,9193,0.3027,100.0,5.0,200804,2470.0
2,IL,PRACTITIONER,AK,ANCHORAGE,9193,0.072648,24.0,5.0,200810,2697.0
3,IL,PRACTITIONER,AK,ANCHORAGE,9193,0.54486,180.0,5.0,200802,2499.0
4,IL,PRACTITIONER,AK,ANCHORAGE,9193,0.18162,30.0,10.0,200803,2660.0
5,IL,PRACTITIONER,AK,ANCHORAGE,9193,0.36324,60.0,10.0,200901,2513.0
6,IL,PRACTITIONER,AK,ANCHORAGE,9193,4.08645,900.0,7.5,200703,2485.0
7,IL,PRACTITIONER,AK,ANCHORAGE,9193,0.12108,40.0,5.0,200705,2529.0
8,IL,PRACTITIONER,AK,BETHEL,9193,0.27243,90.0,5.0,200902,18.0
9,CA,PRACTITIONER,AK,ANCHORAGE,9193,0.108972,36.0,5.0,200911,2441.0
10,CA,PRACTITIONER,AK,ANCHORAGE,9193,0.136215,30.0,7.5,200908,2523.0
11,CA,PRACTITIONER,AK,ANCHORAGE,9143,0.6051375,90.0,7.5,201008,3463.0
12,CA,PRACTITIONER,AK,ANCHORAGE,9193,0.681075,150.0,7.5,201104,2552.0
13,CA,PRACTITIONER,AK,BETHEL,9193,1.36215,300.0,7.5,201108,20.0
14,AL,RETAIL PHARMACY,AK,MATANUSKA SUSITNA,9193,4.5405,1000.0,7.5,200804,1129.0
15,IN,PRACTITIONER,AK,ANCHORAGE,9193,0.45405,100.0,7.5,200609,2157.0
16,IN,PRACTITIONER,AK,HAINES,9193,1.5135,500.0,5.0,201106,7.0
17,IN,PRACTITIONER,AK,KENAI PENINSULA,9193,0.9081,200.0,7.5,200806,515.0
18,IN,PRACTITIONER,AK,KODIAK ISLAND,9193,0.6054,200.0,5.0,200811,82.0
19,IN,PRACTITIONER,AK,HAINES,9143,0.959148,200.0,5.35,200801,26.0
