,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,AL,COVINGTON,9193,6.0539999999999985,1000.0,10.0,200603,582.0
1,NY,RETAIL PHARMACY,AL,COVINGTON,9193,1.36215,300.0,7.5,200607,523.0
2,NY,RETAIL PHARMACY,AL,COVINGTON,9193,2.27025,500.0,7.5,200612,559.0
4,NY,RETAIL PHARMACY,AL,WALKER,9193,27.243,6000.0,7.5,200704,1512.0
5,NY,RETAIL PHARMACY,AL,COLBERT,9193,4.5405,1000.0,7.5,200603,844.0
6,GA,RETAIL PHARMACY,AL,JEFFERSON,9193,0.6054,200.0,5.0,201212,13868.0
7,GA,RETAIL PHARMACY,AL,JEFFERSON,9193,4.5405,1000.0,7.5,201206,12294.0
9,GA,RETAIL PHARMACY,AL,MACON,9193,3.027,500.0,10.0,200810,111.0
10,GA,RETAIL PHARMACY,AL,MACON,9193,3.027,500.0,10.0,200901,113.0
11,GA,RETAIL PHARMACY,AL,COVINGTON,9193,12.108,2000.0,10.0,200807,629.0
12,GA,RETAIL PHARMACY,AL,COVINGTON,9193,18.162,4000.0,7.5,200911,677.0
13,GA,RETAIL PHARMACY,AL,COVINGTON,9193,3.027,500.0,10.0,201009,923.0
14,GA,RETAIL PHARMACY,AL,COVINGTON,9193,18.162,4000.0,7.5,201010,821.0
15,GA,RETAIL PHARMACY,AL,COVINGTON,9193,24.216,4000.0,10.0,201106,882.0
17,GA,RETAIL PHARMACY,AL,RUSSELL,9193,6.0539999999999985,1000.0,10.0,201111,1095.0
18,GA,RETAIL PHARMACY,AL,JEFFERSON,9193,2.27025,500.0,7.5,201201,12124.0
19,GA,RETAIL PHARMACY,AL,JEFFERSON,9193,6.0539999999999985,1000.0,10.0,201211,13495.0
20,GA,RETAIL PHARMACY,AL,GENEVA,9193,2.27025,500.0,7.5,200611,222.0
21,GA,RETAIL PHARMACY,AL,GENEVA,9193,3.027,1000.0,5.0,200703,220.0
23,GA,RETAIL PHARMACY,AL,GENEVA,9193,4.5405,1000.0,7.5,200704,274.0
24,GA,RETAIL PHARMACY,AL,GENEVA,9193,0.408645,90.0,7.5,200707,208.0
25,GA,RETAIL PHARMACY,AL,GENEVA,9193,3.027,1000.0,5.0,200708,206.0
26,GA,RETAIL PHARMACY,AL,GENEVA,9193,4.5405,1000.0,7.5,200709,192.0
27,GA,RETAIL PHARMACY,AL,GENEVA,9193,2.27025,500.0,7.5,200804,234.0
28,GA,RETAIL PHARMACY,AL,SHELBY,9193,0.136215,30.0,7.5,200812,2288.0
29,GA,RETAIL PHARMACY,AL,SHELBY,9193,6.0539999999999985,1000.0,10.0,201110,2534.0
30,GA,RETAIL PHARMACY,AL,SHELBY,9193,3.027,500.0,10.0,201207,2579.0
31,GA,RETAIL PHARMACY,AL,ETOWAH,9193,9.081,1500.0,10.0,201003,1945.0
32,GA,RETAIL PHARMACY,AL,ETOWAH,9193,15.135,2500.0,10.0,201012,1849.0
33,GA,RETAIL PHARMACY,AL,ETOWAH,9193,18.162,3000.0,10.0,201107,2437.0
34,GA,RETAIL PHARMACY,AL,HOUSTON,9193,3.027,500.0,10.0,200705,1986.0
35,GA,RETAIL PHARMACY,AL,HOUSTON,9193,3.027,500.0,10.0,200706,1596.0
38,GA,RETAIL PHARMACY,AL,HOUSTON,9193,3.027,500.0,10.0,200710,1480.0
41,GA,RETAIL PHARMACY,AL,HOUSTON,9193,0.136215,30.0,7.5,200711,1485.0
42,GA,RETAIL PHARMACY,AL,JEFFERSON,9193,3.027,1000.0,5.0,201205,12911.0
43,GA,RETAIL PHARMACY,AL,JEFFERSON,9193,6.0539999999999985,1000.0,10.0,201208,15059.0
45,GA,RETAIL PHARMACY,AL,BARBOUR,9193,0.15135,100.0,2.5,200802,251.0
46,GA,PRACTITIONER-DW/100,AL,COVINGTON,9193,3.027,500.0,10.0,201008,869.0
47,GA,PRACTITIONER-DW/100,AL,COVINGTON,9193,3.027,500.0,10.0,201108,890.0
