,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,AR,SEBASTIAN,9143,43.032,600.0,80.0,200610,2208.0
1,NY,RETAIL PHARMACY,AR,CLARK,9193,0.9081,200.0,7.5,200704,256.0
2,NY,RETAIL PHARMACY,AR,IZARD,9143,14.344,200.0,80.0,200612,150.0
3,VA,PRACTITIONER,AR,CRAWFORD,9193,0.45405,100.0,7.5,200809,1172.0
4,VA,PRACTITIONER,AR,CRAWFORD,9193,0.45405,100.0,7.5,200905,1287.0
5,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,1.5135,500.0,5.0,201201,2458.0
6,IL,RETAIL PHARMACY,AR,WASHINGTON,9143,0.8965,100.0,10.0,201201,2753.0
9,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,3.027,500.0,10.0,201202,2317.0
13,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,2.27025,500.0,7.5,201203,2443.0
15,IL,RETAIL PHARMACY,AR,WASHINGTON,9143,2.6895,200.0,15.0,201204,2652.0
17,IL,RETAIL PHARMACY,AR,WASHINGTON,9143,2.6895,300.0,10.0,201205,2879.0
18,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,1.5135,500.0,5.0,201207,2143.0
20,IL,RETAIL PHARMACY,AR,WASHINGTON,9143,0.8965,100.0,10.0,201207,2864.0
21,IL,RETAIL PHARMACY,AR,WASHINGTON,9143,10.758,400.0,30.0,201208,2873.0
23,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,3.027,500.0,10.0,201208,2248.0
24,IL,RETAIL PHARMACY,AR,WASHINGTON,9143,5.379,200.0,30.0,201209,2605.0
25,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,2.27025,500.0,7.5,201209,2027.0
28,IL,RETAIL PHARMACY,AR,WASHINGTON,9193,0.3027,100.0,5.0,201210,2241.0
