,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,AZ,RETAIL PHARMACY,AZ,MARICOPA,9193,0.12108,40.0,1.0,5.0,200903,28491.0
1,AZ,PRACTITIONER,AZ,MARICOPA,9193,3.6324,1200.0,1.0,5.0,200811,23695.0
2,AZ,PRACTITIONER,AZ,MARICOPA,9193,2.7243,600.0,1.0,7.5,200906,26088.0
3,AZ,PRACTITIONER,AZ,MARICOPA,9193,0.9081,300.0,1.0,5.0,200910,26705.0
4,AZ,PRACTITIONER,AZ,MARICOPA,9193,1.8162,600.0,1.0,5.0,201003,28918.0
5,AZ,PRACTITIONER,AZ,MARICOPA,9193,0.227025,75.0,1.0,5.0,200710,23135.0
6,AZ,PRACTITIONER,AZ,MARICOPA,9193,0.45405,150.0,1.0,5.0,200801,23958.0
7,AZ,PRACTITIONER,AZ,MARICOPA,9193,0.45405,150.0,1.0,5.0,200807,22601.0
8,AZ,PRACTITIONER,AZ,MARICOPA,9193,0.45405,150.0,1.0,5.0,201212,33855.0
9,AZ,PRACTITIONER-DW/275,AZ,MARICOPA,9193,0.6054,200.0,1.0,5.0,201207,27727.0
11,AZ,PRACTITIONER,AZ,MARICOPA,9193,3.6324,1200.0,1.0,5.0,200709,19943.0
14,AZ,PRACTITIONER,AZ,MARICOPA,9193,1.36215,300.0,1.0,7.5,201202,32031.0
15,AZ,PRACTITIONER-DW/275,AZ,MARICOPA,9193,0.6054,200.0,1.0,5.0,201101,32105.0
16,AZ,RETAIL PHARMACY,AZ,MARICOPA,9193,0.072648,24.0,1.0,5.0,200911,25256.0
17,AZ,RETAIL PHARMACY,AZ,MARICOPA,9193,0.054486,18.0,1.0,5.0,201009,28083.0
18,AZ,RETAIL PHARMACY,AZ,MARICOPA,9193,0.408645,90.0,1.0,7.5,201012,31877.0
20,AZ,PRACTITIONER,AZ,MARICOPA,9193,2.7243,600.0,1.0,7.5,201205,32464.0
21,AZ,PRACTITIONER,AZ,MARICOPA,9193,1.8162,600.0,1.0,5.0,201211,34668.0
22,AZ,PRACTITIONER,AZ,MARICOPA,9193,1.8162,600.0,1.0,5.0,200804,23509.0
23,AZ,PRACTITIONER,AZ,MARICOPA,9193,1.8162,600.0,1.0,5.0,200901,24668.0
25,AZ,PRACTITIONER,AZ,MARICOPA,9193,2.7243,600.0,1.0,7.5,201208,32834.0
27,AZ,PRACTITIONER,AZ,MARICOPA,9193,2.7243,600.0,1.0,7.5,201112,33339.0
29,NY,RETAIL PHARMACY,AZ,MARICOPA,9193,2.27025,500.0,1.0,7.5,200601,15813.0
30,VA,PRACTITIONER,AZ,MARICOPA,9193,1.2108,200.0,1.0,10.0,200806,22681.0
31,AZ,RETAIL PHARMACY,AZ,MARICOPA,9143,7.1720000000000015,200.0,1.5,40.0,200710,41300.0
32,AZ,RETAIL PHARMACY,AZ,MARICOPA,9143,16.137,300.0,1.5,60.0,201003,61366.0
33,AZ,RETAIL PHARMACY,AZ,MARICOPA,9143,4.4825,1000.0,1.5,5.0,200605,31607.0
34,AZ,RETAIL PHARMACY,AZ,MARICOPA,9193,7.5675,2500.0,1.0,5.0,200606,21864.0
