,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,AZ,PRACTITIONER,CA,VENTURA,9193,0.6054,200.0,1.0,5.0,200702,5918.0
1,NY,RETAIL PHARMACY,CA,ORANGE,9193,1.36215,300.0,1.0,7.5,200611,27561.0
2,NY,RETAIL PHARMACY,CA,ORANGE,9193,2.27025,500.0,1.0,7.5,200610,28967.0
3,NY,RETAIL PHARMACY,CA,SAN DIEGO,9193,36.324,6000.0,1.0,10.0,200602,21983.0
4,NY,RETAIL PHARMACY,CA,SAN DIEGO,9193,9.081,3000.0,1.0,5.0,200603,25004.0
5,NY,RETAIL PHARMACY,CA,LOS ANGELES,9193,3.027,500.0,1.0,10.0,200701,88953.0
6,NY,RETAIL PHARMACY,CA,RIVERSIDE,9143,1.793,100.0,1.5,20.0,200702,5225.0
7,GA,RETAIL PHARMACY,CA,SAN LUIS OBISPO,9193,2.27025,500.0,1.0,7.5,201204,3455.0
8,GA,RETAIL PHARMACY,CA,VENTURA,9193,2.27025,500.0,1.0,7.5,201202,7465.0
9,GA,RETAIL PHARMACY,CA,HUMBOLDT,9193,9.081,1500.0,1.0,10.0,201110,2266.0
10,GA,RETAIL PHARMACY,CA,HUMBOLDT,9193,9.081,1500.0,1.0,10.0,201111,2339.0
12,GA,RETAIL PHARMACY,CA,HUMBOLDT,9193,12.108,2000.0,1.0,10.0,201201,2243.0
13,GA,RETAIL PHARMACY,CA,HUMBOLDT,9193,6.0539999999999985,1000.0,1.0,10.0,201211,2659.0
14,OH,RETAIL PHARMACY,CA,SAN BERNARDINO,9193,3.027,1000.0,1.0,5.0,201108,26679.0
15,OH,RETAIL PHARMACY,CA,MENDOCINO,9193,1.5135,500.0,1.0,5.0,201111,1161.0
16,CA,CHAIN PHARMACY,CA,VENTURA,9143,1.793,200.0,1.5,10.0,200610,2118.0
17,CA,CHAIN PHARMACY,CA,VENTURA,9143,3.5860000000000003,100.0,1.5,40.0,200611,2123.0
18,CA,CHAIN PHARMACY,CA,VENTURA,9143,2.6895,100.0,1.5,30.0,200612,2289.0
