,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,AZ,PRACTITIONER,CO,PUEBLO,9193,0.45405,150.0,5.0,200901,2162.0
1,NY,RETAIL PHARMACY,CO,EL PASO,9193,0.9081,200.0,7.5,200604,2766.0
3,VA,PRACTITIONER,CO,JEFFERSON,9193,0.6054,200.0,5.0,200701,3110.0
4,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,300.0,5.0,200605,3317.0
5,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,100.0,15.0,200610,3757.0
6,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,4.03425,300.0,15.0,200611,3513.0
8,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,200.0,10.0,200704,3586.0
9,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,600.0,5.0,200706,3903.0
10,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,200.0,10.0,200708,4284.0
11,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,7.1720000000000015,200.0,40.0,200709,3702.0
12,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,300.0,5.0,200710,4461.0
14,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,0.8965,200.0,5.0,200802,4157.0
16,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.6054,100.0,10.0,200803,2755.0
17,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,7.1720000000000015,200.0,40.0,200803,4540.0
18,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.45405,100.0,7.5,200804,3297.0
21,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.45405,100.0,7.5,200805,2958.0
22,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,600.0,5.0,200807,4699.0
23,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.3027,100.0,5.0,200808,2760.0
24,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,5.379,400.0,15.0,200808,4901.0
27,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,100.0,20.0,200809,4773.0
30,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.6054,200.0,5.0,200810,3202.0
32,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,400.0,5.0,200811,4468.0
33,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.6054,100.0,10.0,200811,2734.0
35,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,100.0,15.0,200812,5160.0
36,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,0.45405,100.0,7.5,200901,3248.0
37,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,2.24125,500.0,5.0,200902,4002.0
39,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,300.0,5.0,200904,4967.0
40,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,200.0,10.0,200905,5185.0
41,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,200.0,15.0,200906,5077.0
42,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,1.2108,200.0,10.0,200907,3284.0
43,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,1.5135,500.0,5.0,200908,3001.0
45,CO,CHAIN PHARMACY,CO,ARAPAHOE,9193,1.2108,200.0,10.0,200910,3046.0
47,CO,CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,600.0,5.0,200910,5315.0
