,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,VT,RETAIL PHARMACY,CT,FAIRFIELD,9193,0.6054,100.0,1.0,10.0,200812,2378.0
1,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,18.8265,700.0,1.5,30.0,201007,10440.0
2,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,1.34475,300.0,1.5,5.0,201009,10621.0
3,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,500.0,1.5,30.0,201107,13209.0
4,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,8.0685,300.0,1.5,30.0,201110,12442.0
5,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,2.24125,500.0,1.5,5.0,201209,11652.0
6,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,500.0,1.5,30.0,201210,12473.0
7,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,2.24125,500.0,1.5,5.0,201212,12103.0
8,VT,RETAIL PHARMACY,CT,HARTFORD,9193,0.45405,100.0,1.0,7.5,200905,3145.0
9,VT,RETAIL PHARMACY,CT,HARTFORD,9193,1.5135,500.0,1.0,5.0,200911,2749.0
10,VT,RETAIL PHARMACY,CT,HARTFORD,9193,0.9081,200.0,1.0,7.5,201011,2873.0
11,VT,RETAIL PHARMACY,CT,HARTFORD,9193,0.45405,100.0,1.0,7.5,201202,3119.0
12,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,3.5860000000000003,100.0,1.5,40.0,200805,7939.0
13,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,2.6895,300.0,1.5,10.0,200811,8183.0
14,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,0.8965,100.0,1.5,10.0,200904,9288.0
15,VT,RETAIL PHARMACY,CT,LITCHFIELD,9193,0.9081,300.0,1.0,5.0,200812,1272.0
16,VT,RETAIL PHARMACY,CT,LITCHFIELD,9143,1.793,200.0,1.5,10.0,201207,2975.0
17,VT,RETAIL PHARMACY,CT,LITCHFIELD,9143,1.793,100.0,1.5,20.0,201210,3030.0
18,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,14.344,200.0,1.5,80.0,200712,8659.0
19,VT,RETAIL PHARMACY,CT,FAIRFIELD,9193,3.027,500.0,1.0,10.0,200801,2956.0
22,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,4.4825,500.0,1.5,10.0,200810,9038.0
23,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,8.0685,300.0,1.5,30.0,200903,9713.0
24,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,21.516,300.0,1.5,80.0,200905,8869.0
25,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,1.793,100.0,1.5,20.0,200908,8982.0
26,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,1.34475,200.0,1.5,7.5,200910,9447.0
27,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,5.379,100.0,1.5,60.0,200911,9221.0
28,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,14.344,200.0,1.5,80.0,200912,10906.0
29,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,10.758,1200.0,1.5,10.0,201002,9283.0
30,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,16.137,1200.0,1.5,15.0,201006,11380.0
33,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,1000.0,1.5,15.0,201008,10496.0
35,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,1.34475,200.0,1.5,7.5,201010,10577.0
37,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,10.758,1200.0,1.5,10.0,201102,10009.0
38,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,4.03425,300.0,1.5,15.0,201103,12084.0
39,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,1.793,100.0,1.5,20.0,201106,12344.0
42,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,43.032,600.0,1.5,80.0,201108,11901.0
47,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,2.24125,500.0,1.5,5.0,201111,11408.0
49,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,1000.0,1.5,15.0,201112,12370.0
50,VT,RETAIL PHARMACY,CT,FAIRFIELD,9193,2.27025,500.0,1.0,7.5,201201,2471.0
51,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,35.86,500.0,1.5,80.0,201202,10878.0
52,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,1.34475,100.0,1.5,15.0,201204,11533.0
54,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,3.5860000000000003,100.0,1.5,40.0,201206,12230.0
55,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,26.895,1000.0,1.5,30.0,201207,12113.0
57,VT,RETAIL PHARMACY,CT,FAIRFIELD,9143,64.548,2400.0,1.5,30.0,201211,12906.0
61,NY,RETAIL PHARMACY,CT,HARTFORD,9193,1.5135,500.0,1.0,5.0,200602,1631.0
62,NY,CHAIN PHARMACY,CT,NEW LONDON,9193,2.27025,500.0,1.0,7.5,200703,1015.0
63,NY,RETAIL PHARMACY,CT,NEW LONDON,9193,2.7243,600.0,1.0,7.5,200702,864.0
64,NY,RETAIL PHARMACY,CT,HARTFORD,9193,2.27025,500.0,1.0,7.5,200611,3091.0
65,NY,RETAIL PHARMACY,CT,HARTFORD,9193,3.027,500.0,1.0,10.0,200612,2910.0
66,NY,CHAIN PHARMACY,CT,HARTFORD,9143,4.482,1000.0,1.5,5.0,200601,8338.0
68,NY,CHAIN PHARMACY,CT,FAIRFIELD,9143,0.8965,100.0,1.5,10.0,200601,7691.0
69,NY,RETAIL PHARMACY,CT,FAIRFIELD,9193,0.45405,100.0,1.0,7.5,200603,1559.0
70,NY,RETAIL PHARMACY,CT,LITCHFIELD,9193,3.027,1000.0,1.0,5.0,200603,703.0
72,NY,CHAIN PHARMACY,CT,HARTFORD,9193,1.5135,500.0,1.0,5.0,200609,2803.0
73,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,4.5405,1000.0,1.0,7.5,200602,618.0
75,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.9081,200.0,1.0,7.5,200607,817.0
76,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,200609,859.0
77,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.3027,100.0,1.0,5.0,200709,1019.0
78,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,200901,954.0
79,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.45405,100.0,1.0,7.5,200903,1176.0
80,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,2.27025,500.0,1.0,7.5,200908,989.0
81,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,201003,1086.0
83,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.45405,100.0,1.0,7.5,201004,1047.0
84,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,1.5135,500.0,1.0,5.0,201005,1063.0
85,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,2.27025,500.0,1.0,7.5,201007,1056.0
86,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,1.5135,500.0,1.0,5.0,201008,1042.0
87,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,201012,1190.0
88,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,201101,1068.0
89,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,2.27025,500.0,1.0,7.5,201102,1018.0
91,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.45405,100.0,1.0,7.5,201107,1064.0
92,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.3027,100.0,1.0,5.0,201108,1228.0
93,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.45405,100.0,1.0,7.5,201112,1251.0
94,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,201201,997.0
95,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.6054,100.0,1.0,10.0,201202,1217.0
96,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,1.2108,200.0,1.0,10.0,201203,1118.0
97,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,0.3027,100.0,1.0,5.0,201206,1283.0
98,MD,CHAIN PHARMACY,CT,LITCHFIELD,9193,1.2108,200.0,1.0,10.0,201210,1321.0
99,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,0.6054,100.0,1.0,10.0,200604,1806.0
100,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,1.2108,200.0,1.0,10.0,200607,1993.0
101,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,0.6054,100.0,1.0,10.0,200611,2135.0
102,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,1.2108,200.0,1.0,10.0,200704,1939.0
103,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,0.6054,100.0,1.0,10.0,200710,2368.0
104,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,1.5135,500.0,1.0,5.0,200712,2744.0
105,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,2.27025,500.0,1.0,7.5,200803,2752.0
106,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,1.8162,300.0,1.0,10.0,200805,2231.0
108,MD,CHAIN PHARMACY,CT,FAIRFIELD,9193,1.5135,500.0,1.0,5.0,200806,2157.0
