,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,FL,PALM BEACH,9143,3.5860000000000003,100.0,1.5,40.0,200608,16422.0
1,NY,RETAIL PHARMACY,FL,PALM BEACH,9143,7.1720000000000015,800.0,1.5,10.0,200611,17950.0
2,NY,RETAIL PHARMACY,FL,PALM BEACH,9143,21.516,300.0,1.5,80.0,200702,18789.0
3,NY,RETAIL PHARMACY,FL,PALM BEACH,9143,21.516,300.0,1.5,80.0,200703,20716.0
4,NY,RETAIL PHARMACY,FL,PALM BEACH,9143,5.379,600.0,1.5,10.0,200704,18742.0
6,NY,RETAIL PHARMACY,FL,HERNANDO,9193,3.027,500.0,1.0,10.0,200611,1674.0
7,NY,RETAIL PHARMACY,FL,HERNANDO,9193,3.027,500.0,1.0,10.0,200612,2214.0
8,NY,RETAIL PHARMACY,FL,PINELLAS,9143,1.793,200.0,1.5,10.0,200704,14440.0
11,NY,RETAIL PHARMACY,FL,MIAMI-DADE,9193,1.2108,200.0,1.0,10.0,200603,6355.0
12,NY,RETAIL PHARMACY,FL,MIAMI-DADE,9193,2.27025,500.0,1.0,7.5,200704,4603.0
13,NY,RETAIL PHARMACY,FL,BROWARD,9193,6.0539999999999985,1000.0,1.0,10.0,200606,10287.0
14,NY,RETAIL PHARMACY,FL,BROWARD,9143,43.032,600.0,1.5,80.0,200701,36799.0
15,NY,RETAIL PHARMACY,FL,DUVAL,9193,3.027,500.0,1.0,10.0,200703,11268.0
16,NY,RETAIL PHARMACY,FL,DUVAL,9193,4.5405,1000.0,1.0,7.5,200704,10818.0
17,NY,RETAIL PHARMACY,FL,COLLIER,9193,3.027,500.0,1.0,10.0,200605,1299.0
18,NY,RETAIL PHARMACY,FL,COLLIER,9143,13.4475,1000.0,1.5,15.0,200605,3164.0
21,NY,RETAIL PHARMACY,FL,OKEECHOBEE,9143,0.672375,100.0,1.5,7.5,200701,683.0
22,NY,RETAIL PHARMACY,FL,PALM BEACH,9193,0.6054,100.0,1.0,10.0,200704,7537.0
23,NY,RETAIL PHARMACY,FL,BROWARD,9143,43.032,600.0,1.5,80.0,200702,33417.0
24,NY,RETAIL PHARMACY,FL,BROWARD,9143,5.379,300.0,1.5,20.0,200703,39549.0
25,NY,RETAIL PHARMACY,FL,LEE,9143,3.5860000000000003,200.0,1.5,20.0,200603,8701.0
26,NY,RETAIL PHARMACY,FL,LEE,9193,0.6054,100.0,1.0,10.0,200606,4004.0
27,NY,RETAIL PHARMACY,FL,LEE,9193,0.6054,100.0,1.0,10.0,200607,3803.0
28,NY,RETAIL PHARMACY,FL,LEE,9143,21.516,300.0,1.5,80.0,200608,8794.0
30,NY,RETAIL PHARMACY,FL,LEE,9143,3.5860000000000003,100.0,1.5,40.0,200609,7396.0
32,NY,RETAIL PHARMACY,FL,LEE,9143,1.793,200.0,1.5,10.0,200610,8298.0
34,NY,RETAIL PHARMACY,FL,LEE,9193,0.45405,100.0,1.0,7.5,200610,4117.0
35,NY,RETAIL PHARMACY,FL,LEE,9143,2.24125,500.0,1.5,5.0,200611,8451.0
36,NY,RETAIL PHARMACY,FL,LEE,9143,2.6895,300.0,1.5,10.0,200612,7661.0
39,NY,RETAIL PHARMACY,FL,LEE,9143,28.688,400.0,1.5,80.0,200701,7848.0
40,NY,RETAIL PHARMACY,FL,LEE,9193,1.5135,500.0,1.0,5.0,200701,4388.0
43,NY,RETAIL PHARMACY,FL,LEE,9143,7.1720000000000015,200.0,1.5,40.0,200702,7183.0
46,NY,RETAIL PHARMACY,FL,LEE,9193,0.45405,100.0,1.0,7.5,200703,4230.0
47,NY,RETAIL PHARMACY,FL,LEE,9143,2.6895,300.0,1.5,10.0,200703,8109.0
50,NY,RETAIL PHARMACY,FL,LEE,9193,0.3027,100.0,1.0,5.0,200704,3858.0
51,NY,RETAIL PHARMACY,FL,LEE,9143,26.895,1000.0,1.5,30.0,200704,8321.0
