,BUYER_COUNTY,year/month,DRUG_CODE,BUYER_STATE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,quantity
0,APPLING,200601,9143,GA,74.408775,7200.0,490.0,81.0
1,APPLING,200601,9193,GA,64.62645000000002,13100.0,437.5,4095.0
2,APPLING,200602,9143,GA,134.92250000000004,7700.0,1087.5,3517.0
3,APPLING,200602,9193,GA,105.64189999999996,21700.0,427.5,4132.0
4,APPLING,200603,9143,GA,126.66112400000004,9100.0,940.35,4080.0
5,APPLING,200603,9193,GA,99.89100000000005,19300.0,440.0,4550.0
6,APPLING,200604,9143,GA,88.976125,7800.0,587.5,222.0
7,APPLING,200604,9193,GA,126.64968000000007,25640.0,672.5,373.0
8,APPLING,200605,9143,GA,130.30952200000004,10400.0,852.85,57.0
9,APPLING,200605,9193,GA,239.4356999999999,48200.0,745.0,272.0
10,APPLING,200606,9143,GA,151.73185000000007,9700.0,1145.0,767.0
11,APPLING,200606,9193,GA,291.65024999999986,60800.0,757.5,767.0
12,APPLING,200607,9143,GA,100.18260000000005,8300.0,762.5,953.0
13,APPLING,200607,9193,GA,86.57220000000001,18500.0,482.5,934.0
14,APPLING,200608,9143,GA,121.43017500000005,9600.0,902.5,991.0
15,APPLING,200608,9193,GA,90.05325,18800.0,562.5,1069.0
16,APPLING,200609,9143,GA,80.23635000000003,7200.0,667.5,1303.0
17,APPLING,200609,9193,GA,237.77085000000008,49900.0,700.0,1337.0
18,APPLING,200610,9143,GA,98.64574900000004,8100.0,770.35,1337.0
19,APPLING,200610,9193,GA,238.67894999999996,48000.0,585.0,1342.0
20,APPLING,200611,9143,GA,90.83319800000004,8900.0,655.35,1433.0
21,APPLING,200611,9193,GA,126.67995000000003,25500.0,600.0,1550.0
22,APPLING,200612,9143,GA,116.60739800000003,9600.0,720.35,1245.0
23,APPLING,200612,9193,GA,316.77554999999967,65400.0,602.5,1377.0
24,APPLING,200701,9143,GA,95.92507500000008,8800.0,757.5,1502.0
25,APPLING,200701,9193,GA,131.06910000000002,25500.0,657.5,1369.0
26,APPLING,200702,9143,GA,79.43422200000003,7500.0,595.35,1557.0
27,APPLING,200702,9193,GA,94.86618000000004,18760.0,562.5,1422.0
28,APPLING,200703,9143,GA,105.33875,8100.0,862.5,1673.0
29,APPLING,200703,9193,GA,166.03095000000005,32500.0,620.0,1673.0
30,APPLING,200704,9143,GA,99.766699,9300.0,640.35,1673.0
31,APPLING,200704,9193,GA,197.05729999999994,38800.0,665.0,1435.0
32,APPLING,200705,9143,GA,148.81850000000006,13700.0,922.5,1487.0
33,APPLING,200705,9193,GA,364.1480999999996,70700.0,767.5,207.0
34,APPLING,200706,9143,GA,92.88172200000002,8200.0,580.35,289.0
35,APPLING,200706,9193,GA,254.87300000000002,55100.0,772.5,326.0
36,APPLING,200707,9143,GA,84.30207400000002,8200.0,610.35,200.0
37,APPLING,200707,9193,GA,84.45290000000003,17200.0,490.0,206.0
38,APPLING,200708,9143,GA,107.80387500000003,9400.0,870.0,669.0
39,APPLING,200708,9193,GA,168.3008,32600.0,662.5,752.0
40,APPLING,200709,9143,GA,77.60964800000002,7400.0,545.35,789.0
41,APPLING,200709,9193,GA,146.50640000000007,26900.0,655.0,914.0
