,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,HI,HONOLULU,9193,0.6054,100.0,10.0,200602,2869.0
2,NY,RETAIL PHARMACY,HI,HONOLULU,9193,1.2108,200.0,10.0,200611,3327.0
3,NY,RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,7.5,200605,3199.0
4,NY,RETAIL PHARMACY,HI,HONOLULU,9143,10.758,600.0,20.0,200608,3409.0
5,NY,RETAIL PHARMACY,HI,HONOLULU,9143,5.379,600.0,10.0,200612,4091.0
6,HI,PRACTITIONER,HI,MAUI,9143,0.8965,200.0,5.0,200602,1475.0
7,HI,RETAIL PHARMACY,HI,HONOLULU,9143,2.6895,200.0,15.0,200601,3120.0
8,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.4482,100.0,5.0,200602,2886.0
10,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.672375,100.0,7.5,200603,3339.0
11,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200606,3018.0
12,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.672375,100.0,7.5,200606,2893.0
13,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,5.0,200607,2971.0
15,HI,RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,7.5,200703,3123.0
17,HI,RETAIL PHARMACY,HI,HONOLULU,9143,1.793,200.0,10.0,200706,3146.0
18,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200707,3304.0
19,HI,RETAIL PHARMACY,HI,HONOLULU,9193,0.6054,100.0,10.0,200710,3332.0
20,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,5.0,200801,4593.0
21,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200805,3356.0
22,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,5.0,200806,3810.0
23,HI,RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,7.5,200807,3531.0
24,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.44825,100.0,5.0,200811,4188.0
25,HI,RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,7.5,200812,3684.0
26,HI,RETAIL PHARMACY,HI,HAWAII,9143,3.5860000000000003,200.0,20.0,200603,1602.0
27,HI,RETAIL PHARMACY,HI,HAWAII,9193,4.5405,1000.0,7.5,200605,1987.0
28,HI,RETAIL PHARMACY,HI,HAWAII,9143,3.5860000000000003,400.0,10.0,200605,1724.0
29,HI,RETAIL PHARMACY,HI,HAWAII,9143,28.688,400.0,80.0,200606,1649.0
30,HI,RETAIL PHARMACY,HI,HAWAII,9193,24.216,4000.0,10.0,200607,1759.0
31,HI,RETAIL PHARMACY,HI,HAWAII,9143,2.42055,600.0,,200610,1777.0
32,HI,RETAIL PHARMACY,HI,HAWAII,9143,3.5860000000000003,400.0,10.0,200707,1631.0
33,HI,RETAIL PHARMACY,HI,HAWAII,9193,6.0539999999999985,1000.0,10.0,200707,1830.0
34,HI,RETAIL PHARMACY,HI,HAWAII,9143,14.344,400.0,40.0,200709,1603.0
35,HI,RETAIL PHARMACY,HI,HAWAII,9143,1.34475,100.0,15.0,200711,1892.0
36,HI,RETAIL PHARMACY,HI,HAWAII,9143,25.102,700.0,40.0,200802,1815.0
37,HI,RETAIL PHARMACY,HI,HAWAII,9193,9.081,2000.0,7.5,200804,2039.0
38,HI,RETAIL PHARMACY,HI,HAWAII,9193,3.027,1000.0,5.0,200806,1952.0
39,HI,RETAIL PHARMACY,HI,HAWAII,9193,0.9081,200.0,7.5,200808,1995.0
45,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.2108,200.0,10.0,200607,3234.0
46,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200610,3383.0
48,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.2108,200.0,10.0,200701,3344.0
49,HI,RETAIL PHARMACY,HI,HONOLULU,9193,0.6054,100.0,10.0,200705,3337.0
52,HI,RETAIL PHARMACY,HI,HONOLULU,9193,2.4216,400.0,10.0,200708,3579.0
53,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.2108,200.0,10.0,200711,3383.0
54,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.8162,400.0,7.5,200806,3528.0
56,HI,RETAIL PHARMACY,HI,HONOLULU,9143,2.24125,500.0,5.0,200905,4213.0
57,HI,RETAIL PHARMACY,HI,HONOLULU,9143,2.6895,400.0,7.5,200907,4642.0
58,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,201001,2474.0
59,HI,RETAIL PHARMACY,HI,HONOLULU,9143,2.24125,500.0,5.0,201004,5116.0
61,HI,RETAIL PHARMACY,HI,HONOLULU,9143,3.5860000000000003,400.0,10.0,201012,6280.0
62,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,201102,3259.0
63,HI,RETAIL PHARMACY,HI,HONOLULU,9143,1.793,200.0,10.0,201108,6998.0
64,HI,RETAIL PHARMACY,HI,HONOLULU,9193,4.5405,1000.0,7.5,201203,3717.0
65,HI,RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,7.5,201204,3500.0
66,HI,RETAIL PHARMACY,HI,HONOLULU,9193,3.027,1000.0,5.0,201208,4089.0
67,HI,RETAIL PHARMACY,HI,HONOLULU,9143,5.379,300.0,20.0,201208,6716.0
68,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200604,2854.0
69,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200702,3144.0
71,HI,RETAIL PHARMACY,HI,HONOLULU,9193,2.27025,500.0,7.5,200808,3591.0
72,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200907,3418.0
73,HI,RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,5.0,200910,4518.0
74,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,200911,3128.0
75,HI,RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,5.0,201003,3296.0
76,HI,RETAIL PHARMACY,HI,HONOLULU,9143,1.34475,300.0,5.0,201101,5798.0
77,HI,RETAIL PHARMACY,HI,HONOLULU,9193,2.27025,500.0,7.5,201101,3351.0
78,HI,RETAIL PHARMACY,HI,HONOLULU,9193,3.027,500.0,10.0,201202,3239.0
79,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,200601,1018.0
80,HI,RETAIL PHARMACY,HI,MAUI,9193,0.9081,200.0,7.5,200605,983.0
81,HI,RETAIL PHARMACY,HI,MAUI,9193,0.3027,100.0,5.0,200606,999.0
82,HI,RETAIL PHARMACY,HI,MAUI,9193,1.5135,500.0,5.0,200607,892.0
84,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200608,1418.0
85,HI,RETAIL PHARMACY,HI,MAUI,9193,3.027,1000.0,5.0,200609,835.0
88,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,200611,1422.0
89,HI,RETAIL PHARMACY,HI,MAUI,9143,0.403425,100.0,,200701,2154.0
90,HI,RETAIL PHARMACY,HI,MAUI,9193,0.6054,100.0,10.0,200702,981.0
92,HI,RETAIL PHARMACY,HI,MAUI,9193,1.5135,500.0,5.0,200703,1130.0
93,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200703,1788.0
97,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200705,1864.0
98,HI,RETAIL PHARMACY,HI,MAUI,9193,2.27025,500.0,7.5,200705,1194.0
99,HI,RETAIL PHARMACY,HI,MAUI,9193,1.2108,200.0,10.0,200706,1062.0
100,HI,RETAIL PHARMACY,HI,MAUI,9193,1.2108,200.0,10.0,200707,1108.0
101,HI,RETAIL PHARMACY,HI,MAUI,9193,0.6054,100.0,10.0,200708,1294.0
102,HI,RETAIL PHARMACY,HI,MAUI,9193,1.5135,500.0,5.0,200711,1131.0
104,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,200801,1229.0
105,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200801,2038.0
106,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200802,1823.0
107,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200803,2075.0
108,HI,RETAIL PHARMACY,HI,MAUI,9193,1.2108,200.0,10.0,200804,1352.0
109,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,200805,1962.0
110,HI,RETAIL PHARMACY,HI,MAUI,9193,0.6054,100.0,10.0,200807,1223.0
111,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,200807,2378.0
112,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,100.0,10.0,200810,1960.0
113,HI,RETAIL PHARMACY,HI,MAUI,9193,1.36215,300.0,7.5,200902,1253.0
114,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,200903,1256.0
115,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,200903,3037.0
116,HI,RETAIL PHARMACY,HI,MAUI,9143,1.34475,300.0,5.0,200905,2689.0
117,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,200906,1215.0
118,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,200907,1382.0
119,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,200910,2506.0
120,HI,RETAIL PHARMACY,HI,MAUI,9193,1.8162,400.0,7.5,200911,1114.0
121,HI,RETAIL PHARMACY,HI,MAUI,9193,3.027,1000.0,5.0,201001,1021.0
122,HI,RETAIL PHARMACY,HI,MAUI,9193,1.2108,200.0,10.0,201003,1173.0
123,HI,RETAIL PHARMACY,HI,MAUI,9193,2.4216,400.0,10.0,201005,1035.0
124,HI,RETAIL PHARMACY,HI,MAUI,9143,0.403425,100.0,,201006,2894.0
125,HI,RETAIL PHARMACY,HI,MAUI,9193,0.6054,100.0,10.0,201007,1147.0
126,HI,RETAIL PHARMACY,HI,MAUI,9193,1.2108,200.0,10.0,201011,964.0
127,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,201102,1106.0
129,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,201103,3329.0
130,HI,RETAIL PHARMACY,HI,MAUI,9193,1.5135,500.0,5.0,201105,1002.0
131,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,201107,2984.0
132,HI,RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,5.0,201108,3637.0
133,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,201112,1041.0
136,HI,RETAIL PHARMACY,HI,MAUI,9143,1.34475,100.0,15.0,201201,3236.0
137,HI,RETAIL PHARMACY,HI,MAUI,9143,2.24125,500.0,5.0,201202,3312.0
138,HI,RETAIL PHARMACY,HI,MAUI,9193,3.027,1000.0,5.0,201203,1112.0
139,HI,RETAIL PHARMACY,HI,MAUI,9193,0.3027,100.0,5.0,201204,1019.0
140,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,201205,3309.0
141,HI,RETAIL PHARMACY,HI,MAUI,9143,2.6895,100.0,30.0,201209,2723.0
143,HI,RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,7.5,201210,1392.0
144,HI,RETAIL PHARMACY,HI,MAUI,9143,3.13775,700.0,5.0,201210,3137.0
146,HI,RETAIL PHARMACY,HI,MAUI,9143,0.8965,200.0,5.0,201212,2528.0
148,HI,RETAIL PHARMACY,HI,HAWAII,9193,4.5405,1000.0,7.5,200601,1813.0
150,HI,RETAIL PHARMACY,HI,HAWAII,9193,2.27025,500.0,7.5,200602,1591.0
151,HI,RETAIL PHARMACY,HI,HAWAII,9143,3.5860000000000003,100.0,40.0,200602,1379.0
153,HI,RETAIL PHARMACY,HI,HAWAII,9193,2.27025,500.0,7.5,200603,1828.0
160,HI,RETAIL PHARMACY,HI,HAWAII,9143,1.793,200.0,10.0,200607,1495.0
161,HI,RETAIL PHARMACY,HI,HAWAII,9193,0.45405,100.0,7.5,200608,1829.0
164,HI,RETAIL PHARMACY,HI,HAWAII,9193,1.36215,300.0,7.5,200609,1605.0
166,HI,RETAIL PHARMACY,HI,HAWAII,9193,2.27025,500.0,7.5,200611,1660.0
167,HI,RETAIL PHARMACY,HI,HAWAII,9143,0.8964,200.0,5.0,200611,1731.0
168,HI,RETAIL PHARMACY,HI,HAWAII,9143,1.793,200.0,10.0,200612,1642.0
