,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,GA,RETAIL PHARMACY,IA,CARROLL,9193,4.5405,1500.0,1.0,5.0,201204,258.0
1,IL,RETAIL PHARMACY,IA,CHICKASAW,9143,1.34475,300.0,1.5,5.0,200701,33.0
2,IL,RETAIL PHARMACY,IA,CHICKASAW,9193,0.3027,100.0,1.0,5.0,200704,30.0
3,IL,RETAIL PHARMACY,IA,CHICKASAW,9143,0.8965,200.0,1.5,5.0,200809,21.0
4,IL,RETAIL PHARMACY,IA,CHICKASAW,9193,0.3027,100.0,1.0,5.0,200904,38.0
5,IL,RETAIL PHARMACY,IA,CHICKASAW,9193,0.45405,100.0,1.0,7.5,200907,55.0
6,IL,RETAIL PHARMACY,IA,CHICKASAW,9193,0.45405,100.0,1.0,7.5,200912,52.0
7,IL,RETAIL PHARMACY,IA,WRIGHT,9193,0.45405,100.0,1.0,7.5,200706,54.0
8,IL,RETAIL PHARMACY,IA,WRIGHT,9193,0.6054,100.0,1.0,10.0,200809,86.0
9,IL,RETAIL PHARMACY,IA,WRIGHT,9193,0.3027,100.0,1.0,5.0,201111,59.0
10,IL,RETAIL PHARMACY,IA,BUTLER,9193,0.3027,100.0,1.0,5.0,200609,21.0
11,IL,RETAIL PHARMACY,IA,BUTLER,9193,0.6054,100.0,1.0,10.0,200611,40.0
12,IL,RETAIL PHARMACY,IA,BUTLER,9193,1.5135,500.0,1.0,5.0,200701,37.0
13,IL,RETAIL PHARMACY,IA,BUTLER,9193,1.5135,500.0,1.0,5.0,200802,38.0
14,IL,RETAIL PHARMACY,IA,BUTLER,9193,0.3027,100.0,1.0,5.0,200809,42.0
15,IL,RETAIL PHARMACY,IA,BUTLER,9143,2.6895,100.0,1.5,30.0,200810,34.0
16,IL,RETAIL PHARMACY,IA,BUTLER,9143,2.6895,200.0,1.5,15.0,200912,34.0
17,IL,RETAIL PHARMACY,IA,BUTLER,9143,0.8965,200.0,1.5,5.0,201107,39.0
18,IL,RETAIL PHARMACY,IA,BUTLER,9143,1.34475,200.0,1.5,7.5,201109,59.0
19,IL,RETAIL PHARMACY,IA,DELAWARE,9193,0.6054,400.0,1.0,2.5,200606,39.0
20,IL,RETAIL PHARMACY,IA,BUTLER,9193,1.2108,200.0,1.0,10.0,200702,34.0
22,IL,RETAIL PHARMACY,IA,BUTLER,9193,1.8162,300.0,1.0,10.0,200803,45.0
23,IL,RETAIL PHARMACY,IA,BUTLER,9193,1.5135,500.0,1.0,5.0,200805,33.0
25,IL,RETAIL PHARMACY,IA,BUTLER,9143,0.433502575,100.0,1.5,4.8355,200812,27.0
26,IL,RETAIL PHARMACY,IA,BUTLER,9143,0.86700515,200.0,1.5,4.8355,200901,16.0
27,IL,RETAIL PHARMACY,IA,BUTLER,9143,0.8965,100.0,1.5,10.0,200904,27.0
