,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,GA,RETAIL PHARMACY,ID,TWIN FALLS,9193,18.162,3000.0,1.0,10.0,200712,873.0
1,GA,RETAIL PHARMACY,ID,TWIN FALLS,9193,4.5405,1000.0,1.0,7.5,201110,1291.0
2,GA,RETAIL PHARMACY,ID,TWIN FALLS,9193,6.0539999999999985,1000.0,1.0,10.0,201210,1147.0
3,CA,PRACTITIONER,ID,BONNEVILLE,9193,1.2108,200.0,1.0,10.0,200802,1053.0
4,CA,PRACTITIONER,ID,ADA,9193,0.3027,100.0,1.0,5.0,201206,6670.0
5,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.8965,100.0,1.5,10.0,200601,34.0
6,OR,RETAIL PHARMACY,ID,IDAHO,9193,2.27025,500.0,1.0,7.5,200606,71.0
7,OR,RETAIL PHARMACY,ID,IDAHO,9143,3.5860000000000003,200.0,1.5,20.0,200606,32.0
8,OR,RETAIL PHARMACY,ID,IDAHO,9143,3.5860000000000003,200.0,1.5,20.0,200607,38.0
9,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200611,78.0
10,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200612,80.0
11,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200701,86.0
14,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,200702,78.0
15,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,200703,89.0
16,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200705,83.0
17,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200707,102.0
18,OR,RETAIL PHARMACY,ID,IDAHO,9143,3.13775,700.0,1.5,5.0,200709,40.0
19,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200709,75.0
21,OR,RETAIL PHARMACY,ID,IDAHO,9143,2.6895,300.0,1.5,10.0,200710,43.0
22,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200711,89.0
23,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.3027,100.0,1.0,5.0,200712,114.0
25,OR,RETAIL PHARMACY,ID,IDAHO,9193,2.27025,500.0,1.0,7.5,200801,94.0
27,OR,RETAIL PHARMACY,ID,IDAHO,9193,6.0539999999999985,1000.0,1.0,10.0,200802,89.0
29,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200803,76.0
30,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,200804,76.0
31,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.8965,100.0,1.5,10.0,200805,42.0
32,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,200808,85.0
33,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.8965,200.0,1.5,5.0,200809,60.0
34,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200809,86.0
37,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200902,103.0
38,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200903,107.0
39,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,200904,96.0
40,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200907,92.0
41,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.44825,100.0,1.5,5.0,200907,53.0
44,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,200908,82.0
45,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,201002,108.0
46,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,201003,109.0
47,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.44825,100.0,1.5,5.0,201003,66.0
48,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,201005,102.0
50,OR,RETAIL PHARMACY,ID,IDAHO,9143,1.793,200.0,1.5,10.0,201005,53.0
51,OR,RETAIL PHARMACY,ID,IDAHO,9143,2.6895,300.0,1.5,10.0,201009,68.0
52,OR,RETAIL PHARMACY,ID,IDAHO,9143,2.6895,300.0,1.5,10.0,201101,77.0
53,OR,RETAIL PHARMACY,ID,IDAHO,9143,2.6895,100.0,1.5,30.0,201103,84.0
54,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,3.5860000000000003,100.0,1.5,40.0,200603,310.0
55,OR,CHAIN PHARMACY,ID,NEZ PERCE,9193,0.45405,100.0,1.0,7.5,200612,833.0
56,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,0.8965,100.0,1.5,10.0,200701,224.0
57,OR,CHAIN PHARMACY,ID,NEZ PERCE,9193,0.9081,200.0,1.0,7.5,200702,654.0
58,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,0.44825,100.0,1.5,5.0,200703,238.0
59,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,0.44825,100.0,1.5,5.0,200705,251.0
60,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,2.6895,300.0,1.5,10.0,200707,276.0
61,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,1.793,200.0,1.5,10.0,200711,302.0
62,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,14.344,200.0,1.5,80.0,200803,235.0
63,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,1.793,100.0,1.5,20.0,200805,220.0
64,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,1.34475,300.0,1.5,5.0,200807,253.0
65,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,3.5860000000000003,100.0,1.5,40.0,200808,270.0
66,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,0.8965,100.0,1.5,10.0,200810,285.0
68,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,0.44825,100.0,1.5,5.0,200811,218.0
69,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,7.1720000000000015,100.0,1.5,80.0,200901,262.0
70,OR,CHAIN PHARMACY,ID,NEZ PERCE,9143,0.8965,200.0,1.5,5.0,200902,176.0
71,OR,CHAIN PHARMACY,ID,NEZ PERCE,9193,1.36215,300.0,1.0,7.5,200903,960.0
72,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200601,58.0
73,OR,RETAIL PHARMACY,ID,IDAHO,9193,9.081,2000.0,1.0,7.5,200607,88.0
74,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200609,68.0
75,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.8965,200.0,1.5,5.0,200610,44.0
77,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.44825,100.0,1.5,5.0,200612,35.0
80,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200704,70.0
81,OR,RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,200710,88.0
88,OR,RETAIL PHARMACY,ID,IDAHO,9193,2.27025,500.0,1.0,7.5,200805,73.0
90,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.3027,100.0,1.0,5.0,200810,76.0
92,OR,RETAIL PHARMACY,ID,IDAHO,9143,0.44825,100.0,1.5,5.0,200904,50.0
93,OR,RETAIL PHARMACY,ID,IDAHO,9193,0.9081,200.0,1.0,7.5,200905,105.0
94,OR,RETAIL PHARMACY,ID,CLEARWATER,9143,14.344,200.0,1.5,80.0,200602,48.0
95,OR,RETAIL PHARMACY,ID,CLEARWATER,9193,3.027,500.0,1.0,10.0,200602,61.0
96,OR,RETAIL PHARMACY,ID,LATAH,9143,0.8965,100.0,1.5,10.0,200602,125.0
97,OR,RETAIL PHARMACY,ID,LATAH,9193,0.3027,100.0,1.0,5.0,200603,299.0
98,OR,RETAIL PHARMACY,ID,LATAH,9193,1.5135,500.0,1.0,5.0,200604,240.0
99,OR,RETAIL PHARMACY,ID,LATAH,9193,3.027,500.0,1.0,10.0,200607,254.0
100,OR,RETAIL PHARMACY,ID,LATAH,9193,4.5405,1000.0,1.0,7.5,200608,377.0
101,OR,RETAIL PHARMACY,ID,LATAH,9193,3.027,500.0,1.0,10.0,200612,329.0
102,OR,RETAIL PHARMACY,ID,LATAH,9193,0.3027,100.0,1.0,5.0,200701,316.0
103,OR,RETAIL PHARMACY,ID,LATAH,9193,4.5405,1000.0,1.0,7.5,200705,393.0
104,OR,RETAIL PHARMACY,ID,LATAH,9193,0.9081,200.0,1.0,7.5,200801,401.0
105,OR,RETAIL PHARMACY,ID,LATAH,9193,4.5405,1000.0,1.0,7.5,200804,400.0
106,OR,RETAIL PHARMACY,ID,LATAH,9193,1.5135,500.0,1.0,5.0,200805,388.0
107,OR,RETAIL PHARMACY,ID,LATAH,9193,3.027,500.0,1.0,10.0,200808,397.0
108,OR,RETAIL PHARMACY,ID,LATAH,9143,0.44825,100.0,1.5,5.0,201004,144.0
109,OR,RETAIL PHARMACY,ID,LATAH,9193,1.5135,500.0,1.0,5.0,201010,354.0
110,OR,RETAIL PHARMACY,ID,LATAH,9193,3.027,500.0,1.0,10.0,201107,342.0
111,OR,RETAIL PHARMACY,ID,LATAH,9193,3.027,500.0,1.0,10.0,201108,409.0
112,OR,RETAIL PHARMACY,ID,LATAH,9143,1.793,200.0,1.5,10.0,201109,175.0
113,OR,RETAIL PHARMACY,ID,LATAH,9143,0.44825,100.0,1.5,5.0,201201,197.0
114,OR,RETAIL PHARMACY,ID,LATAH,9193,1.5135,500.0,1.0,5.0,201202,371.0
115,OR,RETAIL PHARMACY,ID,LATAH,9193,0.6054,200.0,1.0,5.0,201204,357.0
117,OR,RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,200605,79.0
119,OR,RETAIL PHARMACY,ID,SHOSHONE,9193,3.027,500.0,1.0,10.0,201107,314.0
121,OR,RETAIL PHARMACY,ID,LATAH,9193,1.5135,500.0,1.0,5.0,200605,256.0
123,OR,RETAIL PHARMACY,ID,LATAH,9143,0.479574,100.0,1.5,5.35,200605,135.0
124,OR,RETAIL PHARMACY,ID,LATAH,9143,0.8965,100.0,1.5,10.0,200608,144.0
125,OR,RETAIL PHARMACY,ID,LATAH,9143,0.44825,100.0,1.5,5.0,200610,139.0
126,OR,RETAIL PHARMACY,ID,LATAH,9143,0.8965,100.0,1.5,10.0,200611,103.0
129,OR,RETAIL PHARMACY,ID,LATAH,9193,3.027,500.0,1.0,10.0,200702,349.0
131,OR,RETAIL PHARMACY,ID,LATAH,9143,0.8965,100.0,1.5,10.0,200702,140.0
132,OR,RETAIL PHARMACY,ID,LATAH,9193,0.9081,200.0,1.0,7.5,200703,334.0
133,OR,RETAIL PHARMACY,ID,LATAH,9193,0.3027,100.0,1.0,5.0,200708,403.0
134,OR,RETAIL PHARMACY,ID,LATAH,9193,1.2108,400.0,1.0,5.0,200709,384.0
