,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,IL,COOK,9193,0.45405,100.0,7.5,200601,21315.0
1,NY,RETAIL PHARMACY,IL,COOK,9193,2.27025,500.0,7.5,200603,28002.0
3,NY,RETAIL PHARMACY,IL,COOK,9193,0.45405,100.0,7.5,200609,25624.0
4,NY,RETAIL PHARMACY,IL,COOK,9193,0.3027,100.0,5.0,200612,26231.0
5,NY,RETAIL PHARMACY,IL,COOK,9193,1.5135,500.0,5.0,200701,25783.0
6,NY,RETAIL PHARMACY,IL,COOK,9193,0.3027,100.0,5.0,200704,23273.0
7,NY,RETAIL PHARMACY,IL,COOK,9193,3.027,500.0,10.0,200611,26420.0
8,NY,RETAIL PHARMACY,IL,BUREAU,9193,0.6054,100.0,10.0,200608,151.0
9,NY,RETAIL PHARMACY,IL,BUREAU,9193,1.8162,300.0,10.0,200609,156.0
10,GA,RETAIL PHARMACY,IL,DUPAGE,9193,0.136215,30.0,7.5,200903,6180.0
11,GA,RETAIL PHARMACY,IL,DUPAGE,9193,0.136215,30.0,7.5,200905,5503.0
12,GA,RETAIL PHARMACY,IL,DUPAGE,9193,0.3027,100.0,5.0,200909,5778.0
13,GA,RETAIL PHARMACY,IL,DUPAGE,9193,0.136215,30.0,7.5,201001,6788.0
14,GA,RETAIL PHARMACY,IL,DUPAGE,9193,3.027,500.0,10.0,201004,7806.0
16,GA,RETAIL PHARMACY,IL,COOK,9193,2.27025,500.0,7.5,201012,39321.0
17,GA,RETAIL PHARMACY,IL,MARSHALL,9193,0.45405,100.0,7.5,200802,73.0
18,GA,RETAIL PHARMACY,IL,MARSHALL,9193,0.45405,100.0,7.5,200803,58.0
19,GA,RETAIL PHARMACY,IL,DUPAGE,9193,6.0539999999999985,1000.0,10.0,201110,9376.0
20,GA,RETAIL PHARMACY,IL,DUPAGE,9193,0.3027,100.0,5.0,201206,10027.0
21,OH,PRACTITIONER,IL,COOK,9193,0.3027,100.0,5.0,200912,31671.0
22,OH,PRACTITIONER,IL,LAKE,9193,0.9081,300.0,5.0,200601,2799.0
23,OH,PRACTITIONER,IL,DUPAGE,9193,0.3027,100.0,5.0,200708,5120.0
24,OH,PRACTITIONER,IL,COOK,9193,0.3027,100.0,5.0,200608,28044.0
26,OH,PRACTITIONER,IL,ROCK ISLAND,9193,0.3027,100.0,5.0,201003,890.0
28,IL,RETAIL PHARMACY,IL,COOK,9193,0.45405,100.0,7.5,201010,35049.0
29,IL,RETAIL PHARMACY,IL,WILL,9193,0.45405,100.0,7.5,200804,3799.0
30,IL,RETAIL PHARMACY,IL,WILL,9193,0.45405,100.0,7.5,200806,3550.0
31,IL,RETAIL PHARMACY,IL,WILL,9193,3.027,500.0,10.0,200811,3579.0
32,IL,RETAIL PHARMACY,IL,WILL,9193,1.5135,500.0,5.0,200812,3728.0
33,IL,RETAIL PHARMACY,IL,WILL,9193,3.027,1000.0,5.0,200901,3613.0
34,IL,RETAIL PHARMACY,IL,WILL,9193,2.27025,500.0,7.5,200904,3600.0
35,IL,RETAIL PHARMACY,IL,WILL,9193,1.2108,200.0,10.0,201002,4561.0
36,IL,RETAIL PHARMACY,IL,WILL,9193,18.162,3000.0,10.0,201101,6090.0
37,IL,RETAIL PHARMACY,IL,WILL,9193,2.27025,500.0,7.5,201102,5254.0
38,IL,RETAIL PHARMACY,IL,WILL,9193,0.9081,300.0,5.0,201103,6311.0
40,IL,RETAIL PHARMACY,IL,WILL,9143,1.793,200.0,10.0,201105,1782.0
41,IL,RETAIL PHARMACY,IL,WILL,9193,1.2108,200.0,10.0,201106,6437.0
42,IL,RETAIL PHARMACY,IL,WILL,9193,18.162,3000.0,10.0,201110,5953.0
43,IL,RETAIL PHARMACY,IL,WILL,9193,3.027,1000.0,5.0,201203,6179.0
44,IL,RETAIL PHARMACY,IL,WILL,9193,6.0539999999999985,1000.0,10.0,201205,6125.0
45,IL,RETAIL PHARMACY,IL,COOK,9193,0.3027,100.0,5.0,200804,24089.0
46,IL,RETAIL PHARMACY,IL,COOK,9193,3.027,500.0,10.0,200806,24160.0
47,IL,RETAIL PHARMACY,IL,COOK,9193,3.027,1000.0,5.0,200911,27449.0
48,IL,RETAIL PHARMACY,IL,COOK,9193,3.027,500.0,10.0,201109,39317.0
50,IL,RETAIL PHARMACY,IL,WILL,9143,7.1720000000000015,100.0,80.0,201104,1772.0
51,IL,RETAIL PHARMACY,IL,WILL,9143,13.4475,500.0,30.0,201109,1988.0
52,IL,RETAIL PHARMACY,IL,WILL,9143,7.1720000000000015,100.0,80.0,201110,1889.0
53,IL,RETAIL PHARMACY,IL,LAKE,9193,0.45405,100.0,7.5,200810,3724.0
54,IL,RETAIL PHARMACY,IL,LAKE,9193,0.6054,100.0,10.0,200811,3342.0
56,IL,RETAIL PHARMACY,IL,LAKE,9193,2.27025,500.0,7.5,200902,3623.0
57,IL,RETAIL PHARMACY,IL,LAKE,9143,1.793,200.0,10.0,200903,1541.0
58,IL,RETAIL PHARMACY,IL,LAKE,9193,2.27025,500.0,7.5,200903,4010.0
60,IL,RETAIL PHARMACY,IL,LAKE,9193,0.45405,100.0,7.5,200905,3457.0
61,IL,RETAIL PHARMACY,IL,LAKE,9193,3.027,500.0,10.0,200906,3744.0
62,IL,RETAIL PHARMACY,IL,LAKE,9193,0.3027,100.0,5.0,200907,3738.0
63,IL,RETAIL PHARMACY,IL,LAKE,9193,1.5135,500.0,5.0,200908,3821.0
64,IL,RETAIL PHARMACY,IL,LAKE,9193,0.6054,100.0,10.0,200910,3999.0
65,IL,RETAIL PHARMACY,IL,LAKE,9193,0.45405,100.0,7.5,201002,4476.0
66,IL,RETAIL PHARMACY,IL,LAKE,9193,0.3027,100.0,5.0,201006,5469.0
67,IL,RETAIL PHARMACY,IL,LAKE,9193,0.3027,100.0,5.0,201008,5622.0
69,IL,RETAIL PHARMACY,IL,LAKE,9143,0.672375,100.0,7.5,201008,1899.0
70,IL,RETAIL PHARMACY,IL,LAKE,9193,0.6054,200.0,5.0,201011,5806.0
71,IL,RETAIL PHARMACY,IL,LAKE,9193,0.3027,100.0,5.0,201102,5490.0
72,IL,RETAIL PHARMACY,IL,LAKE,9143,0.8965,100.0,10.0,201103,2139.0
73,IL,RETAIL PHARMACY,IL,LAKE,9193,3.027,500.0,10.0,201105,6168.0
74,IL,RETAIL PHARMACY,IL,LAKE,9143,0.8965,100.0,10.0,201107,1810.0
75,IL,RETAIL PHARMACY,IL,LAKE,9193,3.027,500.0,10.0,201108,6683.0
76,IL,RETAIL PHARMACY,IL,LAKE,9193,0.3027,100.0,5.0,201109,6212.0
77,IL,RETAIL PHARMACY,IL,LAKE,9193,0.6054,200.0,5.0,201205,6514.0
78,IL,RETAIL PHARMACY,IL,LAKE,9193,1.2108,200.0,10.0,201206,6228.0
79,IL,RETAIL PHARMACY,IL,LAKE,9193,0.6054,100.0,10.0,201207,6145.0
80,IL,RETAIL PHARMACY,IL,COOK,9143,10.758,300.0,40.0,200601,3705.0
81,IL,RETAIL PHARMACY,IL,COOK,9143,5.379,300.0,20.0,200603,4381.0
82,IL,RETAIL PHARMACY,IL,COOK,9193,3.027,500.0,10.0,200606,31085.0
84,IL,RETAIL PHARMACY,IL,COOK,9193,0.9081,200.0,7.5,200607,30365.0
85,IL,RETAIL PHARMACY,IL,COOK,9143,1.793,100.0,20.0,200609,4266.0
86,IL,RETAIL PHARMACY,IL,ROCK ISLAND,9193,0.45405,100.0,7.5,201108,1347.0
87,IL,RETAIL PHARMACY,IL,ROCK ISLAND,9193,0.45405,100.0,7.5,201109,1223.0
88,IL,RETAIL PHARMACY,IL,ROCK ISLAND,9193,0.6054,100.0,10.0,201111,1368.0
89,IL,RETAIL PHARMACY,IL,ROCK ISLAND,9193,0.45405,100.0,7.5,201202,1186.0
90,IL,RETAIL PHARMACY,IL,ROCK ISLAND,9143,1.793,200.0,10.0,201206,372.0
91,IL,RETAIL PHARMACY,IL,WILL,9193,0.6054,100.0,10.0,200602,2828.0
92,IL,RETAIL PHARMACY,IL,WILL,9193,0.45405,100.0,7.5,200607,3528.0
93,IL,RETAIL PHARMACY,IL,WILL,9193,2.27025,500.0,7.5,200608,3708.0
94,IL,RETAIL PHARMACY,IL,WILL,9193,0.6054,100.0,10.0,200610,3709.0
95,IL,RETAIL PHARMACY,IL,WILL,9193,0.45405,100.0,7.5,200611,3651.0
