,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,IN,MARION,9143,21.516,300.0,80.0,200704,6481.0
1,NY,RETAIL PHARMACY,IN,LAKE,9193,2.4216,400.0,10.0,200702,4017.0
2,NY,RETAIL PHARMACY,IN,LAKE,9193,3.027,500.0,10.0,200703,4608.0
3,NY,RETAIL PHARMACY,IN,LAKE,9193,2.4216,400.0,10.0,200704,4435.0
4,NY,RETAIL PHARMACY,IN,LAKE,9193,0.6054,100.0,10.0,200607,4060.0
5,OH,PRACTITIONER,IN,MARSHALL,9193,1.2108,400.0,5.0,200704,331.0
6,OH,PRACTITIONER,IN,DEARBORN,9193,0.6054,200.0,5.0,200602,352.0
7,OH,PRACTITIONER,IN,MARION,9193,0.3027,100.0,5.0,200708,12788.0
8,OH,PRACTITIONER,IN,DUBOIS,9193,0.3027,100.0,5.0,200601,348.0
9,OH,PRACTITIONER,IN,KOSCIUSKO,9193,0.3027,100.0,5.0,200708,568.0
10,OH,PRACTITIONER,IN,CLARK,9193,0.3027,100.0,5.0,200604,1473.0
11,OH,PRACTITIONER,IN,FLOYD,9193,1.2108,400.0,5.0,200702,1356.0
12,OH,PRACTITIONER,IN,VIGO,9193,0.3027,100.0,5.0,200701,1495.0
13,IL,RETAIL PHARMACY,IN,PUTNAM,9193,3.027,500.0,10.0,201105,713.0
15,IL,RETAIL PHARMACY,IN,JASPER,9193,1.2108,200.0,10.0,200607,449.0
16,IL,RETAIL PHARMACY,IN,JASPER,9143,0.672375,100.0,7.5,200608,144.0
17,IL,RETAIL PHARMACY,IN,JASPER,9193,1.2108,200.0,10.0,200609,463.0
18,IL,RETAIL PHARMACY,IN,JASPER,9193,0.6054,100.0,10.0,200611,464.0
19,IL,RETAIL PHARMACY,IN,JASPER,9193,1.2108,200.0,10.0,200701,537.0
21,IL,RETAIL PHARMACY,IN,JASPER,9193,3.027,500.0,10.0,200703,537.0
22,IL,RETAIL PHARMACY,IN,JASPER,9193,0.6054,100.0,10.0,200704,476.0
25,IL,RETAIL PHARMACY,IN,JASPER,9193,1.2108,200.0,10.0,200705,613.0
26,IL,RETAIL PHARMACY,IN,JASPER,9193,0.6054,100.0,10.0,200706,555.0
27,IL,RETAIL PHARMACY,IN,JASPER,9143,3.5860000000000003,100.0,40.0,200706,145.0
28,IL,RETAIL PHARMACY,IN,JASPER,9193,0.45405,100.0,7.5,200708,580.0
29,IL,RETAIL PHARMACY,IN,JASPER,9193,0.6054,100.0,10.0,200709,509.0
30,IL,RETAIL PHARMACY,IN,JASPER,9143,0.8965,100.0,10.0,200711,140.0
31,IL,RETAIL PHARMACY,IN,JASPER,9193,0.45405,100.0,7.5,200802,561.0
33,IL,RETAIL PHARMACY,IN,JASPER,9193,0.45405,100.0,7.5,200805,581.0
34,IL,RETAIL PHARMACY,IN,JASPER,9193,0.45405,100.0,7.5,200809,664.0
35,IL,RETAIL PHARMACY,IN,JASPER,9143,3.5860000000000003,100.0,40.0,200810,145.0
36,IL,RETAIL PHARMACY,IN,JASPER,9193,0.45405,100.0,7.5,200810,653.0
37,IL,RETAIL PHARMACY,IN,DELAWARE,9193,0.45405,100.0,7.5,200611,1854.0
38,IL,RETAIL PHARMACY,IN,DELAWARE,9193,0.45405,100.0,7.5,201001,2163.0
