,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,KS,FINNEY,9193,1.5135,500.0,5.0,200602,127.0
1,IL,RETAIL PHARMACY,KS,KINGMAN,9143,2.6895,200.0,15.0,201111,100.0
2,IL,RETAIL PHARMACY,KS,WYANDOTTE,9193,3.027,1000.0,5.0,201009,1119.0
4,IL,RETAIL PHARMACY,KS,WYANDOTTE,9193,2.27025,500.0,7.5,201012,1260.0
5,IL,RETAIL PHARMACY,KS,MONTGOMERY,9193,0.9081,200.0,7.5,201202,757.0
6,IL,RETAIL PHARMACY,KS,MONTGOMERY,9193,2.27025,500.0,7.5,201203,866.0
7,IL,RETAIL PHARMACY,KS,JOHNSON,9193,1.5135,500.0,5.0,201203,6554.0
9,IL,RETAIL PHARMACY,KS,JOHNSON,9143,0.672375,100.0,7.5,201204,5379.0
11,IL,RETAIL PHARMACY,KS,JOHNSON,9143,1.34475,200.0,7.5,201205,5789.0
12,IL,RETAIL PHARMACY,KS,JOHNSON,9193,0.3027,100.0,5.0,201209,6378.0
13,IL,RETAIL PHARMACY,KS,JOHNSON,9143,1.793,400.0,5.0,201209,5346.0
14,IL,RETAIL PHARMACY,KS,JOHNSON,9143,1.793,100.0,20.0,201210,6054.0
15,IL,RETAIL PHARMACY,KS,JOHNSON,9143,3.5860000000000003,400.0,10.0,201211,5727.0
16,IL,RETAIL PHARMACY,KS,JOHNSON,9143,32.274,1200.0,30.0,201111,5614.0
17,IL,RETAIL PHARMACY,KS,JOHNSON,9143,2.6895,600.0,5.0,201112,5793.0
19,IL,RETAIL PHARMACY,KS,JOHNSON,9143,5.379,300.0,20.0,201202,5110.0
20,IL,RETAIL PHARMACY,KS,JOHNSON,9143,4.4825,1000.0,5.0,201203,5692.0
24,IL,RETAIL PHARMACY,KS,JOHNSON,9143,2.6895,300.0,10.0,201206,5618.0
25,IL,RETAIL PHARMACY,KS,JOHNSON,9143,8.0685,600.0,15.0,201207,5635.0
28,IL,RETAIL PHARMACY,KS,JOHNSON,9143,6.2755,700.0,10.0,201208,5651.0
35,IL,RETAIL PHARMACY,KS,JOHNSON,9143,7.1720000000000015,100.0,80.0,201212,5761.0
37,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200707,622.0
38,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200709,599.0
40,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.45405,100.0,7.5,200711,671.0
41,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,7.5,200712,687.0
42,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200801,667.0
43,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200803,670.0
44,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,1000.0,5.0,200804,675.0
45,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200805,662.0
47,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.9081,200.0,7.5,200811,693.0
48,IL,RETAIL PHARMACY,KS,DOUGLAS,9143,3.5860000000000003,100.0,40.0,200904,616.0
49,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,7.5,200908,668.0
51,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200912,761.0
52,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,201001,647.0
53,IL,RETAIL PHARMACY,KS,DOUGLAS,9143,2.6895,100.0,30.0,201001,679.0
54,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.6054,200.0,5.0,201003,805.0
56,IL,RETAIL PHARMACY,KS,DOUGLAS,9143,1.34475,100.0,15.0,201003,770.0
57,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,500.0,10.0,201005,834.0
58,IL,RETAIL PHARMACY,KS,DOUGLAS,9143,0.8965,100.0,10.0,201010,702.0
59,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,201011,838.0
61,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,7.5,201101,844.0
62,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.45405,100.0,7.5,201103,920.0
63,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,7.5,201105,858.0
65,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,201106,817.0
66,IL,RETAIL PHARMACY,KS,DOUGLAS,9143,0.672375,100.0,7.5,201107,748.0
67,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.3027,100.0,5.0,201107,827.0
68,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,7.5,201111,794.0
69,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,500.0,10.0,201112,859.0
72,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,0.45405,100.0,7.5,201209,767.0
73,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,7.5,201210,801.0
75,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,500.0,10.0,201211,804.0
76,IL,RETAIL PHARMACY,KS,DOUGLAS,9143,1.793,200.0,10.0,201211,881.0
77,IL,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,201212,928.0
78,IL,RETAIL PHARMACY,KS,CHEROKEE,9193,6.0539999999999985,2000.0,5.0,201005,234.0
79,IL,RETAIL PHARMACY,KS,ATCHISON,9193,9.081,2000.0,7.5,200811,179.0
80,IL,RETAIL PHARMACY,KS,ATCHISON,9193,0.136215,30.0,7.5,200902,230.0
83,IL,RETAIL PHARMACY,KS,ATCHISON,9143,1.793,200.0,10.0,200903,223.0
84,IL,RETAIL PHARMACY,KS,ATCHISON,9193,1.2108,200.0,10.0,200903,221.0
85,IL,RETAIL PHARMACY,KS,ATCHISON,9143,0.672375,100.0,7.5,200904,196.0
86,IL,RETAIL PHARMACY,KS,ATCHISON,9143,1.34475,100.0,15.0,200905,199.0
87,IL,RETAIL PHARMACY,KS,ATCHISON,9193,2.27025,500.0,7.5,200906,242.0
88,IL,RETAIL PHARMACY,KS,ATCHISON,9143,7.1720000000000015,100.0,80.0,200907,136.0
90,IL,RETAIL PHARMACY,KS,ATCHISON,9143,1.793,200.0,10.0,200910,153.0
91,IL,RETAIL PHARMACY,KS,ATCHISON,9193,6.0539999999999985,1000.0,10.0,200911,218.0
92,IL,RETAIL PHARMACY,KS,ATCHISON,9193,6.0539999999999985,1000.0,10.0,200912,245.0
94,IL,RETAIL PHARMACY,KS,ATCHISON,9143,1.793,200.0,10.0,201001,174.0
95,IL,RETAIL PHARMACY,KS,ATCHISON,9193,3.027,500.0,10.0,201002,215.0
96,IL,RETAIL PHARMACY,KS,ATCHISON,9143,0.8965,100.0,10.0,201002,150.0
97,LA,PRACTITIONER,KS,SEDGWICK,9193,0.3027,100.0,5.0,200605,6161.0
98,MO,RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,7.5,200601,445.0
99,MO,RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,5.0,200603,577.0
100,MO,RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,7.5,200604,476.0
101,IL,PRACTITIONER,KS,CRAWFORD,9193,0.6054,200.0,5.0,200607,433.0
102,IL,PRACTITIONER,KS,CRAWFORD,9193,1.2108,400.0,5.0,200610,415.0
103,IL,PRACTITIONER,KS,DOUGLAS,9193,0.6054,200.0,5.0,200607,497.0
104,IL,PRACTITIONER,KS,DOUGLAS,9193,0.3027,100.0,5.0,200708,646.0
105,IL,PRACTITIONER,KS,DOUGLAS,9193,0.3027,100.0,5.0,200809,667.0
106,IL,PRACTITIONER,KS,DOUGLAS,9193,0.9081,200.0,7.5,200901,713.0
107,CA,PRACTITIONER,KS,JOHNSON,9193,2.17944,480.0,7.5,200704,3416.0
108,CA,PRACTITIONER,KS,JOHNSON,9193,3.26916,720.0,7.5,200707,4007.0
109,CA,PRACTITIONER,KS,DOUGLAS,9193,1.2108,400.0,5.0,201102,857.0
110,CA,PRACTITIONER,KS,DOUGLAS,9193,1.8162,600.0,5.0,201207,808.0
111,OH,RETAIL PHARMACY,KS,SALINE,9143,1.793,100.0,20.0,200910,414.0
