,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,KY,WARREN,9193,0.9081,200.0,1.0,7.5,200605,1191.0
1,NY,RETAIL PHARMACY,KY,WARREN,9193,6.0539999999999985,2000.0,1.0,5.0,200703,1237.0
2,GA,RETAIL PHARMACY,KY,PIKE,9193,0.9081,200.0,1.0,7.5,201207,2323.0
3,GA,RETAIL PHARMACY,KY,SHELBY,9193,3.027,500.0,1.0,10.0,201112,620.0
4,GA,RETAIL PHARMACY,KY,SHELBY,9193,4.5405,1500.0,1.0,5.0,201204,492.0
5,GA,RETAIL PHARMACY,KY,WARREN,9193,1.5135,500.0,1.0,5.0,201106,1985.0
6,OH,PRACTITIONER,KY,WHITLEY,9193,0.3027,100.0,1.0,5.0,200707,1102.0
7,OH,PRACTITIONER,KY,JEFFERSON,9193,7.2648,2400.0,1.0,5.0,200707,10630.0
8,OH,PRACTITIONER,KY,JEFFERSON,9193,3.6324,1200.0,1.0,5.0,201001,13811.0
9,OH,PRACTITIONER,KY,JEFFERSON,9193,3.6324,1200.0,1.0,5.0,201002,12370.0
10,OH,PRACTITIONER,KY,KENTON,9193,0.6054,200.0,1.0,5.0,200604,1321.0
11,OH,RETAIL PHARMACY,KY,JEFFERSON,9193,1.5135,500.0,1.0,5.0,201110,13886.0
12,OH,RETAIL PHARMACY,KY,JEFFERSON,9193,1.5135,500.0,1.0,5.0,201112,14871.0
13,OH,RETAIL PHARMACY,KY,JEFFERSON,9193,1.5135,500.0,1.0,5.0,201202,14020.0
14,IL,RETAIL PHARMACY,KY,MADISON,9143,2.6895,400.0,1.5,7.5,201103,2136.0
15,IL,RETAIL PHARMACY,KY,PERRY,9143,0.44825,100.0,1.5,5.0,201109,1729.0
16,IL,RETAIL PHARMACY,KY,PERRY,9143,7.1720000000000015,100.0,1.5,80.0,201205,1806.0
17,IL,RETAIL PHARMACY,KY,PERRY,9143,1.34475,100.0,1.5,15.0,201206,1514.0
18,IL,RETAIL PHARMACY,KY,GRANT,9193,3.027,500.0,1.0,10.0,201202,414.0
19,IL,RETAIL PHARMACY,KY,GRANT,9143,8.965,1000.0,1.5,10.0,201203,1143.0
20,IL,RETAIL PHARMACY,KY,GRANT,9193,3.027,500.0,1.0,10.0,201203,393.0
26,IL,RETAIL PHARMACY,KY,WASHINGTON,9193,1.5135,500.0,1.0,5.0,201101,116.0
29,IL,RETAIL PHARMACY,KY,MADISON,9193,3.027,500.0,1.0,10.0,201203,1304.0
31,MI,CHAIN PHARMACY,KY,BOONE,9143,4.4825,1000.0,1.5,5.0,200601,1419.0
32,MI,CHAIN PHARMACY,KY,BOONE,9193,1.36215,300.0,1.0,7.5,200604,1047.0
33,MI,CHAIN PHARMACY,KY,BOONE,9143,0.8965,100.0,1.5,10.0,200606,1723.0
34,MI,CHAIN PHARMACY,KY,BOONE,9193,0.45405,100.0,1.0,7.5,200608,1246.0
35,MI,CHAIN PHARMACY,KY,BOONE,9143,1.793,200.0,1.5,10.0,200609,1528.0
36,MI,CHAIN PHARMACY,KY,BOONE,9193,1.5135,500.0,1.0,5.0,200611,1210.0
37,MI,CHAIN PHARMACY,KY,BOONE,9193,1.36215,300.0,1.0,7.5,200612,1271.0
38,MI,CHAIN PHARMACY,KY,BOONE,9143,5.379,300.0,1.5,20.0,200704,1752.0
40,MI,CHAIN PHARMACY,KY,BOONE,9193,0.45405,100.0,1.0,7.5,200705,1404.0
41,MI,CHAIN PHARMACY,KY,BOONE,9193,0.45405,100.0,1.0,7.5,200706,1349.0
43,MI,CHAIN PHARMACY,KY,BOONE,9193,0.45405,100.0,1.0,7.5,200707,1416.0
45,MI,CHAIN PHARMACY,KY,BOONE,9143,10.758,300.0,1.5,40.0,200707,1904.0
46,MI,CHAIN PHARMACY,KY,BOONE,9193,0.9081,200.0,1.0,7.5,200708,1471.0
47,MI,CHAIN PHARMACY,KY,BOONE,9193,1.5135,500.0,1.0,5.0,200710,1394.0
49,MI,CHAIN PHARMACY,KY,BOONE,9143,10.758,300.0,1.5,40.0,200711,2146.0
50,MI,CHAIN PHARMACY,KY,BOONE,9143,1.34475,200.0,1.5,7.5,200802,1983.0
51,MI,CHAIN PHARMACY,KY,BOONE,9143,0.8965,100.0,1.5,10.0,200803,1950.0
52,MI,CHAIN PHARMACY,KY,BOONE,9193,0.45405,100.0,1.0,7.5,200804,1274.0
53,MI,CHAIN PHARMACY,KY,BOONE,9143,1.793,100.0,1.5,20.0,200805,1897.0
55,MI,CHAIN PHARMACY,KY,BOONE,9193,0.9081,200.0,1.0,7.5,200806,1347.0
57,MI,CHAIN PHARMACY,KY,BOONE,9143,4.4825,500.0,1.5,10.0,200806,2074.0
59,MI,CHAIN PHARMACY,KY,BOONE,9143,4.4825,1000.0,1.5,5.0,200809,2224.0
60,MI,CHAIN PHARMACY,KY,BOONE,9143,1.793,200.0,1.5,10.0,200810,2246.0
61,MI,CHAIN PHARMACY,KY,BOONE,9143,6.72375,1000.0,1.5,7.5,200811,1902.0
63,MI,CHAIN PHARMACY,KY,BOONE,9143,2.6895,300.0,1.5,10.0,200901,1993.0
64,MI,CHAIN PHARMACY,KY,BOONE,9143,1.34475,200.0,1.5,7.5,200903,2469.0
65,MI,CHAIN PHARMACY,KY,BOONE,9193,0.3027,100.0,1.0,5.0,200903,1480.0
66,MI,CHAIN PHARMACY,KY,BOONE,9143,1.34475,300.0,1.5,5.0,200906,2466.0
67,MI,CHAIN PHARMACY,KY,BOONE,9143,2.017125,300.0,1.5,7.5,200908,2415.0
68,MI,CHAIN PHARMACY,KY,BOONE,9143,3.5860000000000003,800.0,1.5,5.0,200912,3035.0
70,MI,CHAIN PHARMACY,KY,BOONE,9143,2.6895,300.0,1.5,10.0,201001,2561.0
72,MI,CHAIN PHARMACY,KY,BOONE,9143,1.793,400.0,1.5,5.0,201002,2320.0
73,MI,CHAIN PHARMACY,KY,BOONE,9143,3.5860000000000003,100.0,1.5,40.0,201003,2764.0
74,MI,CHAIN PHARMACY,KY,BOONE,9143,6.2755,700.0,1.5,10.0,201004,2869.0
76,MI,CHAIN PHARMACY,KY,BOONE,9143,4.4825,500.0,1.5,10.0,201005,2836.0
77,MI,CHAIN PHARMACY,KY,BOONE,9143,7.1720000000000015,100.0,1.5,80.0,201006,3027.0
79,MI,CHAIN PHARMACY,KY,BOONE,9143,0.8965,100.0,1.5,10.0,201007,3062.0
80,MI,CHAIN PHARMACY,KY,BOONE,9193,2.27025,500.0,1.0,7.5,201008,1391.0
81,MI,CHAIN PHARMACY,KY,BOONE,9143,1.34475,300.0,1.5,5.0,201008,3171.0
82,MI,CHAIN PHARMACY,KY,BOONE,9143,3.5860000000000003,400.0,1.5,10.0,201010,3051.0
83,MI,CHAIN PHARMACY,KY,BOONE,9143,0.8965,200.0,1.5,5.0,201011,3113.0
84,MI,CHAIN PHARMACY,KY,BOONE,9143,2.6895,200.0,1.5,15.0,201101,2934.0
86,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200603,8210.0
88,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,0.8965,100.0,1.5,10.0,200603,4357.0
89,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200604,8463.0
90,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200609,8895.0
91,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.9081,300.0,1.0,5.0,200610,9501.0
92,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200701,10062.0
94,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200703,10179.0
96,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,1.5135,500.0,1.0,5.0,200709,10222.0
97,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.9081,200.0,1.0,7.5,200801,11554.0
98,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200802,10576.0
99,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200806,11631.0
100,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,0.8965,100.0,1.5,10.0,200807,6131.0
101,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,5.379,100.0,1.5,60.0,200904,6548.0
102,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,0.672375,100.0,1.5,7.5,200906,6647.0
103,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,0.8965,100.0,1.5,10.0,201004,7583.0
104,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.3027,100.0,1.0,5.0,200601,5742.0
106,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,4.4825,1000.0,1.5,5.0,200604,3982.0
108,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.45405,100.0,1.0,7.5,200607,8751.0
111,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.3027,100.0,1.0,5.0,200612,9879.0
115,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,1.5135,500.0,1.0,5.0,200705,10902.0
116,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,2.7243,600.0,1.0,7.5,200706,10337.0
119,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,1.2108,400.0,1.0,5.0,200708,11167.0
120,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,10.758,300.0,1.5,40.0,200712,5088.0
122,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,2.6895,300.0,1.5,10.0,200802,5178.0
126,MI,CHAIN PHARMACY,KY,JEFFERSON,9193,0.3027,100.0,1.0,5.0,200807,12658.0
127,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,5.379,600.0,1.5,10.0,200809,6067.0
128,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,7.1720000000000015,200.0,1.5,40.0,200812,6769.0
129,MI,CHAIN PHARMACY,KY,JEFFERSON,9143,2.6895,300.0,1.5,10.0,200903,6728.0
