,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,LA,ASCENSION,9143,13.4475,1000.0,15.0,200607,622.0
1,NY,RETAIL PHARMACY,LA,ASCENSION,9143,2.6895,300.0,10.0,200703,822.0
3,NY,RETAIL PHARMACY,LA,ASCENSION,9143,0.672375,100.0,7.5,200704,771.0
4,NY,RETAIL PHARMACY,LA,JEFFERSON,9193,18.162,3000.0,10.0,200601,10241.0
5,NY,RETAIL PHARMACY,LA,JEFFERSON,9193,15.135,2500.0,10.0,200602,8080.0
6,NY,RETAIL PHARMACY,LA,JEFFERSON,9193,0.45405,100.0,7.5,200608,9608.0
7,NY,RETAIL PHARMACY,LA,JEFFERSON,9193,36.324,6000.0,10.0,200612,7774.0
8,NY,RETAIL PHARMACY,LA,JEFFERSON,9193,3.027,500.0,10.0,200701,8339.0
10,OH,RETAIL PHARMACY,LA,TANGIPAHOA,9193,1.5135,500.0,5.0,201203,1794.0
11,VA,PRACTITIONER,LA,LAFAYETTE,9193,0.45405,100.0,7.5,200709,3773.0
12,VA,PRACTITIONER,LA,CADDO,9193,2.27025,500.0,7.5,200702,3273.0
13,VA,PRACTITIONER,LA,ORLEANS,9193,6.0539999999999985,1000.0,10.0,200706,1240.0
14,CA,PRACTITIONER,LA,LAFAYETTE,9193,0.72648,240.0,5.0,200812,4092.0
15,CA,PRACTITIONER,LA,CADDO,9193,0.072648,16.0,7.5,201104,5143.0
16,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,200604,667.0
17,LA,RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,10.0,200605,730.0
18,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,200609,735.0
19,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.5135,500.0,5.0,200610,736.0
21,LA,RETAIL PHARMACY,LA,IBERIA,9193,0.6054,100.0,10.0,200701,791.0
23,LA,RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,10.0,200703,919.0
25,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.2108,200.0,10.0,200704,827.0
27,LA,RETAIL PHARMACY,LA,IBERIA,9143,1.3446,300.0,5.0,200704,173.0
28,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.8162,300.0,10.0,200705,820.0
29,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.2108,200.0,10.0,200707,848.0
31,LA,RETAIL PHARMACY,LA,IBERIA,9193,0.3027,100.0,5.0,200711,883.0
32,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,200804,899.0
33,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.5135,500.0,5.0,200909,1462.0
34,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.8162,300.0,10.0,200910,1388.0
35,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.5135,500.0,5.0,201001,1247.0
36,LA,RETAIL PHARMACY,LA,IBERIA,9143,0.672375,100.0,7.5,201004,319.0
38,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,201005,973.0
40,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,201007,1248.0
41,LA,RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,10.0,201008,1026.0
42,LA,RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,10.0,201012,1362.0
43,LA,RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,10.0,201102,1362.0
44,LA,RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,10.0,201103,1183.0
45,LA,RETAIL PHARMACY,LA,IBERIA,9143,0.44825,100.0,5.0,201104,375.0
46,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.2108,200.0,10.0,201104,888.0
47,LA,RETAIL PHARMACY,LA,IBERIA,9193,1.2108,200.0,10.0,201105,1245.0
48,LA,RETAIL PHARMACY,LA,IBERIA,9143,0.8965,100.0,10.0,201106,446.0
49,LA,RETAIL PHARMACY,LA,IBERIA,9143,0.8965,100.0,10.0,201109,453.0
50,LA,RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,10.0,201110,954.0
51,LA,RETAIL PHARMACY,LA,IBERIA,9143,1.34475,300.0,5.0,201111,492.0
52,LA,RETAIL PHARMACY,LA,IBERIA,9193,9.081,1500.0,10.0,201204,1078.0
53,LA,RETAIL PHARMACY,LA,IBERIA,9193,12.108,2000.0,10.0,201205,1360.0
54,LA,RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,10.0,201206,1203.0
56,LA,RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,10.0,201208,1204.0
57,LA,RETAIL PHARMACY,LA,IBERIA,9193,12.108,2000.0,10.0,201209,884.0
58,LA,RETAIL PHARMACY,LA,IBERIA,9193,9.081,1500.0,10.0,201210,1233.0
59,LA,RETAIL PHARMACY,LA,WEST BATON ROUGE,9143,1.34475,100.0,15.0,200602,86.0
60,LA,RETAIL PHARMACY,LA,WEST BATON ROUGE,9193,3.027,500.0,10.0,200606,311.0
61,LA,RETAIL PHARMACY,LA,WEST BATON ROUGE,9143,10.758,400.0,30.0,200606,166.0
62,LA,RETAIL PHARMACY,LA,WEST BATON ROUGE,9193,1.5135,500.0,5.0,200607,299.0
63,LA,RETAIL PHARMACY,LA,WEST BATON ROUGE,9193,0.6054,100.0,10.0,200611,285.0
64,LA,RETAIL PHARMACY,LA,WEST BATON ROUGE,9143,0.8965,100.0,10.0,200612,223.0
65,LA,RETAIL PHARMACY,LA,ACADIA,9193,6.0539999999999985,1000.0,10.0,200606,634.0
66,LA,RETAIL PHARMACY,LA,ACADIA,9193,1.8162,300.0,10.0,200708,610.0
67,LA,RETAIL PHARMACY,LA,ACADIA,9193,6.0539999999999985,1000.0,10.0,200801,624.0
68,LA,RETAIL PHARMACY,LA,ACADIA,9193,3.027,500.0,10.0,200807,519.0
69,LA,RETAIL PHARMACY,LA,ACADIA,9193,6.0539999999999985,1000.0,10.0,200809,459.0
70,LA,RETAIL PHARMACY,LA,ACADIA,9193,3.027,500.0,10.0,200906,586.0
71,LA,RETAIL PHARMACY,LA,ACADIA,9193,3.027,500.0,10.0,201108,600.0
72,LA,RETAIL PHARMACY,LA,ACADIA,9193,6.0539999999999985,1000.0,10.0,201109,605.0
73,LA,RETAIL PHARMACY,LA,ACADIA,9193,1.5135,500.0,5.0,201112,586.0
74,LA,RETAIL PHARMACY,LA,ACADIA,9193,3.027,500.0,10.0,201206,511.0
75,LA,RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,10.0,200602,682.0
76,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,200607,806.0
78,LA,RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,10.0,200706,840.0
80,LA,RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,7.5,200710,968.0
82,LA,RETAIL PHARMACY,LA,IBERIA,9143,0.44825,100.0,5.0,200711,200.0
83,LA,RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,10.0,200801,860.0
85,LA,RETAIL PHARMACY,LA,IBERIA,9143,0.8965,100.0,10.0,200805,230.0
