,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,MA,PRACTITIONER,MA,MIDDLESEX,9193,0.6054,100.0,1.0,10.0,201212,3709.0
1,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,86.064,1200.0,1.5,80.0,200703,13350.0
2,VT,RETAIL PHARMACY,MA,MIDDLESEX,9193,2.27025,500.0,1.0,7.5,200711,2938.0
3,VT,RETAIL PHARMACY,MA,BERKSHIRE,9193,2.27025,500.0,1.0,7.5,200801,612.0
4,VT,RETAIL PHARMACY,MA,BERKSHIRE,9193,0.6054,100.0,1.0,10.0,200812,608.0
5,VT,RETAIL PHARMACY,MA,SUFFOLK,9193,0.9081,200.0,1.0,7.5,200911,1146.0
6,VT,RETAIL PHARMACY,MA,NORFOLK,9143,2.017125,300.0,1.5,7.5,200703,8111.0
7,VT,RETAIL PHARMACY,MA,NORFOLK,9143,8.0685,300.0,1.5,30.0,200705,8552.0
8,VT,RETAIL PHARMACY,MA,NORFOLK,9143,5.379,1200.0,1.5,5.0,200706,10585.0
9,VT,RETAIL PHARMACY,MA,NORFOLK,9143,21.516,1200.0,1.5,20.0,200707,8067.0
10,VT,RETAIL PHARMACY,MA,NORFOLK,9143,8.0685,600.0,1.5,15.0,200711,7817.0
11,VT,RETAIL PHARMACY,MA,NORFOLK,9143,14.344,200.0,1.5,80.0,200807,8434.0
12,VT,RETAIL PHARMACY,MA,NORFOLK,9143,13.4475,500.0,1.5,30.0,200808,7867.0
13,VT,RETAIL PHARMACY,MA,NORFOLK,9143,8.965,2000.0,1.5,5.0,200811,6926.0
14,VT,RETAIL PHARMACY,MA,NORFOLK,9143,7.1720000000000015,100.0,1.5,80.0,200905,7605.0
15,VT,RETAIL PHARMACY,MA,NORFOLK,9143,5.379,1200.0,1.5,5.0,201101,8861.0
16,VT,RETAIL PHARMACY,MA,NORFOLK,9143,2.6895,300.0,1.5,10.0,201108,9506.0
17,VT,RETAIL PHARMACY,MA,ESSEX,9193,1.5135,500.0,1.0,5.0,200804,2412.0
18,VT,RETAIL PHARMACY,MA,ESSEX,9143,2.6895,200.0,1.5,15.0,200810,9627.0
19,VT,RETAIL PHARMACY,MA,ESSEX,9143,2.017125,300.0,1.5,7.5,200812,10511.0
21,VT,RETAIL PHARMACY,MA,ESSEX,9143,1.34475,100.0,1.5,15.0,200907,10937.0
23,VT,RETAIL PHARMACY,MA,ESSEX,9143,0.8965,200.0,1.5,5.0,201110,12663.0
24,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,7.1720000000000015,200.0,1.5,40.0,201104,13527.0
26,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,1.793,200.0,1.5,10.0,201106,16175.0
28,VT,RETAIL PHARMACY,MA,MIDDLESEX,9193,0.3027,100.0,1.0,5.0,201107,2814.0
29,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,5.379,100.0,1.5,60.0,201107,16516.0
31,VT,RETAIL PHARMACY,MA,MIDDLESEX,9193,1.5135,500.0,1.0,5.0,201108,3303.0
32,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,1.793,200.0,1.5,10.0,201109,16900.0
33,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,6.72375,1000.0,1.5,7.5,201110,25012.0
35,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,3.5860000000000003,400.0,1.5,10.0,201203,15769.0
36,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,10.758,300.0,1.5,40.0,200912,15272.0
37,VT,RETAIL PHARMACY,MA,MIDDLESEX,9193,2.27025,500.0,1.0,7.5,201003,3062.0
38,VT,RETAIL PHARMACY,MA,MIDDLESEX,9193,2.27025,500.0,1.0,7.5,201006,3081.0
39,VT,RETAIL PHARMACY,MA,MIDDLESEX,9193,2.27025,500.0,1.0,7.5,201007,2903.0
40,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,32.274,1200.0,1.5,30.0,201011,15407.0
41,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,26.895,1000.0,1.5,30.0,201103,17104.0
42,VT,RETAIL PHARMACY,MA,MIDDLESEX,9143,5.379,600.0,1.5,10.0,201105,15375.0
43,VT,RETAIL PHARMACY,MA,ESSEX,9193,2.27025,500.0,1.0,7.5,200902,2722.0
44,VT,RETAIL PHARMACY,MA,ESSEX,9193,3.027,1000.0,1.0,5.0,200906,5814.0
45,VT,RETAIL PHARMACY,MA,ESSEX,9143,5.379,200.0,1.5,30.0,201006,11306.0
47,VT,RETAIL PHARMACY,MA,ESSEX,9143,1.793,200.0,1.5,10.0,201008,11845.0
48,VT,RETAIL PHARMACY,MA,ESSEX,9143,0.1793,20.0,1.5,10.0,201103,13782.0
49,VT,RETAIL PHARMACY,MA,ESSEX,9143,0.672375,100.0,1.5,7.5,201108,13343.0
50,VT,RETAIL PHARMACY,MA,ESSEX,9143,0.44825,100.0,1.5,5.0,201205,14143.0
51,VT,RETAIL PHARMACY,MA,BERKSHIRE,9193,1.5135,500.0,1.0,5.0,200605,538.0
52,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,0.479574,100.0,1.5,5.35,200605,2126.0
53,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,0.8965,100.0,1.5,10.0,200606,1894.0
54,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,2.6895,100.0,1.5,30.0,200609,2081.0
55,VT,RETAIL PHARMACY,MA,BERKSHIRE,9193,0.45405,100.0,1.0,7.5,200703,481.0
56,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,1.793,200.0,1.5,10.0,200703,2279.0
57,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,0.8965,200.0,1.5,5.0,200706,2512.0
58,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,7.1720000000000015,100.0,1.5,80.0,200708,2160.0
59,VT,RETAIL PHARMACY,MA,BERKSHIRE,9143,1.34475,100.0,1.5,15.0,200711,2303.0
60,VT,RETAIL PHARMACY,MA,BERKSHIRE,9193,0.45405,100.0,1.0,7.5,200806,513.0
61,VT,RETAIL PHARMACY,MA,BERKSHIRE,9193,2.27025,500.0,1.0,7.5,200903,638.0
