,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,CHAIN PHARMACY,MD,CALVERT,9143,21.516,300.0,1.5,80.0,200601,631.0
1,NY,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,400.0,1.5,10.0,200701,7986.0
2,NY,RETAIL PHARMACY,MD,PRINCE GEORGES,9143,7.1720000000000015,200.0,1.5,40.0,200601,2659.0
3,NY,RETAIL PHARMACY,MD,PRINCE GEORGES,9193,1.5135,500.0,1.0,5.0,200602,1875.0
4,NY,RETAIL PHARMACY,MD,CHARLES,9193,0.45405,100.0,1.0,7.5,200601,704.0
5,NY,RETAIL PHARMACY,MD,CHARLES,9193,2.27025,500.0,1.0,7.5,200612,794.0
6,NY,RETAIL PHARMACY,MD,BALTIMORE CITY,9193,6.0539999999999985,1000.0,1.0,10.0,200601,2828.0
7,NY,RETAIL PHARMACY,MD,BALTIMORE CITY,9143,8.965,2000.0,1.5,5.0,200602,6829.0
9,NY,RETAIL PHARMACY,MD,BALTIMORE CITY,9143,8.965,2000.0,1.5,5.0,200606,7824.0
10,NY,RETAIL PHARMACY,MD,BALTIMORE CITY,9143,13.4475,1000.0,1.5,15.0,200607,7842.0
11,NY,RETAIL PHARMACY,MD,BALTIMORE CITY,9143,26.895,1000.0,1.5,30.0,200703,8343.0
12,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,5.379,400.0,1.5,15.0,200601,3740.0
16,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,3.027,500.0,1.0,10.0,200602,2296.0
18,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,200.0,1.5,7.5,200603,7076.0
20,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,14.344,200.0,1.5,80.0,200606,7115.0
21,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,0.45405,100.0,1.0,7.5,200606,2794.0
24,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.2241,100.0,1.5,2.5,200607,6477.0
25,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200608,7542.0
26,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,1.5135,500.0,1.0,5.0,200608,2818.0
29,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,200.0,1.5,20.0,200609,6589.0
31,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,0.3027,100.0,1.0,5.0,200610,3082.0
32,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,7.1720000000000015,200.0,1.5,40.0,200610,7671.0
33,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,0.9081,200.0,1.0,7.5,200612,2653.0
36,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.672375,100.0,1.5,7.5,200702,6743.0
37,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200703,7965.0
38,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,3.027,1000.0,1.0,5.0,200703,2854.0
39,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.24125,500.0,1.5,5.0,200704,7181.0
41,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200705,8049.0
42,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,200706,8603.0
43,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,200707,7872.0
44,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,200709,6999.0
45,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200710,8694.0
46,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,200712,7593.0
47,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,10.758,300.0,1.5,40.0,200801,8422.0
48,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,200803,6618.0
50,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,200804,8857.0
52,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200807,9688.0
56,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.672375,100.0,1.5,7.5,200808,8264.0
57,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,300.0,1.5,5.0,200810,9371.0
59,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200811,8098.0
63,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,200901,8092.0
65,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,100.0,1.5,40.0,200902,7752.0
66,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,100.0,1.5,10.0,200905,8996.0
68,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,8.0685,300.0,1.5,30.0,200906,9497.0
71,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,5.379,100.0,1.5,60.0,200908,9061.0
75,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,300.0,1.5,5.0,200909,9628.0
77,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,200911,9390.0
78,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,5.379,100.0,1.5,60.0,200912,10767.0
80,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.793,100.0,1.5,20.0,201001,9073.0
81,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,201002,9053.0
83,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,201004,10229.0
85,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,201005,9424.0
89,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.793,200.0,1.5,10.0,201006,10725.0
90,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,201007,10370.0
91,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,1.2108,200.0,1.0,10.0,201008,3230.0
92,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,100.0,1.5,10.0,201009,10128.0
93,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.6895,300.0,1.5,10.0,201010,10154.0
94,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,201011,10801.0
95,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,201012,10928.0
96,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.6895,200.0,1.5,15.0,201103,11858.0
98,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.6895,300.0,1.5,10.0,201104,10529.0
101,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,201105,10927.0
102,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.672375,100.0,1.5,7.5,201106,12011.0
103,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,4.03425,300.0,1.5,15.0,201108,11355.0
105,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,201109,11102.0
109,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,201110,11250.0
112,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,201111,11141.0
114,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,100.0,1.5,10.0,201112,11813.0
115,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.793,200.0,1.5,10.0,201201,11464.0
117,MD,RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.6895,200.0,1.5,15.0,201203,11314.0
118,MD,RETAIL PHARMACY,MD,WASHINGTON,9193,0.45405,100.0,1.0,7.5,200605,729.0
119,MD,RETAIL PHARMACY,MD,WASHINGTON,9143,0.672375,100.0,1.5,7.5,200605,1805.0
120,MD,RETAIL PHARMACY,MD,WASHINGTON,9193,1.5135,500.0,1.0,5.0,200607,755.0
121,MD,RETAIL PHARMACY,MD,WASHINGTON,9143,1.34475,200.0,1.5,7.5,200607,1747.0
122,MD,RETAIL PHARMACY,MD,WASHINGTON,9143,1.793,200.0,1.5,10.0,200608,1868.0
123,MD,RETAIL PHARMACY,MD,WASHINGTON,9193,2.27025,500.0,1.0,7.5,200609,735.0
124,MD,RETAIL PHARMACY,MD,WASHINGTON,9143,1.34475,300.0,1.5,5.0,200609,1839.0
125,MD,RETAIL PHARMACY,MD,WASHINGTON,9193,0.3027,100.0,1.0,5.0,200611,782.0
126,MD,RETAIL PHARMACY,MD,WASHINGTON,9143,2.017125,300.0,1.5,7.5,200611,1888.0
128,MD,RETAIL PHARMACY,MD,WASHINGTON,9143,4.4825,1000.0,1.5,5.0,200701,1901.0
129,MD,RETAIL PHARMACY,MD,WASHINGTON,9193,0.45405,100.0,1.0,7.5,200701,705.0
