,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,500.0,1.0,10.0,200602,146.0
1,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,2.241,500.0,1.5,5.0,200602,455.0
2,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,0.8965,100.0,1.5,10.0,200606,590.0
3,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,200608,171.0
4,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,500.0,1.0,10.0,200610,171.0
5,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,2.017125,300.0,1.5,7.5,200612,532.0
6,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,11.509776,2400.0,1.5,5.35,200702,450.0
7,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,200703,194.0
8,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,0.45405,100.0,1.0,7.5,200704,199.0
9,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,200707,194.0
10,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,6.2344620000000015,1300.0,1.5,5.35,200707,502.0
11,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,200712,187.0
12,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,7.1720000000000015,100.0,1.5,80.0,200802,541.0
14,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,6.0539999999999985,1000.0,1.0,10.0,200806,194.0
15,VT,RETAIL PHARMACY,ME,FRANKLIN,9143,0.8965,200.0,1.5,5.0,200807,571.0
16,VT,RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,200807,209.0
