,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,MI,MACOMB,9143,10.758,300.0,1.5,40.0,200704,3353.0
1,NY,RETAIL PHARMACY,MI,MACOMB,9143,3.5860000000000003,400.0,1.5,10.0,200606,2923.0
2,NY,RETAIL PHARMACY,MI,WAYNE,9193,0.45405,100.0,1.0,7.5,200606,21188.0
4,NY,RETAIL PHARMACY,MI,WAYNE,9193,2.27025,500.0,1.0,7.5,200612,15371.0
5,NY,CHAIN PHARMACY,MI,MACOMB,9143,28.688,400.0,1.5,80.0,200601,2585.0
6,GA,RETAIL PHARMACY,MI,JACKSON,9193,6.0539999999999985,1000.0,1.0,10.0,201212,2378.0
7,GA,RETAIL PHARMACY,MI,JACKSON,9193,3.027,500.0,1.0,10.0,201205,2089.0
8,OH,PRACTITIONER,MI,SAGINAW,9193,0.6054,200.0,1.0,5.0,201001,2247.0
9,OH,PRACTITIONER,MI,CALHOUN,9193,0.6054,200.0,1.0,5.0,200701,1906.0
10,OH,PRACTITIONER,MI,OTTAWA,9193,0.3027,100.0,1.0,5.0,200703,1590.0
11,MI,PRACTITIONER,MI,MUSKEGON,9193,0.6054,100.0,1.0,10.0,200602,1488.0
12,OH,RETAIL PHARMACY,MI,KALAMAZOO,9193,1.5135,500.0,1.0,5.0,201205,3998.0
13,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.4482,100.0,1.5,5.0,200601,325.0
15,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,200605,1658.0
16,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200606,1824.0
17,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.6054,100.0,1.0,10.0,200610,2029.0
18,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,200612,1946.0
20,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,3.5860000000000003,100.0,1.5,40.0,200612,391.0
21,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200701,2064.0
22,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,200704,2074.0
24,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,10.758,300.0,1.5,40.0,200705,446.0
25,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200707,2146.0
26,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200708,2198.0
27,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,7.1720000000000015,100.0,1.5,80.0,200711,388.0
28,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.4482,100.0,1.5,5.0,200712,422.0
29,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,200801,2283.0
30,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,3.5860000000000003,100.0,1.5,40.0,200801,420.0
31,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200802,2107.0
32,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200803,2247.0
33,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,3.5860000000000003,100.0,1.5,40.0,200803,324.0
34,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,3.5860000000000003,100.0,1.5,40.0,200804,394.0
35,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,7.1720000000000015,100.0,1.5,80.0,200806,373.0
36,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,200808,2413.0
37,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,200901,2342.0
40,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,200902,2380.0
41,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,5.379,100.0,1.5,60.0,200902,381.0
42,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,200903,2577.0
43,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,200904,2604.0
44,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,200905,2587.0
45,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,200906,2795.0
46,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,200908,2574.0
47,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,200909,501.0
48,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,200910,2695.0
49,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,200911,491.0
50,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,201002,2457.0
51,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201003,2869.0
53,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.9081,300.0,1.0,5.0,201004,2889.0
54,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201005,2768.0
55,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,201006,3036.0
56,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201007,2930.0
57,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201009,2998.0
58,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.44825,100.0,1.5,5.0,201010,417.0
60,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201012,3289.0
61,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201103,3607.0
63,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,1.34475,200.0,1.5,7.5,201104,540.0
64,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.44825,100.0,1.5,5.0,201105,533.0
65,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,201105,3445.0
66,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,3.027,1000.0,1.0,5.0,201106,3811.0
67,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.44825,100.0,1.5,5.0,201106,593.0
70,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.44825,100.0,1.5,5.0,201107,526.0
71,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201107,3381.0
73,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,201108,4006.0
74,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,0.6054,200.0,1.0,5.0,201109,3673.0
75,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,201110,499.0
76,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201111,3437.0
78,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,201112,566.0
79,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,201112,3749.0
80,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201201,3006.0
81,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201202,2838.0
83,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,201204,566.0
84,MI,RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,201206,568.0
85,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201207,3568.0
86,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201210,4171.0
87,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,201211,4030.0
89,MI,RETAIL PHARMACY,MI,MUSKEGON,9193,12.108,2000.0,1.0,10.0,201212,4138.0
90,MI,RETAIL PHARMACY,MI,MONROE,9143,0.8964,200.0,1.5,5.0,200601,511.0
91,MI,RETAIL PHARMACY,MI,MONROE,9143,0.4482,100.0,1.5,5.0,200602,529.0
92,MI,RETAIL PHARMACY,MI,MONROE,9193,0.45405,100.0,1.0,7.5,200604,1309.0
94,MI,RETAIL PHARMACY,MI,MONROE,9193,0.9081,200.0,1.0,7.5,200605,1473.0
95,MI,RETAIL PHARMACY,MI,MONROE,9193,1.5135,500.0,1.0,5.0,200606,1546.0
96,MI,RETAIL PHARMACY,MI,MONROE,9193,0.45405,100.0,1.0,7.5,200607,1469.0
97,MI,RETAIL PHARMACY,MI,MONROE,9193,0.9081,200.0,1.0,7.5,200608,1615.0
99,MI,RETAIL PHARMACY,MI,MONROE,9143,0.8964,200.0,1.5,5.0,200701,725.0
100,MI,RETAIL PHARMACY,MI,MONROE,9143,0.8964,200.0,1.5,5.0,200703,656.0
101,MI,RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,200703,1630.0
102,MI,RETAIL PHARMACY,MI,MONROE,9193,1.5135,500.0,1.0,5.0,200706,1760.0
104,MI,RETAIL PHARMACY,MI,MONROE,9193,1.5135,500.0,1.0,5.0,200707,1829.0
108,MI,RETAIL PHARMACY,MI,MONROE,9143,1.3446,300.0,1.5,5.0,200709,648.0
109,MI,RETAIL PHARMACY,MI,MONROE,9193,4.5405,1000.0,1.0,7.5,200709,1626.0
110,MI,RETAIL PHARMACY,MI,MONROE,9143,3.5860000000000003,100.0,1.5,40.0,200710,747.0
111,MI,RETAIL PHARMACY,MI,MONROE,9143,0.8965,100.0,1.5,10.0,200711,860.0
114,MI,RETAIL PHARMACY,MI,MONROE,9193,0.136215,30.0,1.0,7.5,200711,1826.0
115,MI,RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,200712,1841.0
117,MI,RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,200803,1956.0
118,MI,RETAIL PHARMACY,MI,MONROE,9143,0.8965,100.0,1.5,10.0,200804,810.0
119,MI,RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,200805,2019.0
121,MI,RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,200806,1953.0
123,MI,RETAIL PHARMACY,MI,MONROE,9193,0.6054,100.0,1.0,10.0,200807,2118.0
