,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,MN,WRIGHT,9193,1.2108,200.0,1.0,10.0,200603,281.0
1,NY,RETAIL PHARMACY,MN,PENNINGTON,9193,0.45405,100.0,1.0,7.5,200609,77.0
2,NY,RETAIL PHARMACY,MN,PENNINGTON,9193,3.027,500.0,1.0,10.0,200701,107.0
3,IL,RETAIL PHARMACY,MN,WABASHA,9193,3.027,1000.0,1.0,5.0,200707,40.0
4,IL,RETAIL PHARMACY,MN,WABASHA,9193,0.45405,100.0,1.0,7.5,200802,45.0
5,IL,RETAIL PHARMACY,MN,WABASHA,9193,0.9081,200.0,1.0,7.5,200903,49.0
7,IL,RETAIL PHARMACY,MN,WABASHA,9193,0.45405,100.0,1.0,7.5,200904,27.0
8,IL,RETAIL PHARMACY,MN,WABASHA,9193,3.027,1000.0,1.0,5.0,201108,62.0
9,IL,RETAIL PHARMACY,MN,WABASHA,9193,3.027,1000.0,1.0,5.0,201109,58.0
10,IL,RETAIL PHARMACY,MN,WABASHA,9193,0.3027,100.0,1.0,5.0,201111,61.0
11,IL,RETAIL PHARMACY,MN,WABASHA,9143,2.6895,100.0,1.5,30.0,201201,123.0
12,IL,RETAIL PHARMACY,MN,WABASHA,9193,0.45405,100.0,1.0,7.5,201202,59.0
13,IL,RETAIL PHARMACY,MN,WABASHA,9143,2.24125,500.0,1.5,5.0,201204,90.0
14,IL,RETAIL PHARMACY,MN,WABASHA,9193,1.2108,200.0,1.0,10.0,201204,52.0
16,IL,RETAIL PHARMACY,MN,WABASHA,9143,2.24125,500.0,1.5,5.0,201205,146.0
17,IL,RETAIL PHARMACY,MN,MCLEOD,9193,2.27025,500.0,1.0,7.5,200710,198.0
19,IL,RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,200711,159.0
20,IL,RETAIL PHARMACY,MN,MCLEOD,9193,4.5405,1000.0,1.0,7.5,200801,183.0
21,IL,RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,200803,196.0
22,IL,RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,200805,186.0
23,IL,RETAIL PHARMACY,MN,MCLEOD,9143,0.44825,100.0,1.5,5.0,200807,208.0
24,IL,RETAIL PHARMACY,MN,MCLEOD,9143,3.5860000000000003,100.0,1.5,40.0,200903,272.0
25,IL,RETAIL PHARMACY,MN,MCLEOD,9143,0.44825,100.0,1.5,5.0,200912,295.0
26,IL,RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,201003,248.0
27,IL,RETAIL PHARMACY,MN,MCLEOD,9143,0.44825,100.0,1.5,5.0,201004,220.0
28,IL,RETAIL PHARMACY,MN,MCLEOD,9143,0.8965,100.0,1.5,10.0,201005,235.0
29,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,200709,251.0
31,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.8965,200.0,1.5,5.0,200802,318.0
32,IL,RETAIL PHARMACY,MN,OTTER TAIL,9193,0.45405,100.0,1.0,7.5,200803,176.0
33,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,200808,357.0
34,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,200810,376.0
35,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,200812,402.0
36,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,200902,349.0
37,IL,RETAIL PHARMACY,MN,OTTER TAIL,9193,1.5135,500.0,1.0,5.0,200905,232.0
39,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,200911,311.0
40,IL,RETAIL PHARMACY,MN,OTTER TAIL,9193,1.2108,200.0,1.0,10.0,201002,217.0
41,IL,RETAIL PHARMACY,MN,OTTER TAIL,9193,0.45405,100.0,1.0,7.5,201003,229.0
42,IL,RETAIL PHARMACY,MN,OTTER TAIL,9143,2.6895,100.0,1.5,30.0,201003,362.0
43,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,200707,337.0
44,IL,RETAIL PHARMACY,MN,GOODHUE,9143,1.793,100.0,1.5,20.0,200711,333.0
45,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.8965,200.0,1.5,5.0,200803,334.0
47,IL,RETAIL PHARMACY,MN,GOODHUE,9193,1.5135,500.0,1.0,5.0,200805,171.0
48,IL,RETAIL PHARMACY,MN,GOODHUE,9193,0.6054,100.0,1.0,10.0,200812,232.0
49,IL,RETAIL PHARMACY,MN,GOODHUE,9143,1.34475,100.0,1.5,15.0,200812,371.0
50,IL,RETAIL PHARMACY,MN,GOODHUE,9193,1.2108,200.0,1.0,10.0,200901,174.0
51,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.672375,100.0,1.5,7.5,200903,369.0
52,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.8965,100.0,1.5,10.0,200904,374.0
53,IL,RETAIL PHARMACY,MN,GOODHUE,9143,3.5860000000000003,100.0,1.5,40.0,200905,318.0
54,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,200906,328.0
55,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.8965,200.0,1.5,5.0,200909,355.0
57,IL,RETAIL PHARMACY,MN,GOODHUE,9193,0.45405,100.0,1.0,7.5,200912,210.0
58,IL,RETAIL PHARMACY,MN,GOODHUE,9193,0.6054,100.0,1.0,10.0,201001,156.0
61,IL,RETAIL PHARMACY,MN,GOODHUE,9143,2.24125,500.0,1.5,5.0,201002,341.0
63,IL,RETAIL PHARMACY,MN,GOODHUE,9193,0.6054,100.0,1.0,10.0,201003,196.0
64,IL,RETAIL PHARMACY,MN,GOODHUE,9143,2.24125,500.0,1.5,5.0,201003,363.0
65,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,201004,351.0
66,IL,RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,201005,324.0
67,IL,RETAIL PHARMACY,MN,RICE,9143,1.3446,300.0,1.5,5.0,200707,210.0
