,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,MO,GASCONADE,9193,3.027,1000.0,1.0,5.0,200609,56.0
1,NY,RETAIL PHARMACY,MO,GASCONADE,9193,0.6054,100.0,1.0,10.0,200610,89.0
2,NY,RETAIL PHARMACY,MO,SAINT LOUIS CITY,9193,1.8162,300.0,1.0,10.0,200606,887.0
3,NY,RETAIL PHARMACY,MO,SAINT LOUIS CITY,9193,1.36215,300.0,1.0,7.5,200611,816.0
4,NY,RETAIL PHARMACY,MO,SAINT LOUIS CITY,9193,0.45405,100.0,1.0,7.5,200612,860.0
5,NY,RETAIL PHARMACY,MO,CALLAWAY,9143,0.672375,100.0,1.5,7.5,200609,197.0
6,NY,RETAIL PHARMACY,MO,MONITEAU,9143,0.672375,100.0,1.5,7.5,200610,35.0
7,NY,RETAIL PHARMACY,MO,MONITEAU,9193,0.45405,100.0,1.0,7.5,200701,44.0
8,NY,RETAIL PHARMACY,MO,MONITEAU,9143,2.24125,500.0,1.5,5.0,200702,32.0
9,GA,RETAIL PHARMACY,MO,HOWELL,9193,0.136215,30.0,1.0,7.5,200803,622.0
10,GA,RETAIL PHARMACY,MO,HOWELL,9193,3.027,500.0,1.0,10.0,200807,689.0
11,GA,RETAIL PHARMACY,MO,HOWELL,9193,1.5135,500.0,1.0,5.0,200810,734.0
12,GA,RETAIL PHARMACY,MO,MISSISSIPPI,9193,1.5135,500.0,1.0,5.0,201111,266.0
13,GA,RETAIL PHARMACY,MO,MISSISSIPPI,9193,1.5135,500.0,1.0,5.0,201210,241.0
14,OH,PRACTITIONER,MO,JEFFERSON,9193,0.6054,200.0,1.0,5.0,200605,1292.0
15,OH,PRACTITIONER,MO,JEFFERSON,9193,0.3027,100.0,1.0,5.0,200704,1348.0
16,OH,PRACTITIONER,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,200903,6968.0
17,OH,PRACTITIONER,MO,SAINT LOUIS,9193,0.6054,200.0,1.0,5.0,200904,7713.0
18,IL,RETAIL PHARMACY,MO,GREENE,9193,3.027,500.0,1.0,10.0,200905,5628.0
19,IL,RETAIL PHARMACY,MO,GREENE,9143,1.793,100.0,1.5,20.0,200907,3305.0
20,IL,RETAIL PHARMACY,MO,GREENE,9143,3.5860000000000003,100.0,1.5,40.0,200910,2949.0
21,IL,RETAIL PHARMACY,MO,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,200911,6044.0
22,IL,RETAIL PHARMACY,MO,GREENE,9143,2.24125,500.0,1.5,5.0,201001,3292.0
24,IL,RETAIL PHARMACY,MO,GREENE,9193,0.3027,100.0,1.0,5.0,201003,6446.0
26,IL,RETAIL PHARMACY,MO,GREENE,9193,0.3027,100.0,1.0,5.0,201005,6685.0
27,IL,RETAIL PHARMACY,MO,GREENE,9143,2.24125,500.0,1.5,5.0,201012,3651.0
28,IL,RETAIL PHARMACY,MO,GREENE,9193,2.27025,500.0,1.0,7.5,201101,6716.0
30,IL,RETAIL PHARMACY,MO,GREENE,9143,0.8965,100.0,1.5,10.0,201107,3341.0
32,IL,RETAIL PHARMACY,MO,GREENE,9193,0.136215,30.0,1.0,7.5,201110,6394.0
33,IL,RETAIL PHARMACY,MO,GREENE,9193,1.2108,200.0,1.0,10.0,201112,7247.0
34,IL,RETAIL PHARMACY,MO,GREENE,9193,3.027,500.0,1.0,10.0,201201,6185.0
35,IL,RETAIL PHARMACY,MO,GREENE,9143,0.8965,100.0,1.5,10.0,201202,3950.0
36,IL,RETAIL PHARMACY,MO,GREENE,9143,0.672375,100.0,1.5,7.5,201207,4699.0
37,IL,RETAIL PHARMACY,MO,GREENE,9143,0.672375,100.0,1.5,7.5,201208,4469.0
38,IL,RETAIL PHARMACY,MO,GREENE,9143,0.8965,100.0,1.5,10.0,201209,4002.0
39,IL,RETAIL PHARMACY,MO,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,201212,5670.0
40,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,200603,7231.0
41,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.793,100.0,1.5,20.0,200604,6148.0
42,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.34475,200.0,1.5,7.5,200606,5646.0
43,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.44825,100.0,1.5,5.0,200610,5575.0
44,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.8965,200.0,1.5,5.0,200612,7020.0
45,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,200703,5878.0
47,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.8965,200.0,1.5,5.0,200704,8403.0
49,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.45405,100.0,1.0,7.5,200803,5786.0
50,IL,RETAIL PHARMACY,MO,TEXAS,9143,2.6895,200.0,1.5,15.0,201010,156.0
51,IL,RETAIL PHARMACY,MO,TEXAS,9193,0.3027,100.0,1.0,5.0,201011,308.0
52,IL,RETAIL PHARMACY,MO,TEXAS,9143,3.5860000000000003,100.0,1.5,40.0,201103,222.0
53,IL,RETAIL PHARMACY,MO,TEXAS,9143,7.1720000000000015,100.0,1.5,80.0,201105,211.0
54,IL,RETAIL PHARMACY,MO,TEXAS,9143,1.793,400.0,1.5,5.0,201106,203.0
55,IL,RETAIL PHARMACY,MO,TEXAS,9193,2.27025,500.0,1.0,7.5,201202,275.0
56,IL,RETAIL PHARMACY,MO,TEXAS,9143,1.793,200.0,1.5,10.0,201204,177.0
57,IL,RETAIL PHARMACY,MO,TEXAS,9143,2.017125,300.0,1.5,7.5,201208,237.0
59,IL,RETAIL PHARMACY,MO,TEXAS,9143,6.72375,500.0,1.5,15.0,201209,251.0
60,IL,RETAIL PHARMACY,MO,TEXAS,9193,2.27025,500.0,1.0,7.5,201210,211.0
61,IL,RETAIL PHARMACY,MO,TEXAS,9143,1.34475,300.0,1.5,5.0,201210,240.0
62,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,200605,6483.0
63,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,1.2108,400.0,1.0,5.0,200607,5612.0
64,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,2.6895,300.0,1.5,10.0,200607,4878.0
65,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.672375,100.0,1.5,7.5,200608,6809.0
66,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,2.6895,200.0,1.5,15.0,200609,5382.0
67,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.34475,100.0,1.5,15.0,200707,7285.0
68,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.793,200.0,1.5,10.0,200709,5606.0
69,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,3.5860000000000003,100.0,1.5,40.0,200711,5853.0
70,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,4.4825,1000.0,1.5,5.0,200805,5834.0
71,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.8965,100.0,1.5,10.0,200807,6431.0
72,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,1.5135,500.0,1.0,5.0,200811,7473.0
73,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,200812,7789.0
77,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9193,3.027,500.0,1.0,10.0,200906,7908.0
78,IL,RETAIL PHARMACY,MO,SAINT LOUIS,9143,2.6895,200.0,1.5,15.0,200906,7217.0
79,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,5.379,300.0,1.5,20.0,200612,697.0
80,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,1.34475,100.0,1.5,15.0,200702,680.0
81,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,2.017125,300.0,1.5,7.5,200704,723.0
82,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,28.688,400.0,1.5,80.0,200705,850.0
83,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,1.34475,100.0,1.5,15.0,200706,831.0
84,IL,RETAIL PHARMACY,MO,FRANKLIN,9193,4.5405,1000.0,1.0,7.5,200807,946.0
85,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,21.516,300.0,1.5,80.0,200812,1161.0
86,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,6.72375,1500.0,1.5,5.0,200909,1263.0
87,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,2.6895,300.0,1.5,10.0,200910,1312.0
88,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,2.6895,300.0,1.5,10.0,200911,1196.0
89,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,14.344,200.0,1.5,80.0,200912,1429.0
91,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,10.758,400.0,1.5,30.0,201005,1290.0
92,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,5.379,100.0,1.5,60.0,201104,1404.0
93,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,2.6895,300.0,1.5,10.0,201105,1537.0
95,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,2.017125,300.0,1.5,7.5,201112,1816.0
96,IL,RETAIL PHARMACY,MO,FRANKLIN,9143,5.379,600.0,1.5,10.0,201202,1746.0
97,IL,RETAIL PHARMACY,MO,BENTON,9143,1.793,100.0,1.5,20.0,201007,288.0
99,IL,RETAIL PHARMACY,MO,BENTON,9193,2.27025,500.0,1.0,7.5,201008,322.0
100,IL,RETAIL PHARMACY,MO,BENTON,9143,2.6895,200.0,1.5,15.0,201009,277.0
102,IL,RETAIL PHARMACY,MO,BENTON,9193,3.027,500.0,1.0,10.0,201010,305.0
103,IL,RETAIL PHARMACY,MO,BENTON,9143,1.793,200.0,1.5,10.0,201011,338.0
104,IL,RETAIL PHARMACY,MO,BENTON,9193,0.45405,100.0,1.0,7.5,201011,327.0
105,IL,RETAIL PHARMACY,MO,BENTON,9193,3.027,500.0,1.0,10.0,201101,312.0
106,IL,RETAIL PHARMACY,MO,BENTON,9143,1.793,200.0,1.5,10.0,201101,276.0
107,IL,RETAIL PHARMACY,MO,BENTON,9193,3.027,500.0,1.0,10.0,201104,250.0
108,IL,RETAIL PHARMACY,MO,BENTON,9143,3.5860000000000003,400.0,1.5,10.0,201104,285.0
109,IL,RETAIL PHARMACY,MO,BENTON,9193,0.6054,100.0,1.0,10.0,201105,287.0
111,IL,RETAIL PHARMACY,MO,BENTON,9193,0.6054,100.0,1.0,10.0,201106,301.0
113,IL,RETAIL PHARMACY,MO,BENTON,9193,1.5135,500.0,1.0,5.0,201107,294.0
114,IL,RETAIL PHARMACY,MO,BENTON,9193,1.5135,500.0,1.0,5.0,201108,313.0
115,IL,RETAIL PHARMACY,MO,BENTON,9193,18.162,3000.0,1.0,10.0,201109,309.0
116,IL,RETAIL PHARMACY,MO,BENTON,9193,0.6054,100.0,1.0,10.0,201110,345.0
117,IL,RETAIL PHARMACY,MO,BENTON,9193,3.027,500.0,1.0,10.0,201112,286.0
118,IL,RETAIL PHARMACY,MO,BENTON,9143,0.8965,100.0,1.5,10.0,201201,371.0
120,IL,RETAIL PHARMACY,MO,BENTON,9143,2.24125,500.0,1.5,5.0,201202,315.0
121,IL,RETAIL PHARMACY,MO,BENTON,9193,3.027,1000.0,1.0,5.0,201202,256.0
122,IL,RETAIL PHARMACY,MO,BENTON,9143,1.793,200.0,1.5,10.0,201203,276.0
