,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,MS,HARRISON,9193,0.45405,100.0,1.0,7.5,200610,2586.0
1,NY,RETAIL PHARMACY,MS,HARRISON,9193,0.45405,100.0,1.0,7.5,200701,2410.0
2,NY,CHAIN PHARMACY,MS,CHICKASAW,9193,3.027,500.0,1.0,10.0,200611,262.0
3,NY,CHAIN PHARMACY,MS,CHICKASAW,9193,6.81075,1500.0,1.0,7.5,200702,265.0
4,GA,RETAIL PHARMACY,MS,JACKSON,9193,4.5405,1000.0,1.0,7.5,201209,2011.0
5,GA,RETAIL PHARMACY,MS,WAYNE,9193,9.081,1500.0,1.0,10.0,200803,278.0
6,GA,RETAIL PHARMACY,MS,RANKIN,9193,0.9081,200.0,1.0,7.5,200803,1693.0
7,GA,RETAIL PHARMACY,MS,RANKIN,9193,6.0539999999999985,1000.0,1.0,10.0,200909,1853.0
8,GA,RETAIL PHARMACY,MS,RANKIN,9193,0.6054,200.0,1.0,5.0,201004,1938.0
9,GA,RETAIL PHARMACY,MS,RANKIN,9193,18.162,3000.0,1.0,10.0,201105,2520.0
10,GA,RETAIL PHARMACY,MS,RANKIN,9193,2.27025,500.0,1.0,7.5,201107,2221.0
11,GA,RETAIL PHARMACY,MS,RANKIN,9193,6.0539999999999985,1000.0,1.0,10.0,201110,2389.0
12,GA,RETAIL PHARMACY,MS,RANKIN,9193,6.0539999999999985,1000.0,1.0,10.0,201206,2628.0
13,GA,RETAIL PHARMACY,MS,RANKIN,9193,3.027,500.0,1.0,10.0,201207,2440.0
14,GA,RETAIL PHARMACY,MS,RANKIN,9193,2.27025,500.0,1.0,7.5,201209,2454.0
16,GA,RETAIL PHARMACY,MS,GREENE,9193,2.27025,500.0,1.0,7.5,201106,45.0
17,GA,RETAIL PHARMACY,MS,HARRISON,9193,6.0539999999999985,1000.0,1.0,10.0,201204,3561.0
18,GA,RETAIL PHARMACY,MS,LAUDERDALE,9193,3.027,500.0,1.0,10.0,200907,1600.0
19,GA,RETAIL PHARMACY,MS,LAUDERDALE,9193,3.027,500.0,1.0,10.0,200910,1644.0
20,GA,RETAIL PHARMACY,MS,LAUDERDALE,9193,3.027,500.0,1.0,10.0,201003,1871.0
21,GA,RETAIL PHARMACY,MS,LAUDERDALE,9193,0.45405,100.0,1.0,7.5,201101,1707.0
22,GA,RETAIL PHARMACY,MS,LAUDERDALE,9193,1.5135,500.0,1.0,5.0,201211,1985.0
23,KY,RETAIL PHARMACY,MS,BENTON,9143,3.5860000000000003,200.0,1.5,20.0,200605,16.0
24,KY,RETAIL PHARMACY,MS,BENTON,9193,3.027,1000.0,1.0,5.0,200606,10.0
25,KY,RETAIL PHARMACY,MS,BENTON,9143,3.5860000000000003,200.0,1.5,20.0,200701,11.0
26,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,100.0,1.5,10.0,200708,26.0
27,KY,RETAIL PHARMACY,MS,BENTON,9143,1.793,200.0,1.5,10.0,200710,24.0
28,KY,RETAIL PHARMACY,MS,BENTON,9193,0.9081,200.0,1.0,7.5,200711,20.0
29,KY,RETAIL PHARMACY,MS,BENTON,9143,1.793,200.0,1.5,10.0,200712,22.0
30,KY,RETAIL PHARMACY,MS,BENTON,9193,2.27025,500.0,1.0,7.5,200803,12.0
31,KY,RETAIL PHARMACY,MS,BENTON,9143,0.672375,100.0,1.5,7.5,200804,27.0
32,KY,RETAIL PHARMACY,MS,BENTON,9193,4.5405,1000.0,1.0,7.5,200812,17.0
33,KY,RETAIL PHARMACY,MS,BENTON,9143,1.34475,200.0,1.5,7.5,200903,20.0
34,KY,RETAIL PHARMACY,MS,BENTON,9143,3.5860000000000003,400.0,1.5,10.0,200905,14.0
35,KY,RETAIL PHARMACY,MS,BENTON,9143,2.6895,300.0,1.5,10.0,200908,26.0
36,KY,RETAIL PHARMACY,MS,BENTON,9193,0.6054,100.0,1.0,10.0,200911,20.0
37,KY,RETAIL PHARMACY,MS,BENTON,9143,5.379,600.0,1.5,10.0,200911,24.0
38,KY,RETAIL PHARMACY,MS,BENTON,9193,3.027,1000.0,1.0,5.0,201001,19.0
39,KY,RETAIL PHARMACY,MS,BENTON,9143,1.793,400.0,1.5,5.0,201001,24.0
40,KY,RETAIL PHARMACY,MS,BENTON,9193,3.027,1000.0,1.0,5.0,201002,19.0
41,KY,RETAIL PHARMACY,MS,BENTON,9143,2.6895,300.0,1.5,10.0,201002,17.0
42,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,200.0,1.5,5.0,201003,25.0
43,KY,RETAIL PHARMACY,MS,BENTON,9193,0.6054,100.0,1.0,10.0,201005,16.0
44,KY,RETAIL PHARMACY,MS,BENTON,9193,2.27025,500.0,1.0,7.5,201006,17.0
45,KY,RETAIL PHARMACY,MS,BENTON,9143,1.793,400.0,1.5,5.0,201006,19.0
46,KY,RETAIL PHARMACY,MS,BENTON,9193,9.081,2000.0,1.0,7.5,201008,19.0
47,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,200.0,1.5,5.0,201008,16.0
49,KY,RETAIL PHARMACY,MS,BENTON,9193,3.027,500.0,1.0,10.0,201009,22.0
50,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,100.0,1.5,10.0,201011,31.0
51,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,100.0,1.5,10.0,201102,20.0
52,KY,RETAIL PHARMACY,MS,BENTON,9193,0.6054,100.0,1.0,10.0,201106,26.0
53,KY,RETAIL PHARMACY,MS,BENTON,9193,0.9081,200.0,1.0,7.5,201205,27.0
54,KY,RETAIL PHARMACY,MS,BENTON,9193,3.027,500.0,1.0,10.0,201210,43.0
55,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,200.0,1.5,5.0,201211,30.0
56,KY,RETAIL PHARMACY,MS,BENTON,9193,3.027,1000.0,1.0,5.0,201212,38.0
57,KY,RETAIL PHARMACY,MS,BENTON,9143,0.8965,100.0,1.5,10.0,201212,31.0
59,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,2.27025,500.0,1.0,7.5,200611,110.0
60,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,0.44825,100.0,1.5,5.0,200701,23.0
62,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,1.793,100.0,1.5,20.0,200703,35.0
63,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,1.5135,500.0,1.0,5.0,200705,104.0
64,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,7.1720000000000015,100.0,1.5,80.0,200705,46.0
65,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,3.5860000000000003,100.0,1.5,40.0,200707,43.0
66,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,0.44825,100.0,1.5,5.0,200711,47.0
67,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,7.1720000000000015,100.0,1.5,80.0,200805,43.0
69,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,3.5860000000000003,100.0,1.5,40.0,200806,40.0
70,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,7.1720000000000015,100.0,1.5,80.0,200808,34.0
71,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,1.5135,500.0,1.0,5.0,200810,138.0
72,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,0.403425,100.0,1.5,,200909,34.0
73,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,2.27025,500.0,1.0,7.5,200909,142.0
74,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,0.3027,100.0,1.0,5.0,201003,176.0
75,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,1.5135,500.0,1.0,5.0,201004,203.0
76,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,2.27025,500.0,1.0,7.5,201006,192.0
77,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,2.27025,500.0,1.0,7.5,201011,207.0
78,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,0.6054,100.0,1.0,10.0,201012,201.0
79,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,1.793,200.0,1.5,10.0,201012,38.0
80,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,2.27025,500.0,1.0,7.5,201102,182.0
81,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,0.9081,200.0,1.0,7.5,201110,217.0
82,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,7.1720000000000015,100.0,1.5,80.0,201112,31.0
83,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,0.44825,100.0,1.5,5.0,201202,55.0
84,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,1.5135,500.0,1.0,5.0,201202,232.0
85,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,3.027,500.0,1.0,10.0,201204,181.0
86,KY,RETAIL PHARMACY,MS,SUNFLOWER,9143,0.672375,100.0,1.5,7.5,201205,34.0
87,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,1.5135,500.0,1.0,5.0,201208,207.0
88,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,3.027,500.0,1.0,10.0,201209,169.0
89,KY,RETAIL PHARMACY,MS,SUNFLOWER,9193,3.027,500.0,1.0,10.0,201210,196.0
90,KY,RETAIL PHARMACY,MS,TATE,9193,0.6054,100.0,1.0,10.0,200612,156.0
92,KY,RETAIL PHARMACY,MS,TATE,9193,0.6054,100.0,1.0,10.0,200701,140.0
93,KY,RETAIL PHARMACY,MS,TATE,9143,1.34475,200.0,1.5,7.5,200701,172.0
98,KY,RETAIL PHARMACY,MS,TATE,9193,0.45405,100.0,1.0,7.5,200702,134.0
100,KY,RETAIL PHARMACY,MS,TATE,9193,1.8162,300.0,1.0,10.0,200704,156.0
101,KY,RETAIL PHARMACY,MS,TATE,9193,1.2108,200.0,1.0,10.0,200705,220.0
103,KY,RETAIL PHARMACY,MS,TATE,9143,1.34475,200.0,1.5,7.5,200707,178.0
104,KY,RETAIL PHARMACY,MS,TATE,9143,1.793,400.0,1.5,5.0,200708,194.0
