,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,MT,CASCADE,9193,6.0539999999999985,1000.0,1.0,10.0,200604,795.0
1,NY,RETAIL PHARMACY,MT,CASCADE,9143,0.8965,100.0,1.5,10.0,200608,667.0
2,NY,RETAIL PHARMACY,MT,CASCADE,9193,1.5135,500.0,1.0,5.0,200610,867.0
3,NY,RETAIL PHARMACY,MT,MISSOULA,9193,3.027,500.0,1.0,10.0,200608,912.0
4,CO,RETAIL PHARMACY,MT,FALLON,9193,1.5135,500.0,1.0,5.0,200807,34.0
5,CO,RETAIL PHARMACY,MT,FALLON,9193,0.9081,200.0,1.0,7.5,200810,33.0
6,CO,RETAIL PHARMACY,MT,FALLON,9193,4.5405,1500.0,1.0,5.0,200812,54.0
7,CO,RETAIL PHARMACY,MT,FALLON,9193,0.3027,100.0,1.0,5.0,200901,35.0
8,CO,RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,200902,30.0
9,CO,RETAIL PHARMACY,MT,FALLON,9143,1.34475,200.0,1.5,7.5,200902,14.0
10,CO,RETAIL PHARMACY,MT,FALLON,9193,0.9081,200.0,1.0,7.5,200903,49.0
11,CO,RETAIL PHARMACY,MT,FALLON,9143,1.34475,300.0,1.5,5.0,200903,24.0
12,CO,RETAIL PHARMACY,MT,FALLON,9143,1.34475,300.0,1.5,5.0,200904,22.0
13,CO,RETAIL PHARMACY,MT,FALLON,9193,0.3027,100.0,1.0,5.0,200905,12.0
16,CO,RETAIL PHARMACY,MT,FALLON,9193,1.8162,400.0,1.0,7.5,200910,26.0
17,CO,RETAIL PHARMACY,MT,FALLON,9143,3.5860000000000003,100.0,1.5,40.0,200910,20.0
18,CO,RETAIL PHARMACY,MT,FALLON,9193,0.3027,100.0,1.0,5.0,201002,37.0
19,CO,RETAIL PHARMACY,MT,FALLON,9143,2.6895,600.0,1.5,5.0,201003,19.0
20,CO,RETAIL PHARMACY,MT,FALLON,9143,1.793,100.0,1.5,20.0,201007,22.0
22,CO,RETAIL PHARMACY,MT,FALLON,9193,0.9081,300.0,1.0,5.0,201008,23.0
23,CO,RETAIL PHARMACY,MT,FALLON,9193,0.9081,300.0,1.0,5.0,201009,32.0
24,CO,RETAIL PHARMACY,MT,FALLON,9143,0.8965,200.0,1.5,5.0,201010,21.0
25,CO,RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,201011,31.0
28,CO,RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,201101,22.0
29,CO,RETAIL PHARMACY,MT,FALLON,9193,1.5135,500.0,1.0,5.0,201105,34.0
30,CO,RETAIL PHARMACY,MT,FALLON,9193,1.8162,600.0,1.0,5.0,201106,47.0
