,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,NC,VANCE,9143,5.379,300.0,1.5,20.0,200703,1141.0
1,NY,RETAIL PHARMACY,NC,CARTERET,9143,7.1720000000000015,800.0,1.5,10.0,200701,1277.0
2,NY,RETAIL PHARMACY,NC,CARTERET,9143,7.1720000000000015,200.0,1.5,40.0,200702,1123.0
3,NY,RETAIL PHARMACY,NC,CARTERET,9143,5.379,300.0,1.5,20.0,200703,1127.0
4,NY,RETAIL PHARMACY,NC,ONSLOW,9193,3.027,500.0,1.0,10.0,200603,786.0
5,NY,RETAIL PHARMACY,NC,ROBESON,9143,5.379,600.0,1.5,10.0,200703,2208.0
6,GA,RETAIL PHARMACY,NC,CRAVEN,9193,0.6054,200.0,1.0,5.0,200903,835.0
7,GA,RETAIL PHARMACY,NC,CRAVEN,9193,1.5135,500.0,1.0,5.0,200906,778.0
8,GA,RETAIL PHARMACY,NC,CRAVEN,9193,1.5135,500.0,1.0,5.0,201203,886.0
9,GA,RETAIL PHARMACY,NC,CRAVEN,9193,1.5135,500.0,1.0,5.0,201210,892.0
10,GA,RETAIL PHARMACY,NC,SURRY,9193,4.5405,1000.0,1.0,7.5,201206,1193.0
11,GA,RETAIL PHARMACY,NC,SURRY,9193,2.27025,500.0,1.0,7.5,201209,1140.0
12,GA,RETAIL PHARMACY,NC,SURRY,9193,6.0539999999999985,1000.0,1.0,10.0,201212,1481.0
13,OH,RETAIL PHARMACY,NC,CATAWBA,9193,0.3027,100.0,1.0,5.0,201201,5208.0
14,OH,RETAIL PHARMACY,NC,HARNETT,9193,3.027,1000.0,1.0,5.0,201203,647.0
15,OH,RETAIL PHARMACY,NC,HARNETT,9193,1.5135,500.0,1.0,5.0,201207,646.0
16,MD,RETAIL PHARMACY,NC,HERTFORD,9143,0.8965,100.0,1.5,10.0,201007,407.0
17,MD,RETAIL PHARMACY,NC,HERTFORD,9193,3.027,500.0,1.0,10.0,201009,254.0
18,MD,RETAIL PHARMACY,NC,HERTFORD,9193,0.45405,100.0,1.0,7.5,201101,280.0
19,MD,RETAIL PHARMACY,NC,HERTFORD,9143,1.793,200.0,1.5,10.0,201104,561.0
20,MD,RETAIL PHARMACY,NC,HERTFORD,9193,0.54486,90.0,1.0,10.0,201106,252.0
22,MD,RETAIL PHARMACY,NC,HERTFORD,9193,0.3027,100.0,1.0,5.0,201108,317.0
25,MD,RETAIL PHARMACY,NC,HERTFORD,9193,0.3027,100.0,1.0,5.0,201110,300.0
26,MD,RETAIL PHARMACY,NC,HERTFORD,9193,0.3027,100.0,1.0,5.0,201111,259.0
28,MD,RETAIL PHARMACY,NC,HERTFORD,9143,2.6895,300.0,1.5,10.0,201111,489.0
29,MD,RETAIL PHARMACY,NC,HERTFORD,9193,0.45405,100.0,1.0,7.5,201112,310.0
30,MD,RETAIL PHARMACY,NC,HERTFORD,9143,4.4825,1000.0,1.5,5.0,201112,575.0
32,MD,RETAIL PHARMACY,NC,HERTFORD,9143,1.793,100.0,1.5,20.0,201201,577.0
33,MD,RETAIL PHARMACY,NC,HERTFORD,9143,1.793,200.0,1.5,10.0,201202,598.0
34,MD,RETAIL PHARMACY,NC,HALIFAX,9193,0.6054,100.0,1.0,10.0,200701,317.0
35,MD,RETAIL PHARMACY,NC,HALIFAX,9143,1.34475,300.0,1.5,5.0,200712,401.0
36,MD,RETAIL PHARMACY,NC,HALIFAX,9143,3.5860000000000003,800.0,1.5,5.0,200804,407.0
37,MD,RETAIL PHARMACY,NC,HALIFAX,9193,1.2108,200.0,1.0,10.0,200808,388.0
38,MD,RETAIL PHARMACY,NC,HALIFAX,9193,1.8162,600.0,1.0,5.0,200812,421.0
39,MD,CHAIN PHARMACY,NC,DARE,9193,0.9081,200.0,1.0,7.5,200904,337.0
40,MD,CHAIN PHARMACY,NC,DARE,9143,6.72375,500.0,1.5,15.0,200905,797.0
41,MD,CHAIN PHARMACY,NC,DARE,9143,2.24125,500.0,1.5,5.0,200907,877.0
42,MD,CHAIN PHARMACY,NC,DARE,9143,28.688,400.0,1.5,80.0,201008,1105.0
43,MD,CHAIN PHARMACY,NC,DARE,9143,13.4475,1500.0,1.5,10.0,201010,1055.0
44,MD,CHAIN PHARMACY,NC,DARE,9143,16.137,600.0,1.5,30.0,201012,611.0
45,MD,CHAIN PHARMACY,NC,DARE,9143,4.03425,600.0,1.5,7.5,201101,1049.0
46,MD,CHAIN PHARMACY,NC,DARE,9143,13.4475,1000.0,1.5,15.0,201106,1135.0
47,MD,CHAIN PHARMACY,NC,DARE,9143,16.137,600.0,1.5,30.0,201107,982.0
48,MD,CHAIN PHARMACY,NC,DARE,9143,9.8615,1100.0,1.5,10.0,201111,959.0
49,MD,CHAIN PHARMACY,NC,DARE,9143,8.0685,300.0,1.5,30.0,201201,1043.0
50,MD,CHAIN PHARMACY,NC,DARE,9193,0.6054,200.0,1.0,5.0,201201,323.0
51,MD,CHAIN PHARMACY,NC,DARE,9143,4.4825,500.0,1.5,10.0,201202,1092.0
52,MD,CHAIN PHARMACY,NC,DARE,9143,5.379,400.0,1.5,15.0,200903,809.0
53,MD,CHAIN PHARMACY,NC,DARE,9143,2.24125,500.0,1.5,5.0,200904,834.0
54,MD,CHAIN PHARMACY,NC,DARE,9193,1.5135,500.0,1.0,5.0,201003,316.0
55,MD,CHAIN PHARMACY,NC,DARE,9143,2.6895,300.0,1.5,10.0,201004,1047.0
57,MD,CHAIN PHARMACY,NC,DARE,9143,1.793,400.0,1.5,5.0,201009,1125.0
60,MD,CHAIN PHARMACY,NC,DARE,9193,2.27025,500.0,1.0,7.5,201012,347.0
61,MD,CHAIN PHARMACY,NC,DARE,9193,1.8162,400.0,1.0,7.5,201108,366.0
