,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,CO,RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,200905,116.0
2,CO,RETAIL PHARMACY,ND,STARK,9193,1.2108,200.0,1.0,10.0,200906,135.0
3,CO,RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,200912,130.0
4,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,201001,146.0
5,CO,RETAIL PHARMACY,ND,STARK,9143,1.793,100.0,1.5,20.0,201002,139.0
6,CO,RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,201005,130.0
7,CO,RETAIL PHARMACY,ND,STARK,9193,0.6054,200.0,1.0,5.0,201006,153.0
8,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,201006,159.0
9,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,201007,156.0
10,CO,RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,200602,103.0
12,CO,RETAIL PHARMACY,ND,STARK,9193,0.6054,100.0,1.0,10.0,200605,128.0
13,CO,RETAIL PHARMACY,ND,STARK,9193,0.6054,100.0,1.0,10.0,200606,106.0
14,CO,RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,200610,134.0
15,CO,RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,200612,222.0
16,CO,RETAIL PHARMACY,ND,STARK,9143,0.672375,100.0,1.5,7.5,200612,129.0
17,CO,RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,200702,123.0
18,CO,RETAIL PHARMACY,ND,STARK,9143,0.8965,200.0,1.5,5.0,200703,145.0
20,CO,RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,200704,135.0
21,CO,RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,200707,159.0
22,CO,RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,200707,88.0
23,CO,RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,200708,117.0
24,CO,RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,200709,96.0
26,CO,RETAIL PHARMACY,ND,STARK,9143,1.793,100.0,1.5,20.0,200710,160.0
27,CO,RETAIL PHARMACY,ND,STARK,9143,4.4825,1000.0,1.5,5.0,200712,94.0
29,CO,RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,200802,102.0
30,CO,RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,200803,109.0
31,CO,RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,200806,115.0
32,CO,RETAIL PHARMACY,ND,STARK,9193,1.36215,300.0,1.0,7.5,200807,120.0
33,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,200807,130.0
35,CO,RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,200808,100.0
36,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,200810,153.0
37,CO,RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,200810,117.0
38,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,200811,156.0
39,CO,RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,200812,128.0
40,CO,RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,200901,135.0
42,CO,RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,200902,95.0
43,CO,RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,200904,142.0
45,CO,RETAIL PHARMACY,ND,STARK,9143,0.44825,100.0,1.5,5.0,200905,113.0
47,CO,RETAIL PHARMACY,ND,STARK,9143,0.8965,200.0,1.5,5.0,200906,136.0
48,CO,RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,200907,110.0
49,CO,RETAIL PHARMACY,ND,STARK,9143,1.793,100.0,1.5,20.0,200908,154.0
50,CO,RETAIL PHARMACY,ND,STARK,9193,0.9081,200.0,1.0,7.5,200909,110.0
51,CO,RETAIL PHARMACY,ND,STARK,9143,2.6895,300.0,1.5,10.0,200909,118.0
52,CO,RETAIL PHARMACY,ND,STARK,9143,2.6895,300.0,1.5,10.0,200910,136.0
53,CO,RETAIL PHARMACY,ND,STARK,9193,0.9081,200.0,1.0,7.5,200910,122.0
54,CO,RETAIL PHARMACY,ND,STARK,9143,0.44825,100.0,1.5,5.0,200912,149.0
59,CO,RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,201004,123.0
60,CO,RETAIL PHARMACY,ND,STARK,9143,1.34475,100.0,1.5,15.0,201004,144.0
