,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,OH,RETAIL PHARMACY,NE,HAMILTON,9193,1.5135,500.0,1.0,5.0,201203,49.0
1,IL,RETAIL PHARMACY,NE,ADAMS,9193,2.27025,500.0,1.0,7.5,201202,300.0
2,IL,RETAIL PHARMACY,NE,ADAMS,9143,4.4825,1000.0,1.5,5.0,201206,137.0
3,IL,RETAIL PHARMACY,NE,ADAMS,9193,0.6054,100.0,1.0,10.0,201209,213.0
4,IL,RETAIL PHARMACY,NE,ADAMS,9143,1.793,200.0,1.5,10.0,201212,130.0
5,IL,RETAIL PHARMACY,NE,CUSTER,9193,0.6054,100.0,1.0,10.0,201007,100.0
6,IL,RETAIL PHARMACY,NE,CUSTER,9193,2.27025,500.0,1.0,7.5,201009,109.0
7,IL,RETAIL PHARMACY,NE,CUSTER,9143,0.672375,100.0,1.5,7.5,201101,57.0
8,IL,RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,100.0,1.5,40.0,201102,47.0
9,IL,RETAIL PHARMACY,NE,CUSTER,9143,0.8965,100.0,1.5,10.0,201104,43.0
10,IL,RETAIL PHARMACY,NE,CUSTER,9193,1.5135,500.0,1.0,5.0,201107,107.0
11,IL,RETAIL PHARMACY,NE,CUSTER,9143,1.793,200.0,1.5,10.0,201107,60.0
12,IL,RETAIL PHARMACY,NE,CUSTER,9193,0.6054,100.0,1.0,10.0,201108,114.0
13,IL,RETAIL PHARMACY,NE,CUSTER,9193,1.5135,500.0,1.0,5.0,201112,114.0
14,IL,RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,200.0,1.5,20.0,201202,65.0
15,IL,RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,400.0,1.5,10.0,201204,61.0
17,IL,RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,400.0,1.5,10.0,201207,53.0
18,IL,RETAIL PHARMACY,NE,CUSTER,9143,2.6895,300.0,1.5,10.0,201208,66.0
19,IL,RETAIL PHARMACY,NE,CUSTER,9193,0.45405,100.0,1.0,7.5,201210,125.0
20,IL,RETAIL PHARMACY,NE,CUSTER,9143,1.793,200.0,1.5,10.0,201210,76.0
22,IL,RETAIL PHARMACY,NE,CUSTER,9193,0.6054,100.0,1.0,10.0,201211,103.0
23,IL,RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,400.0,1.5,10.0,201211,47.0
24,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,0.6054,200.0,1.0,5.0,201011,4989.0
25,IL,RETAIL PHARMACY,NE,DOUGLAS,9143,2.6895,300.0,1.5,10.0,201012,4040.0
26,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,1.5135,500.0,1.0,5.0,201102,6338.0
28,IL,RETAIL PHARMACY,NE,DOUGLAS,9143,1.793,200.0,1.5,10.0,201104,3500.0
29,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,2.27025,500.0,1.0,7.5,201105,5801.0
30,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,0.9081,300.0,1.0,5.0,201107,4956.0
32,IL,RETAIL PHARMACY,NE,DOUGLAS,9143,1.793,200.0,1.5,10.0,201107,3566.0
33,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,3.027,500.0,1.0,10.0,201109,5268.0
34,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,0.3027,100.0,1.0,5.0,201110,5802.0
35,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,0.6054,100.0,1.0,10.0,201112,5817.0
36,IL,RETAIL PHARMACY,NE,DOUGLAS,9143,2.6895,600.0,1.5,5.0,201202,3697.0
37,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,2.27025,500.0,1.0,7.5,201202,4821.0
38,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,0.6054,100.0,1.0,10.0,201205,5259.0
40,IL,RETAIL PHARMACY,NE,DOUGLAS,9193,1.5135,500.0,1.0,5.0,201209,4463.0
41,IL,RETAIL PHARMACY,NE,DOUGLAS,9143,0.8965,100.0,1.5,10.0,201209,4322.0
