,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,2.27025,500.0,1.0,7.5,200809,145.0
1,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,1.5135,500.0,1.0,5.0,200903,162.0
2,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.45405,100.0,1.0,7.5,200909,155.0
3,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.45405,100.0,1.0,7.5,201001,158.0
4,VT,RETAIL PHARMACY,NH,SULLIVAN,9143,10.758,2400.0,1.5,5.0,201104,496.0
5,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,1.36215,300.0,1.0,7.5,201102,647.0
6,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,0.8965,100.0,1.5,10.0,201112,2944.0
7,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,1.5135,500.0,1.0,5.0,200903,590.0
8,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,8.0685,600.0,1.5,15.0,201108,3070.0
9,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,0.45405,100.0,1.0,7.5,201110,620.0
10,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,5.379,600.0,1.5,10.0,201111,2850.0
12,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,1.5135,500.0,1.0,5.0,200902,473.0
13,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,3.027,500.0,1.0,10.0,200908,456.0
14,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,16.137,600.0,1.5,30.0,200604,1782.0
15,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,1.34475,200.0,1.5,7.5,200605,2184.0
16,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,7.1720000000000015,100.0,1.5,80.0,200606,2106.0
18,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,5.379,300.0,1.5,20.0,200608,2257.0
19,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,21.516,300.0,1.5,80.0,200804,2523.0
20,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,1.5135,500.0,1.0,5.0,200806,473.0
22,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,0.6054,100.0,1.0,10.0,200909,514.0
23,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,0.3027,100.0,1.0,5.0,201001,391.0
24,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,0.3027,100.0,1.0,5.0,201005,531.0
25,VT,RETAIL PHARMACY,NH,STRAFFORD,9143,2.6895,300.0,1.5,10.0,201110,2818.0
26,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,0.3027,100.0,1.0,5.0,201201,606.0
27,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,3.027,1000.0,1.0,5.0,200807,530.0
28,VT,RETAIL PHARMACY,NH,STRAFFORD,9193,2.27025,500.0,1.0,7.5,200903,459.0
30,VT,RETAIL PHARMACY,NH,GRAFTON,9143,5.7548879999999984,1200.0,1.5,5.35,200601,1267.0
32,VT,RETAIL PHARMACY,NH,GRAFTON,9143,14.344,200.0,1.5,80.0,200602,1047.0
34,VT,RETAIL PHARMACY,NH,GRAFTON,9143,7.1720000000000015,200.0,1.5,40.0,200604,1027.0
36,VT,RETAIL PHARMACY,NH,GRAFTON,9143,1.793,200.0,1.5,10.0,200606,1321.0
37,VT,RETAIL PHARMACY,NH,GRAFTON,9143,4.4825,500.0,1.5,10.0,200610,1524.0
38,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,14.344,400.0,1.5,40.0,200806,2754.0
39,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,3.027,500.0,1.0,10.0,200908,577.0
40,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,5.379,600.0,1.5,10.0,201001,2800.0
41,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,3.027,500.0,1.0,10.0,201001,506.0
42,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,5.379,300.0,1.5,20.0,201003,3268.0
43,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,8.965,1000.0,1.5,10.0,201103,3237.0
44,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,13.4475,1000.0,1.5,15.0,201209,2699.0
47,VT,RETAIL PHARMACY,NH,CARROLL,9143,0.8965,200.0,1.5,5.0,200608,545.0
48,VT,RETAIL PHARMACY,NH,CARROLL,9143,2.6895,300.0,1.5,10.0,200609,546.0
49,VT,RETAIL PHARMACY,NH,CARROLL,9143,8.0685,300.0,1.5,30.0,200611,493.0
50,VT,RETAIL PHARMACY,NH,CARROLL,9143,21.516,300.0,1.5,80.0,200701,600.0
51,VT,RETAIL PHARMACY,NH,CARROLL,9193,0.6054,100.0,1.0,10.0,200704,167.0
52,VT,RETAIL PHARMACY,NH,CARROLL,9143,4.03425,600.0,1.5,7.5,200712,554.0
53,VT,RETAIL PHARMACY,NH,CARROLL,9143,4.03425,300.0,1.5,15.0,200802,569.0
54,VT,RETAIL PHARMACY,NH,CARROLL,9193,2.27025,500.0,1.0,7.5,200806,208.0
55,VT,RETAIL PHARMACY,NH,CARROLL,9143,6.72375,1500.0,1.5,5.0,200807,673.0
56,VT,RETAIL PHARMACY,NH,CARROLL,9193,1.5135,500.0,1.0,5.0,200809,236.0
57,VT,RETAIL PHARMACY,NH,CARROLL,9193,1.5135,500.0,1.0,5.0,200907,299.0
58,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,200.0,1.5,20.0,200603,3504.0
59,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.34475,300.0,1.5,5.0,200804,4312.0
60,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.8965,100.0,1.5,10.0,200805,3971.0
61,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,1.5135,500.0,1.0,5.0,200805,1190.0
62,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.24125,500.0,1.5,5.0,200901,4198.0
63,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.34475,300.0,1.5,5.0,200903,5044.0
65,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,0.45405,100.0,1.0,7.5,200907,1243.0
66,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.24125,500.0,1.5,5.0,200908,4593.0
67,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.8965,100.0,1.5,10.0,201004,4897.0
68,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.8965,200.0,1.5,5.0,201008,5135.0
69,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,0.3027,100.0,1.0,5.0,201012,1500.0
70,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.44825,100.0,1.5,5.0,201012,5772.0
71,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.24125,500.0,1.5,5.0,201102,4577.0
72,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.8965,100.0,1.5,10.0,201106,5616.0
73,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,2.4216,400.0,1.0,10.0,201108,1481.0
74,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.34475,300.0,1.5,5.0,201108,5709.0
75,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.793,200.0,1.5,10.0,201111,5617.0
76,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,0.6054,100.0,1.0,10.0,201111,1377.0
78,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.793,200.0,1.5,10.0,201112,5452.0
79,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,1.8162,300.0,1.0,10.0,201204,1544.0
80,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,0.6054,100.0,1.0,10.0,201205,1580.0
81,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9193,0.6054,200.0,1.0,5.0,201210,1617.0
82,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,0.44825,100.0,1.5,5.0,200611,2123.0
83,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,3.5860000000000003,100.0,1.5,40.0,200612,2087.0
85,VT,RETAIL PHARMACY,NH,GRAFTON,9193,0.3027,100.0,1.0,5.0,200712,300.0
86,VT,RETAIL PHARMACY,NH,GRAFTON,9143,0.8965,100.0,1.5,10.0,200803,1678.0
88,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,4.482,1000.0,1.5,5.0,200605,3878.0
89,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.241,500.0,1.5,5.0,200607,3437.0
91,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,5.379,300.0,1.5,20.0,200608,3835.0
92,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.672375,100.0,1.5,7.5,200609,3377.0
94,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.4387219999999998,300.0,1.5,5.35,200610,3810.0
95,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6892,600.0,1.5,5.0,200611,3610.0
96,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,4.482,1000.0,1.5,5.0,200701,3915.0
97,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,7.1720000000000015,100.0,1.5,80.0,200709,3547.0
98,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,100.0,1.5,40.0,200711,3985.0
99,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,5.3784,1200.0,1.5,5.0,200801,4056.0
101,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.672375,100.0,1.5,7.5,200806,4050.0
102,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.44825,100.0,1.5,5.0,200810,4488.0
104,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.672375,100.0,1.5,7.5,200905,4569.0
105,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,4.03425,300.0,1.5,15.0,200906,4906.0
106,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,100.0,1.5,40.0,200907,4864.0
108,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,600.0,1.5,5.0,200909,4857.0
109,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,100.0,1.5,40.0,200910,4835.0
110,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,0.44825,100.0,1.5,5.0,200911,4726.0
113,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,600.0,1.5,5.0,200912,5281.0
116,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,5.379,400.0,1.5,15.0,201005,4491.0
117,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,100.0,1.5,30.0,201006,5573.0
119,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,100.0,1.5,40.0,201010,4928.0
120,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,100.0,1.5,30.0,201011,5331.0
122,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,100.0,1.5,40.0,201101,5013.0
123,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,100.0,1.5,30.0,201103,5879.0
124,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,600.0,1.5,5.0,201105,5677.0
126,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,3.5860000000000003,100.0,1.5,40.0,201107,5154.0
127,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,100.0,1.5,30.0,201109,5447.0
131,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.34475,300.0,1.5,5.0,201204,5126.0
132,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,600.0,1.5,5.0,201205,5598.0
133,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,2.6895,200.0,1.5,15.0,201206,5370.0
134,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.793,100.0,1.5,20.0,201207,5528.0
136,VT,RETAIL PHARMACY,NH,HILLSBOROUGH,9143,1.34475,300.0,1.5,5.0,201212,5441.0
138,VT,RETAIL PHARMACY,NH,SULLIVAN,9143,3.5860000000000003,400.0,1.5,10.0,200601,498.0
141,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,3.027,1000.0,1.0,5.0,200601,105.0
142,VT,RETAIL PHARMACY,NH,SULLIVAN,9143,0.8965,200.0,1.5,5.0,200602,353.0
143,VT,RETAIL PHARMACY,NH,SULLIVAN,9143,0.44825,100.0,1.5,5.0,200606,495.0
144,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.6054,100.0,1.0,10.0,200608,96.0
145,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.9081,200.0,1.0,7.5,200609,98.0
146,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.6054,100.0,1.0,10.0,200610,115.0
147,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,3.027,1000.0,1.0,5.0,200612,99.0
148,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,2.27025,500.0,1.0,7.5,200709,106.0
149,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.6054,200.0,1.0,5.0,200801,135.0
150,VT,RETAIL PHARMACY,NH,SULLIVAN,9193,0.3027,100.0,1.0,5.0,200803,122.0
151,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,0.3027,100.0,1.0,5.0,200604,412.0
152,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,1.5135,500.0,1.0,5.0,200804,566.0
155,VT,RETAIL PHARMACY,NH,MERRIMACK,9143,3.5860000000000003,100.0,1.5,40.0,200805,2619.0
156,VT,RETAIL PHARMACY,NH,MERRIMACK,9193,0.45405,100.0,1.0,7.5,200808,546.0
