,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,NJ,CAMDEN,9193,3.027,1000.0,1.0,5.0,200604,1977.0
1,NY,RETAIL PHARMACY,NJ,HUDSON,9193,2.27025,500.0,1.0,7.5,200605,930.0
2,NY,RETAIL PHARMACY,NJ,HUDSON,9193,3.027,500.0,1.0,10.0,200608,978.0
3,NY,RETAIL PHARMACY,NJ,HUDSON,9193,2.27025,500.0,1.0,7.5,200611,1059.0
4,NY,RETAIL PHARMACY,NJ,PASSAIC,9143,0.8965,100.0,1.5,10.0,200610,3162.0
5,NY,RETAIL PHARMACY,NJ,UNION,9143,5.379,600.0,1.5,10.0,200702,4659.0
6,NY,RETAIL PHARMACY,NJ,UNION,9143,21.516,300.0,1.5,80.0,200703,4321.0
7,NY,RETAIL PHARMACY,NJ,UNION,9193,3.027,500.0,1.0,10.0,200704,2048.0
8,NY,RETAIL PHARMACY,NJ,ESSEX,9143,4.4825,500.0,1.5,10.0,200602,5342.0
9,NY,RETAIL PHARMACY,NJ,ESSEX,9143,7.1720000000000015,200.0,1.5,40.0,200608,6819.0
10,NY,RETAIL PHARMACY,NJ,ESSEX,9143,4.4825,1000.0,1.5,5.0,200612,6812.0
11,NY,RETAIL PHARMACY,NJ,ESSEX,9143,0.8965,100.0,1.5,10.0,200701,6469.0
12,NY,RETAIL PHARMACY,NJ,ESSEX,9143,10.758,1200.0,1.5,10.0,200601,4722.0
13,NY,RETAIL PHARMACY,NJ,ESSEX,9193,2.27025,500.0,1.0,7.5,200606,1279.0
14,NY,RETAIL PHARMACY,NJ,ESSEX,9143,10.758,600.0,1.5,20.0,200609,7033.0
15,NY,RETAIL PHARMACY,NJ,ESSEX,9193,4.5405,1500.0,1.0,5.0,200702,1684.0
16,NY,RETAIL PHARMACY,NJ,ESSEX,9143,21.516,300.0,1.5,80.0,200703,5368.0
17,NY,RETAIL PHARMACY,NJ,ESSEX,9143,1.793,100.0,1.5,20.0,200611,5863.0
19,NY,RETAIL PHARMACY,NJ,HUDSON,9143,0.8965,100.0,1.5,10.0,200606,3587.0
20,NY,RETAIL PHARMACY,NJ,HUDSON,9143,3.5860000000000003,400.0,1.5,10.0,200704,3633.0
22,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9193,0.136215,30.0,1.0,7.5,200701,1966.0
23,NY,RETAIL PHARMACY,NJ,BERGEN,9193,0.45405,100.0,1.0,7.5,200606,1990.0
24,NY,RETAIL PHARMACY,NJ,HUDSON,9193,3.027,500.0,1.0,10.0,200604,884.0
26,NY,RETAIL PHARMACY,NJ,HUDSON,9193,0.3027,100.0,1.0,5.0,200609,1015.0
27,NY,RETAIL PHARMACY,NJ,BERGEN,9143,21.516,300.0,1.5,80.0,200602,5132.0
28,NY,RETAIL PHARMACY,NJ,BERGEN,9143,1.34475,200.0,1.5,7.5,200604,5171.0
29,NY,RETAIL PHARMACY,NJ,BERGEN,9143,3.5860000000000003,400.0,1.5,10.0,200611,5386.0
30,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9143,3.5860000000000003,400.0,1.5,10.0,200702,7405.0
31,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9143,3.5860000000000003,200.0,1.5,20.0,200704,7717.0
32,NY,RETAIL PHARMACY,NJ,MORRIS,9193,0.6054,100.0,1.0,10.0,200610,1351.0
33,NY,RETAIL PHARMACY,NJ,MORRIS,9143,14.344,200.0,1.5,80.0,200610,3274.0
34,NY,RETAIL PHARMACY,NJ,MORRIS,9143,3.5860000000000003,100.0,1.5,40.0,200612,3415.0
35,NY,RETAIL PHARMACY,NJ,MORRIS,9143,7.1720000000000015,100.0,1.5,80.0,200701,3549.0
36,NY,RETAIL PHARMACY,NJ,HUNTERDON,9193,6.0539999999999985,1000.0,1.0,10.0,200702,322.0
37,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9143,1.793,200.0,1.5,10.0,200602,6295.0
38,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9143,2.24125,500.0,1.5,5.0,200604,6299.0
39,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9143,1.34475,200.0,1.5,7.5,200609,7279.0
40,NY,RETAIL PHARMACY,NJ,MIDDLESEX,9193,1.2108,200.0,1.0,10.0,200609,1542.0
43,NY,RETAIL PHARMACY,NJ,ESSEX,9193,1.2108,400.0,1.0,5.0,200608,1286.0
44,NY,RETAIL PHARMACY,NJ,BURLINGTON,9143,2.6895,400.0,1.5,7.5,200702,5315.0
45,NY,RETAIL PHARMACY,NJ,BURLINGTON,9143,3.361875,500.0,1.5,7.5,200703,5844.0
47,NY,RETAIL PHARMACY,NJ,MORRIS,9193,0.6054,100.0,1.0,10.0,200703,1468.0
48,NY,RETAIL PHARMACY,NJ,BERGEN,9193,0.136215,30.0,1.0,7.5,200704,1983.0
49,NY,RETAIL PHARMACY,NJ,ESSEX,9143,1.793,100.0,1.5,20.0,200705,5659.0
50,NY,RETAIL PHARMACY,NJ,ESSEX,9193,6.0539999999999985,1000.0,1.0,10.0,200611,1725.0
52,NY,RETAIL PHARMACY,NJ,ESSEX,9193,1.5135,500.0,1.0,5.0,200704,1320.0
53,NY,RETAIL PHARMACY,NJ,ESSEX,9193,0.6054,100.0,1.0,10.0,200701,1564.0
54,NY,RETAIL PHARMACY,NJ,SOMERSET,9143,21.516,600.0,1.5,40.0,200704,1645.0
56,NY,RETAIL PHARMACY,NJ,HUDSON,9143,2.017125,300.0,1.5,7.5,200609,3259.0
57,GA,RETAIL PHARMACY,NJ,ESSEX,9193,0.27243,60.0,1.0,7.5,201104,1155.0
58,GA,RETAIL PHARMACY,NJ,ESSEX,9193,2.27025,500.0,1.0,7.5,201111,1126.0
59,NY,RETAIL PHARMACY,NJ,BERGEN,9143,4.4825,1000.0,1.5,5.0,200801,7480.0
60,NY,RETAIL PHARMACY,NJ,PASSAIC,9143,4.03425,300.0,1.5,15.0,200803,3690.0
61,NY,RETAIL PHARMACY,NJ,PASSAIC,9143,1.793,200.0,1.5,10.0,200805,3815.0
62,NY,RETAIL PHARMACY,NJ,PASSAIC,9193,0.6054,100.0,1.0,10.0,200806,1029.0
63,NY,RETAIL PHARMACY,NJ,PASSAIC,9143,2.6895,200.0,1.5,15.0,200806,4043.0
65,NY,RETAIL PHARMACY,NJ,PASSAIC,9143,2.6895,200.0,1.5,15.0,200808,4048.0
66,NY,RETAIL PHARMACY,NJ,MORRIS,9143,0.8965,100.0,1.5,10.0,200809,3675.0
67,NY,RETAIL PHARMACY,NJ,MORRIS,9143,0.8965,100.0,1.5,10.0,200810,4224.0
68,NY,RETAIL PHARMACY,NJ,MORRIS,9193,0.45405,100.0,1.0,7.5,200811,1305.0
69,NY,CHAIN PHARMACY,NJ,BERGEN,9143,1.34475,100.0,1.5,15.0,200809,7394.0
70,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,8.0685,900.0,1.5,10.0,200712,11142.0
71,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,8.0685,900.0,1.5,10.0,200801,12154.0
72,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,8.965,500.0,1.5,20.0,200805,12593.0
73,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,5.379,1200.0,1.5,5.0,200806,12114.0
75,NY,CHAIN PHARMACY,NJ,CAMDEN,9193,1.5135,500.0,1.0,5.0,200811,2017.0
76,NY,CHAIN PHARMACY,NJ,ESSEX,9143,3.5860000000000003,800.0,1.5,5.0,200804,6077.0
77,NY,CHAIN PHARMACY,NJ,ESSEX,9193,1.36215,300.0,1.0,7.5,200810,1320.0
78,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,17.93,1000.0,1.5,20.0,200802,11613.0
79,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,7.1720000000000015,800.0,1.5,10.0,200808,11892.0
80,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,16.137,600.0,1.5,30.0,200809,12195.0
81,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,8.0685,900.0,1.5,10.0,200811,10725.0
82,NY,CHAIN PHARMACY,NJ,UNION,9143,3.5860000000000003,400.0,1.5,10.0,200803,4775.0
83,NY,CHAIN PHARMACY,NJ,UNION,9143,1.793,200.0,1.5,10.0,200804,4771.0
84,NY,CHAIN PHARMACY,NJ,UNION,9143,0.44825,100.0,1.5,5.0,200807,5613.0
86,NY,CHAIN PHARMACY,NJ,UNION,9143,4.4825,1000.0,1.5,5.0,200808,4748.0
87,NY,CHAIN PHARMACY,NJ,UNION,9143,4.4825,1000.0,1.5,5.0,200809,5136.0
88,NY,CHAIN PHARMACY,NJ,BURLINGTON,9143,10.758,300.0,1.5,40.0,200804,6617.0
89,NY,CHAIN PHARMACY,NJ,BURLINGTON,9143,5.379,600.0,1.5,10.0,200809,7130.0
90,NY,CHAIN PHARMACY,NJ,BURLINGTON,9143,2.017125,300.0,1.5,7.5,200810,7603.0
92,NY,CHAIN PHARMACY,NJ,OCEAN,9143,4.03425,300.0,1.5,15.0,200712,7672.0
93,NY,CHAIN PHARMACY,NJ,OCEAN,9143,2.24125,500.0,1.5,5.0,200801,8521.0
94,NY,CHAIN PHARMACY,NJ,OCEAN,9143,1.34475,200.0,1.5,7.5,200804,8308.0
95,NY,CHAIN PHARMACY,NJ,OCEAN,9143,26.895,1000.0,1.5,30.0,200805,8708.0
97,NY,CHAIN PHARMACY,NJ,OCEAN,9143,5.379,300.0,1.5,20.0,200807,9406.0
98,NY,CHAIN PHARMACY,NJ,OCEAN,9143,0.672375,100.0,1.5,7.5,200808,8325.0
102,NY,CHAIN PHARMACY,NJ,OCEAN,9193,0.9081,200.0,1.0,7.5,200810,2032.0
103,NY,CHAIN PHARMACY,NJ,OCEAN,9143,10.758,200.0,1.5,60.0,200811,8245.0
104,NY,CHAIN PHARMACY,NJ,ESSEX,9193,0.9081,200.0,1.0,7.5,200712,2742.0
105,NY,CHAIN PHARMACY,NJ,ESSEX,9143,1.34475,200.0,1.5,7.5,200803,6006.0
108,NY,CHAIN PHARMACY,NJ,ESSEX,9143,2.6895,300.0,1.5,10.0,200806,5964.0
110,NY,CHAIN PHARMACY,NJ,CUMBERLAND,9143,5.379,1200.0,1.5,5.0,200801,2511.0
111,NY,CHAIN PHARMACY,NJ,CUMBERLAND,9143,3.5860000000000003,200.0,1.5,20.0,200803,2510.0
112,NY,CHAIN PHARMACY,NJ,CUMBERLAND,9143,2.6895,300.0,1.5,10.0,200806,2284.0
113,NY,CHAIN PHARMACY,NJ,CUMBERLAND,9143,10.758,1200.0,1.5,10.0,200809,2593.0
114,NY,CHAIN PHARMACY,NJ,CUMBERLAND,9143,8.0685,600.0,1.5,15.0,200811,2448.0
115,NY,CHAIN PHARMACY,NJ,BERGEN,9143,7.1720000000000015,400.0,1.5,20.0,200803,7002.0
117,NY,CHAIN PHARMACY,NJ,BERGEN,9143,4.4825,1000.0,1.5,5.0,200807,7389.0
118,NY,CHAIN PHARMACY,NJ,PASSAIC,9143,2.6895,100.0,1.5,30.0,200802,3447.0
119,NY,CHAIN PHARMACY,NJ,PASSAIC,9143,5.379,1200.0,1.5,5.0,200804,3758.0
121,NY,CHAIN PHARMACY,NJ,PASSAIC,9143,2.6895,200.0,1.5,15.0,200807,4075.0
122,NY,CHAIN PHARMACY,NJ,PASSAIC,9143,7.1720000000000015,400.0,1.5,20.0,200809,4301.0
123,NY,CHAIN PHARMACY,NJ,PASSAIC,9143,5.379,800.0,1.5,7.5,200810,4694.0
125,NY,CHAIN PHARMACY,NJ,PASSAIC,9143,4.03425,600.0,1.5,7.5,200811,3981.0
127,NY,CHAIN PHARMACY,NJ,CAMDEN,9193,0.45405,100.0,1.0,7.5,200802,4083.0
130,NY,CHAIN PHARMACY,NJ,CAMDEN,9143,5.379,200.0,1.5,30.0,200810,12859.0
133,NY,CHAIN PHARMACY,NJ,BERGEN,9143,16.137,300.0,1.5,60.0,200810,7951.0
134,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9143,2.6895,300.0,1.5,10.0,200712,8911.0
135,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9193,2.27025,500.0,1.0,7.5,200802,3975.0
136,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9143,0.8965,200.0,1.5,5.0,200806,9886.0
137,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9193,0.3027,100.0,1.0,5.0,200808,1495.0
138,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9143,1.793,200.0,1.5,10.0,200811,10294.0
139,NY,CHAIN PHARMACY,NJ,ESSEX,9143,1.34475,300.0,1.5,5.0,200805,6046.0
141,NY,CHAIN PHARMACY,NJ,ESSEX,9143,1.793,400.0,1.5,5.0,200808,6058.0
142,NY,CHAIN PHARMACY,NJ,BURLINGTON,9193,0.3027,100.0,1.0,5.0,200806,1460.0
143,NY,CHAIN PHARMACY,NJ,BURLINGTON,9143,21.516,400.0,1.5,60.0,200806,6514.0
144,NY,CHAIN PHARMACY,NJ,BURLINGTON,9143,53.79,2000.0,1.5,30.0,200807,7636.0
145,NY,CHAIN PHARMACY,NJ,BURLINGTON,9193,1.2108,200.0,1.0,10.0,200808,1520.0
151,NY,CHAIN PHARMACY,NJ,ESSEX,9143,1.793,200.0,1.5,10.0,200810,6876.0
156,NY,CHAIN PHARMACY,NJ,BERGEN,9143,1.793,100.0,1.5,20.0,200802,6417.0
157,NY,CHAIN PHARMACY,NJ,BERGEN,9143,2.6895,200.0,1.5,15.0,200805,7017.0
160,NY,CHAIN PHARMACY,NJ,BERGEN,9143,0.8965,100.0,1.5,10.0,200808,7236.0
162,NY,CHAIN PHARMACY,NJ,BERGEN,9193,0.45405,100.0,1.0,7.5,200809,1962.0
164,NY,CHAIN PHARMACY,NJ,CAPE MAY,9143,3.5860000000000003,800.0,1.5,5.0,200803,1413.0
165,NY,CHAIN PHARMACY,NJ,CAPE MAY,9143,0.80685,200.0,1.5,,200806,1653.0
167,NY,CHAIN PHARMACY,NJ,BERGEN,9143,2.017125,300.0,1.5,7.5,200806,6835.0
170,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,1.34475,200.0,1.5,7.5,200801,6278.0
171,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,16.137,3600.0,1.5,5.0,200803,5702.0
172,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,5.379,800.0,1.5,7.5,200806,5376.0
173,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9193,0.9081,200.0,1.0,7.5,200806,1861.0
174,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,12.10275,900.0,1.5,15.0,200807,6390.0
176,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,4.03425,600.0,1.5,7.5,200810,6536.0
177,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,43.032,1200.0,1.5,40.0,200811,5682.0
179,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,16.137,600.0,1.5,30.0,200712,5124.0
182,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,0.672375,100.0,1.5,7.5,200804,5646.0
183,NY,CHAIN PHARMACY,NJ,GLOUCESTER,9143,2.6895,600.0,1.5,5.0,200805,5665.0
188,NY,CHAIN PHARMACY,NJ,BERGEN,9143,0.8965,100.0,1.5,10.0,200712,6564.0
190,NY,CHAIN PHARMACY,NJ,BERGEN,9193,0.9081,200.0,1.0,7.5,200802,4200.0
191,NY,CHAIN PHARMACY,NJ,BERGEN,9193,0.9081,200.0,1.0,7.5,200804,2039.0
194,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9193,0.9081,200.0,1.0,7.5,200803,3694.0
195,NY,CHAIN PHARMACY,NJ,MIDDLESEX,9143,7.1720000000000015,800.0,1.5,10.0,200808,10026.0
