,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,OH,RETAIL PHARMACY,NM,VALENCIA,9193,1.5135,500.0,1.0,5.0,201212,605.0
1,VA,PRACTITIONER,NM,SOCORRO,9193,3.027,500.0,1.0,10.0,200707,189.0
2,CA,PRACTITIONER,NM,DONA ANA,9193,1.08972,240.0,1.0,7.5,201106,1130.0
3,CA,PRACTITIONER,NM,DONA ANA,9193,1.5135,500.0,1.0,5.0,201108,1156.0
4,CA,PRACTITIONER,NM,DONA ANA,9193,0.09081,30.0,1.0,5.0,201103,1270.0
5,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.8162,300.0,1.0,10.0,200601,3665.0
6,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,3.5856,800.0,1.5,5.0,200601,6608.0
7,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,200603,7393.0
9,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,100.0,1.0,10.0,200604,3791.0
10,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,600.0,1.5,10.0,200605,8375.0
11,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,200606,7512.0
12,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200606,4653.0
13,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,200607,3670.0
14,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,500.0,1.5,10.0,200607,6917.0
15,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,14.344,400.0,1.5,40.0,200608,8535.0
16,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,200609,7352.0
19,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,200610,3590.0
21,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200702,3176.0
22,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,200703,9343.0
23,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.45405,100.0,1.0,7.5,200703,3838.0
24,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,10.758,600.0,1.5,20.0,200704,7441.0
26,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,200705,4326.0
27,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.6895,400.0,1.5,7.5,200706,8867.0
28,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,3.027,500.0,1.0,10.0,200707,4503.0
29,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,200709,3875.0
30,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.5135,500.0,1.0,5.0,200710,4308.0
31,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,0.403425,100.0,1.5,,200711,8861.0
32,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,200712,8734.0
33,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,6.72375,1500.0,1.5,5.0,200801,9251.0
35,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,600.0,1.5,10.0,200803,8889.0
36,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,3.5860000000000003,400.0,1.5,10.0,200805,9043.0
37,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,400.0,1.5,15.0,200807,9711.0
39,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.6895,600.0,1.5,5.0,200808,9268.0
40,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,200808,4679.0
42,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.5135,500.0,1.0,5.0,200810,5043.0
43,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,8.0685,600.0,1.5,15.0,200812,10573.0
44,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.8162,300.0,1.0,10.0,200901,5111.0
45,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,28.688,400.0,1.5,80.0,200901,8864.0
46,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,10.758,300.0,1.5,40.0,200902,9089.0
48,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,200904,11411.0
49,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,3.6324,600.0,1.0,10.0,200904,5264.0
52,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,13.4475,500.0,1.5,30.0,200905,10718.0
53,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,0.80685,200.0,1.5,,200907,11716.0
54,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,200909,12293.0
55,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.5135,500.0,1.0,5.0,200909,5326.0
56,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.45405,100.0,1.0,7.5,200910,6030.0
57,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,7.1720000000000015,800.0,1.5,10.0,200910,11823.0
58,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,16.137,600.0,1.5,30.0,200911,11128.0
60,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,16.137,600.0,1.5,30.0,200912,13488.0
61,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,3.027,1000.0,1.0,5.0,200912,6492.0
62,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,3.027,1000.0,1.0,5.0,201002,5488.0
63,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.6895,600.0,1.5,5.0,201004,12447.0
65,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.5135,500.0,1.0,5.0,201004,5954.0
66,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.45405,100.0,1.0,7.5,201006,6809.0
68,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,6.72375,500.0,1.5,15.0,201007,13457.0
69,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,201009,13784.0
70,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.2108,400.0,1.0,5.0,201009,5993.0
71,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.4216,400.0,1.0,10.0,201010,5912.0
72,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,600.0,1.5,10.0,201012,14684.0
73,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.6895,600.0,1.5,5.0,201101,13854.0
74,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,201102,11925.0
76,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,200.0,1.0,5.0,201103,6320.0
77,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,10.758,800.0,1.5,15.0,201105,13672.0
80,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,201106,6328.0
81,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,201106,12793.0
84,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,201107,11966.0
85,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,2.017125,300.0,1.5,7.5,201108,13104.0
86,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,13.4475,1000.0,1.5,15.0,201109,12777.0
87,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,1.34475,200.0,1.5,7.5,201111,12730.0
88,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,2.4216,400.0,1.0,10.0,201201,5298.0
89,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,7.1720000000000015,800.0,1.5,10.0,201201,13084.0
90,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,6.72375,1500.0,1.5,5.0,201203,13062.0
91,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.36215,300.0,1.0,7.5,201205,8798.0
92,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,100.0,1.0,10.0,201206,5460.0
93,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,600.0,1.5,10.0,201206,12588.0
94,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,3.027,500.0,1.0,10.0,201207,6162.0
95,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,3.361875,500.0,1.5,7.5,201208,13011.0
96,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,8.0685,600.0,1.5,15.0,201211,12437.0
97,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,4.03425,600.0,1.5,7.5,201212,12550.0
98,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,3.027,500.0,1.0,10.0,200602,3352.0
101,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.2108,400.0,1.0,5.0,200608,3669.0
102,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,200.0,1.0,5.0,200609,3410.0
103,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.9081,200.0,1.0,7.5,200701,3574.0
105,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.45405,100.0,1.0,7.5,200704,3809.0
107,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200706,3808.0
109,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,7.1720000000000015,100.0,1.5,80.0,200710,8554.0
111,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200712,4197.0
112,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,200.0,1.0,5.0,200801,4535.0
114,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.9081,200.0,1.0,7.5,200802,4200.0
116,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200803,4339.0
117,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.45405,100.0,1.0,7.5,200805,4716.0
122,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200811,4608.0
125,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.36215,300.0,1.0,7.5,200903,5999.0
126,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,14.344,400.0,1.5,40.0,200903,10988.0
128,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200906,6156.0
129,AZ,RETAIL PHARMACY,NM,BERNALILLO,9143,40.3425,1500.0,1.5,30.0,200906,10867.0
130,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200908,5878.0
136,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,200911,5362.0
139,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,200.0,1.0,5.0,201001,6038.0
142,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.136215,30.0,1.0,7.5,201005,6045.0
145,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,1.2108,400.0,1.0,5.0,201008,6071.0
147,AZ,RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,201011,6072.0
148,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,200603,249.0
149,AZ,RETAIL PHARMACY,NM,GRANT,9143,1.6137,400.0,1.5,,200603,287.0
150,AZ,RETAIL PHARMACY,NM,GRANT,9143,4.4825,1000.0,1.5,5.0,200604,321.0
151,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.3027,100.0,1.0,5.0,200607,209.0
152,AZ,RETAIL PHARMACY,NM,GRANT,9143,0.80685,200.0,1.5,,200608,439.0
153,AZ,RETAIL PHARMACY,NM,GRANT,9143,1.793,200.0,1.5,10.0,200609,292.0
154,AZ,RETAIL PHARMACY,NM,GRANT,9193,1.36215,300.0,1.0,7.5,200612,267.0
155,AZ,RETAIL PHARMACY,NM,GRANT,9143,10.758,300.0,1.5,40.0,200707,454.0
156,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.9081,200.0,1.0,7.5,200707,290.0
157,AZ,RETAIL PHARMACY,NM,GRANT,9193,1.36215,300.0,1.0,7.5,200709,331.0
158,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,200711,333.0
159,AZ,RETAIL PHARMACY,NM,GRANT,9143,0.403425,100.0,1.5,,200712,489.0
160,AZ,RETAIL PHARMACY,NM,GRANT,9193,3.027,1000.0,1.0,5.0,200801,355.0
161,AZ,RETAIL PHARMACY,NM,GRANT,9143,10.758,300.0,1.5,40.0,200803,398.0
162,AZ,RETAIL PHARMACY,NM,GRANT,9143,21.516,300.0,1.5,80.0,200804,424.0
163,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,200809,371.0
164,AZ,RETAIL PHARMACY,NM,GRANT,9143,1.793,200.0,1.5,10.0,200809,595.0
165,AZ,RETAIL PHARMACY,NM,GRANT,9143,2.24125,500.0,1.5,5.0,200811,511.0
166,AZ,RETAIL PHARMACY,NM,GRANT,9143,2.017125,300.0,1.5,7.5,200812,608.0
167,AZ,RETAIL PHARMACY,NM,GRANT,9143,1.793,200.0,1.5,10.0,200901,468.0
168,AZ,RETAIL PHARMACY,NM,GRANT,9143,13.4475,500.0,1.5,30.0,200903,489.0
169,AZ,RETAIL PHARMACY,NM,GRANT,9193,3.027,500.0,1.0,10.0,200906,351.0
170,AZ,RETAIL PHARMACY,NM,GRANT,9143,2.6895,300.0,1.5,10.0,200906,631.0
171,AZ,RETAIL PHARMACY,NM,GRANT,9143,21.516,300.0,1.5,80.0,200907,515.0
172,AZ,RETAIL PHARMACY,NM,GRANT,9193,4.5405,1500.0,1.0,5.0,200908,286.0
173,AZ,RETAIL PHARMACY,NM,GRANT,9143,10.758,200.0,1.5,60.0,200908,458.0
174,AZ,RETAIL PHARMACY,NM,GRANT,9193,4.5405,1500.0,1.0,5.0,200910,320.0
175,AZ,RETAIL PHARMACY,NM,GRANT,9143,5.379,300.0,1.5,20.0,200910,490.0
176,AZ,RETAIL PHARMACY,NM,GRANT,9143,6.72375,1500.0,1.5,5.0,200911,557.0
177,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.9081,200.0,1.0,7.5,200912,353.0
178,AZ,RETAIL PHARMACY,NM,GRANT,9143,1.793,200.0,1.5,10.0,200912,616.0
179,AZ,RETAIL PHARMACY,NM,GRANT,9193,1.8162,300.0,1.0,10.0,201003,346.0
180,AZ,RETAIL PHARMACY,NM,GRANT,9143,1.793,200.0,1.5,10.0,201003,587.0
181,AZ,RETAIL PHARMACY,NM,GRANT,9143,16.137,300.0,1.5,60.0,201004,545.0
182,AZ,RETAIL PHARMACY,NM,GRANT,9193,1.36215,300.0,1.0,7.5,201008,342.0
183,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,201009,341.0
184,AZ,RETAIL PHARMACY,NM,GRANT,9143,6.72375,500.0,1.5,15.0,201009,629.0
186,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,201011,348.0
187,AZ,RETAIL PHARMACY,NM,GRANT,9143,8.0685,600.0,1.5,15.0,201011,573.0
188,AZ,RETAIL PHARMACY,NM,GRANT,9193,6.0539999999999985,1000.0,1.0,10.0,201101,340.0
189,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.6054,200.0,1.0,5.0,201102,292.0
190,AZ,RETAIL PHARMACY,NM,GRANT,9143,5.379,600.0,1.5,10.0,201102,523.0
191,AZ,RETAIL PHARMACY,NM,GRANT,9143,8.0685,600.0,1.5,15.0,201103,738.0
192,AZ,RETAIL PHARMACY,NM,GRANT,9193,3.027,500.0,1.0,10.0,201103,411.0
195,AZ,RETAIL PHARMACY,NM,GRANT,9143,8.0685,600.0,1.5,15.0,201104,694.0
196,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.9081,300.0,1.0,5.0,201105,367.0
197,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.9081,200.0,1.0,7.5,201106,351.0
198,AZ,RETAIL PHARMACY,NM,GRANT,9143,3.5860000000000003,200.0,1.5,20.0,201106,662.0
200,AZ,RETAIL PHARMACY,NM,GRANT,9143,7.1720000000000015,200.0,1.5,40.0,201107,573.0
201,AZ,RETAIL PHARMACY,NM,GRANT,9193,3.027,500.0,1.0,10.0,201108,407.0
202,AZ,RETAIL PHARMACY,NM,GRANT,9143,4.4825,1000.0,1.5,5.0,201108,738.0
203,AZ,RETAIL PHARMACY,NM,GRANT,9143,4.4825,500.0,1.5,10.0,201112,669.0
206,AZ,RETAIL PHARMACY,NM,GRANT,9193,0.45405,100.0,1.0,7.5,201201,373.0
207,AZ,RETAIL PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,201206,287.0
208,AZ,RETAIL PHARMACY,NM,GRANT,9143,3.5860000000000003,200.0,1.5,20.0,201206,599.0
210,AZ,RETAIL PHARMACY,NM,GRANT,9143,71.72,1000.0,1.5,80.0,201207,588.0
211,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,201208,295.0
212,AZ,RETAIL PHARMACY,NM,GRANT,9193,2.27025,500.0,1.0,7.5,201211,327.0
213,AZ,RETAIL PHARMACY,NM,GRANT,9143,7.1720000000000015,400.0,1.5,20.0,201211,691.0
215,AZ,RETAIL PHARMACY,NM,GRANT,9143,43.032,1600.0,1.5,30.0,201212,632.0
216,AZ,RETAIL PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,201212,295.0
217,AZ,CHAIN PHARMACY,NM,GRANT,9143,8.965,2000.0,1.5,5.0,200602,317.0
218,AZ,CHAIN PHARMACY,NM,GRANT,9143,1.793,400.0,1.5,5.0,200606,342.0
219,AZ,CHAIN PHARMACY,NM,GRANT,9143,14.344,200.0,1.5,80.0,200607,332.0
221,AZ,CHAIN PHARMACY,NM,GRANT,9193,3.6324,600.0,1.0,10.0,200610,295.0
222,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,200611,292.0
223,AZ,CHAIN PHARMACY,NM,GRANT,9143,14.344,200.0,1.5,80.0,200701,397.0
224,AZ,CHAIN PHARMACY,NM,GRANT,9143,8.0685,1800.0,1.5,5.0,200704,341.0
225,AZ,CHAIN PHARMACY,NM,GRANT,9143,8.0685,1800.0,1.5,5.0,200706,355.0
227,AZ,CHAIN PHARMACY,NM,GRANT,9143,0.8965,200.0,1.5,5.0,200708,392.0
229,AZ,CHAIN PHARMACY,NM,GRANT,9143,0.8965,100.0,1.5,10.0,200710,393.0
231,AZ,CHAIN PHARMACY,NM,GRANT,9143,0.8965,100.0,1.5,10.0,200801,457.0
234,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.5135,500.0,1.0,5.0,200803,352.0
235,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200804,357.0
236,AZ,CHAIN PHARMACY,NM,GRANT,9143,1.793,400.0,1.5,5.0,200805,406.0
237,AZ,CHAIN PHARMACY,NM,GRANT,9143,2.6895,600.0,1.5,5.0,200806,524.0
238,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,200807,409.0
239,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200808,367.0
240,AZ,CHAIN PHARMACY,NM,GRANT,9143,1.793,100.0,1.5,20.0,200808,473.0
242,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200810,435.0
244,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200811,417.0
245,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,200812,421.0
247,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,200901,411.0
249,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200903,371.0
250,AZ,CHAIN PHARMACY,NM,GRANT,9143,2.6895,600.0,1.5,5.0,200904,600.0
253,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200905,317.0
257,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.5135,500.0,1.0,5.0,200909,314.0
260,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,100.0,1.0,10.0,200911,266.0
263,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.45405,100.0,1.0,7.5,201001,272.0
265,AZ,CHAIN PHARMACY,NM,GRANT,9143,2.017125,300.0,1.5,7.5,201005,540.0
268,AZ,CHAIN PHARMACY,NM,GRANT,9143,1.34475,100.0,1.5,15.0,201008,589.0
270,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.5135,500.0,1.0,5.0,201010,309.0
274,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.5135,500.0,1.0,5.0,201012,338.0
282,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.5135,500.0,1.0,5.0,201109,387.0
283,AZ,CHAIN PHARMACY,NM,GRANT,9143,3.5860000000000003,400.0,1.5,10.0,201109,665.0
284,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.2108,200.0,1.0,10.0,201110,422.0
285,AZ,CHAIN PHARMACY,NM,GRANT,9143,3.5860000000000003,100.0,1.5,40.0,201111,723.0
287,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.3027,100.0,1.0,5.0,201112,386.0
289,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.3027,100.0,1.0,5.0,201202,307.0
290,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.8162,600.0,1.0,5.0,201203,358.0
291,AZ,CHAIN PHARMACY,NM,GRANT,9143,1.793,200.0,1.5,10.0,201203,684.0
293,AZ,CHAIN PHARMACY,NM,GRANT,9193,1.8162,400.0,1.0,7.5,201204,320.0
294,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.3027,100.0,1.0,5.0,201205,351.0
295,AZ,CHAIN PHARMACY,NM,GRANT,9143,3.5860000000000003,100.0,1.5,40.0,201205,644.0
297,AZ,CHAIN PHARMACY,NM,GRANT,9193,0.6054,200.0,1.0,5.0,201207,304.0
299,AZ,CHAIN PHARMACY,NM,GRANT,9143,2.6895,200.0,1.5,15.0,201209,590.0
306,AZ,CHAIN PHARMACY,NM,BERNALILLO,9143,1.793,200.0,1.5,10.0,200701,8235.0
307,AZ,CHAIN PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,200708,8191.0
310,AZ,CHAIN PHARMACY,NM,BERNALILLO,9143,14.344,200.0,1.5,80.0,200802,8705.0
313,AZ,CHAIN PHARMACY,NM,BERNALILLO,9193,0.9081,200.0,1.0,7.5,200812,5646.0
327,AZ,CHAIN PHARMACY,NM,BERNALILLO,9143,6.72375,500.0,1.5,15.0,201002,11626.0
328,AZ,CHAIN PHARMACY,NM,BERNALILLO,9143,3.361875,500.0,1.5,7.5,201005,12539.0
