,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,CA,CHAIN PHARMACY,NV,CLARK,9143,0.672375,100.0,1.5,7.5,200602,18727.0
1,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,200605,20796.0
3,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,1000.0,1.5,5.0,200604,19166.0
5,CA,CHAIN PHARMACY,NV,CLARK,9143,17.93,500.0,1.5,40.0,200606,22365.0
6,CA,CHAIN PHARMACY,NV,CLARK,9143,2.017125,300.0,1.5,7.5,200607,18966.0
7,CA,CHAIN PHARMACY,NV,CLARK,9143,1.34475,200.0,1.5,7.5,200601,16097.0
8,CA,CHAIN PHARMACY,NV,CLARK,9193,0.6054,200.0,1.0,5.0,200601,20573.0
12,CA,CHAIN PHARMACY,NV,CLARK,9143,2.017125,300.0,1.5,7.5,200611,21510.0
13,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,200702,20603.0
14,CA,CHAIN PHARMACY,NV,CLARK,9143,1.793,200.0,1.5,10.0,200712,25581.0
15,CA,CHAIN PHARMACY,NV,CLARK,9143,21.516,800.0,1.5,30.0,200801,26700.0
16,CA,CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,100.0,1.5,80.0,200603,22380.0
21,CA,CHAIN PHARMACY,NV,CLARK,9143,0.672375,100.0,1.5,7.5,200612,22301.0
23,CA,CHAIN PHARMACY,NV,CLARK,9193,1.5135,500.0,1.0,5.0,200702,21799.0
24,CA,CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,200.0,1.5,40.0,200708,25555.0
29,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,1000.0,1.5,5.0,200609,19959.0
32,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,500.0,1.5,10.0,200711,25717.0
34,CA,CHAIN PHARMACY,NV,CLARK,9193,0.6054,100.0,1.0,10.0,200712,24856.0
38,CA,CHAIN PHARMACY,NV,CLARK,9143,2.6895,200.0,1.5,15.0,200809,26784.0
44,CA,CHAIN PHARMACY,NV,CLARK,9143,3.5860000000000003,100.0,1.5,40.0,200704,22009.0
45,CA,CHAIN PHARMACY,NV,CLARK,9143,2.6895,300.0,1.5,10.0,200709,22497.0
47,CA,CHAIN PHARMACY,NV,CLARK,9143,10.758,400.0,1.5,30.0,200802,25232.0
52,CA,CHAIN PHARMACY,NV,CLARK,9193,1.2108,200.0,1.0,10.0,200608,26638.0
54,CA,CHAIN PHARMACY,NV,CLARK,9143,8.0685,600.0,1.5,15.0,200610,20640.0
55,CA,CHAIN PHARMACY,NV,CLARK,9143,8.965,1000.0,1.5,10.0,200701,22457.0
57,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,1000.0,1.5,5.0,200707,23960.0
58,CA,CHAIN PHARMACY,NV,CLARK,9143,6.72375,500.0,1.5,15.0,200710,26839.0
61,CA,CHAIN PHARMACY,NV,CLARK,9143,3.5860000000000003,100.0,1.5,40.0,200803,26512.0
62,CA,CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,800.0,1.5,10.0,200804,27598.0
63,CA,CHAIN PHARMACY,NV,CLARK,9143,1.793,400.0,1.5,5.0,200807,29951.0
65,CA,CHAIN PHARMACY,NV,CLARK,9143,1.793,200.0,1.5,10.0,200810,30303.0
66,CA,CHAIN PHARMACY,NV,CLARK,9143,2.6895,400.0,1.5,7.5,200811,25196.0
67,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,500.0,1.5,10.0,200901,26137.0
68,CA,CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,400.0,1.5,20.0,200903,28408.0
70,CA,CHAIN PHARMACY,NV,CLARK,9143,1.793,100.0,1.5,20.0,200907,29875.0
71,CA,CHAIN PHARMACY,NV,CLARK,9193,0.9081,200.0,1.0,7.5,200910,26479.0
72,CA,CHAIN PHARMACY,NV,CLARK,9143,2.6895,200.0,1.5,15.0,200911,30045.0
73,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,500.0,1.5,10.0,200912,35765.0
74,CA,CHAIN PHARMACY,NV,CLARK,9193,0.6054,100.0,1.0,10.0,201003,28343.0
75,CA,CHAIN PHARMACY,NV,CLARK,9143,2.6895,300.0,1.5,10.0,201004,33920.0
76,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,201009,36452.0
77,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,201012,38825.0
78,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,201101,36560.0
79,CA,CHAIN PHARMACY,NV,CLARK,9143,0.8965,100.0,1.5,10.0,201104,36734.0
80,CA,CHAIN PHARMACY,NV,CLARK,9193,0.45405,100.0,1.0,7.5,201104,25804.0
81,CA,CHAIN PHARMACY,NV,CLARK,9143,1.793,400.0,1.5,5.0,201105,39300.0
82,CA,CHAIN PHARMACY,NV,CLARK,9143,8.0685,300.0,1.5,30.0,201110,40354.0
83,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,201201,38769.0
84,CA,CHAIN PHARMACY,NV,CLARK,9193,2.7243,600.0,1.0,7.5,201201,23547.0
86,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,500.0,1.5,10.0,201203,42077.0
87,CA,CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,201204,38863.0
88,CA,CHAIN PHARMACY,NV,CLARK,9143,4.4825,500.0,1.5,10.0,201205,42847.0
89,CA,CHAIN PHARMACY,NV,CLARK,9143,0.672375,100.0,1.5,7.5,201210,42425.0
90,CA,CHAIN PHARMACY,NV,CLARK,9143,1.793,200.0,1.5,10.0,201211,42644.0
92,CA,CHAIN PHARMACY,NV,CLARK,9193,24.216,4000.0,1.0,10.0,201212,24175.0
96,CA,CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,100.0,1.5,80.0,200608,21413.0
98,CA,CHAIN PHARMACY,NV,CLARK,9193,0.6054,100.0,1.0,10.0,200610,26233.0
100,CA,CHAIN PHARMACY,NV,CLARK,9193,0.45405,100.0,1.0,7.5,200612,25801.0
