,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,CHAIN PHARMACY,NY,OSWEGO,9193,2.4216,400.0,1.0,10.0,200610,818.0
2,NY,CHAIN PHARMACY,NY,OSWEGO,9193,0.9081,200.0,1.0,7.5,200703,928.0
3,NY,CHAIN PHARMACY,NY,OSWEGO,9193,0.9081,200.0,1.0,7.5,200705,934.0
4,NY,CHAIN PHARMACY,NY,OSWEGO,9193,3.027,500.0,1.0,10.0,200708,1048.0
6,NY,CHAIN PHARMACY,NY,OSWEGO,9193,3.027,1000.0,1.0,5.0,200712,1084.0
7,NY,CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1000.0,1.0,7.5,200807,1341.0
8,NY,CHAIN PHARMACY,NY,OSWEGO,9193,3.027,1000.0,1.0,5.0,200901,1181.0
9,NY,CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1500.0,1.0,5.0,200907,1388.0
12,NY,CHAIN PHARMACY,NY,OSWEGO,9193,4.8432,800.0,1.0,10.0,200908,1337.0
13,NY,CHAIN PHARMACY,NY,OSWEGO,9193,4.2378,700.0,1.0,10.0,200910,1448.0
14,NY,CHAIN PHARMACY,NY,OSWEGO,9193,6.81075,1500.0,1.0,7.5,200911,1389.0
16,NY,CHAIN PHARMACY,NY,OSWEGO,9193,3.027,500.0,1.0,10.0,201001,1360.0
18,NY,CHAIN PHARMACY,NY,OSWEGO,9193,2.27025,500.0,1.0,7.5,201004,1384.0
20,NY,CHAIN PHARMACY,NY,OSWEGO,9193,9.081,1500.0,1.0,10.0,201006,1492.0
21,NY,CHAIN PHARMACY,NY,OSWEGO,9193,6.0539999999999985,2000.0,1.0,5.0,201010,1536.0
22,NY,CHAIN PHARMACY,NY,OSWEGO,9193,7.2648,1200.0,1.0,10.0,201103,1707.0
24,NY,CHAIN PHARMACY,NY,OSWEGO,9193,6.0539999999999985,1000.0,1.0,10.0,201104,1280.0
25,NY,CHAIN PHARMACY,NY,OSWEGO,9193,3.027,500.0,1.0,10.0,201105,1382.0
26,NY,CHAIN PHARMACY,NY,OSWEGO,9193,2.7243,600.0,1.0,7.5,201107,1306.0
27,NY,CHAIN PHARMACY,NY,OSWEGO,9193,2.27025,500.0,1.0,7.5,201109,1441.0
28,NY,CHAIN PHARMACY,NY,OSWEGO,9193,9.081,1500.0,1.0,10.0,201110,1399.0
29,NY,CHAIN PHARMACY,NY,OSWEGO,9193,2.27025,500.0,1.0,7.5,201111,1328.0
30,NY,CHAIN PHARMACY,NY,OSWEGO,9193,0.9081,200.0,1.0,7.5,201112,1422.0
32,NY,CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1000.0,1.0,7.5,201203,1507.0
33,NY,CHAIN PHARMACY,NY,OSWEGO,9193,3.6324,800.0,1.0,7.5,201204,1173.0
34,NY,CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1000.0,1.0,7.5,201207,1340.0
36,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,200601,799.0
37,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200602,783.0
38,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,0.6054,100.0,1.0,10.0,200609,843.0
39,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,200611,808.0
41,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.4216,400.0,1.0,10.0,200701,812.0
42,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,200706,976.0
43,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200708,835.0
44,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200709,899.0
45,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,200802,879.0
46,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200805,998.0
47,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.5135,500.0,1.0,5.0,200807,960.0
48,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200809,1017.0
49,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200902,894.0
50,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,6.0539999999999985,2000.0,1.0,5.0,200904,1007.0
51,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,4.5405,1500.0,1.0,5.0,200905,1094.0
54,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.027,1000.0,1.0,5.0,200906,941.0
55,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,4.2378,700.0,1.0,10.0,200907,1040.0
56,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.6324,600.0,1.0,10.0,200908,1062.0
57,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,4.5405,1500.0,1.0,5.0,200911,969.0
60,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,201005,1064.0
61,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,0.9081,200.0,1.0,7.5,201008,1009.0
62,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.027,500.0,1.0,10.0,201012,1201.0
65,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.027,500.0,1.0,10.0,201101,1170.0
66,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,201103,1272.0
67,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,9.081,1500.0,1.0,10.0,201110,1056.0
69,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,201111,915.0
70,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,6.0539999999999985,1000.0,1.0,10.0,201201,870.0
71,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,201202,916.0
72,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,0.9081,200.0,1.0,7.5,201206,892.0
73,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.027,500.0,1.0,10.0,201207,836.0
74,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.7243,600.0,1.0,7.5,201209,802.0
76,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.7243,600.0,1.0,7.5,201211,885.0
77,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,12.108,2000.0,1.0,10.0,201212,848.0
79,NY,RETAIL PHARMACY,NY,SAINT LAWRENCE,9193,3.027,1000.0,1.0,5.0,200603,900.0
80,NY,RETAIL PHARMACY,NY,SAINT LAWRENCE,9193,1.8162,400.0,1.0,7.5,200707,847.0
81,NY,RETAIL PHARMACY,NY,SAINT LAWRENCE,9193,3.027,500.0,1.0,10.0,200910,1094.0
83,NY,RETAIL PHARMACY,NY,SAINT LAWRENCE,9193,0.45405,100.0,1.0,7.5,201003,1016.0
89,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,4.2378,700.0,1.0,10.0,200605,654.0
90,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,200606,955.0
93,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,7.8702,1300.0,1.0,10.0,200612,810.0
95,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.6324,800.0,1.0,7.5,200704,817.0
99,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,3.027,500.0,1.0,10.0,200712,986.0
100,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,9.081,3000.0,1.0,5.0,200810,1016.0
101,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,0.9081,200.0,1.0,7.5,200811,943.0
102,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.36215,300.0,1.0,7.5,200901,996.0
108,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,1.8162,400.0,1.0,7.5,201001,1004.0
109,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.4216,400.0,1.0,10.0,201007,1158.0
110,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,6.0539999999999985,2000.0,1.0,5.0,201010,1076.0
113,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,9.081,1500.0,1.0,10.0,201106,1000.0
114,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,7.5675,2500.0,1.0,5.0,201109,1054.0
116,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,2.27025,500.0,1.0,7.5,201112,1039.0
122,NY,CHAIN PHARMACY,NY,SAINT LAWRENCE,9193,5.90265,1300.0,1.0,7.5,201208,977.0
124,NY,CHAIN PHARMACY,NY,CLINTON,9193,0.6054,100.0,1.0,10.0,200604,520.0
125,NY,CHAIN PHARMACY,NY,CLINTON,9193,1.2108,200.0,1.0,10.0,200607,495.0
