,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,OH,PRACTITIONER,OH,PIKE,9193,0.3027,100.0,1.0,5.0,200707,258.0
1,OH,PRACTITIONER,OH,SCIOTO,9193,0.3027,100.0,1.0,5.0,200607,785.0
2,OH,PRACTITIONER,OH,SCIOTO,9193,0.6054,200.0,1.0,5.0,200911,876.0
3,OH,PRACTITIONER,OH,PICKAWAY,9193,1.5135,500.0,1.0,5.0,200707,329.0
4,OH,PRACTITIONER,OH,DARKE,9193,0.3027,100.0,1.0,5.0,200611,194.0
5,OH,PRACTITIONER,OH,DARKE,9193,0.3027,100.0,1.0,5.0,200705,179.0
6,OH,PRACTITIONER,OH,FRANKLIN,9193,0.3027,100.0,1.0,5.0,200610,8172.0
7,OH,PRACTITIONER,OH,MIAMI,9193,0.3027,100.0,1.0,5.0,200704,578.0
8,OH,PRACTITIONER,OH,FRANKLIN,9193,1.2108,400.0,1.0,5.0,200701,8383.0
9,OH,PRACTITIONER,OH,PREBLE,9193,0.6054,200.0,1.0,5.0,200601,263.0
10,OH,PRACTITIONER,OH,FRANKLIN,9193,0.3027,100.0,1.0,5.0,200910,10674.0
11,OH,PRACTITIONER,OH,PORTAGE,9193,1.8162,600.0,1.0,5.0,200606,783.0
12,OH,PRACTITIONER,OH,FRANKLIN,9193,0.3027,100.0,1.0,5.0,200907,10245.0
13,OH,PRACTITIONER,OH,STARK,9193,0.6054,200.0,1.0,5.0,200602,1663.0
14,OH,PRACTITIONER,OH,HAMILTON,9193,0.3027,100.0,1.0,5.0,200611,5174.0
15,OH,PRACTITIONER,OH,CUYAHOGA,9193,0.6054,200.0,1.0,5.0,200702,4429.0
16,OH,PRACTITIONER,OH,HAMILTON,9193,0.3027,100.0,1.0,5.0,200701,5354.0
17,OH,PRACTITIONER,OH,PERRY,9193,0.3027,100.0,1.0,5.0,200610,198.0
18,OH,PRACTITIONER,OH,BUTLER,9193,0.6054,200.0,1.0,5.0,200603,2788.0
19,OH,PRACTITIONER,OH,SENECA,9193,0.6054,200.0,1.0,5.0,200703,309.0
20,OH,PRACTITIONER,OH,WASHINGTON,9193,0.9081,300.0,1.0,5.0,200701,688.0
21,OH,PRACTITIONER,OH,FRANKLIN,9193,0.3027,100.0,1.0,5.0,200705,8899.0
22,OH,PRACTITIONER,OH,ROSS,9193,0.6054,200.0,1.0,5.0,200612,538.0
23,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,4.4825,1000.0,1.5,5.0,201109,22030.0
25,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,10.758,400.0,1.5,30.0,200601,14130.0
26,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,21.516,600.0,1.5,40.0,200603,13711.0
28,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,10.758,600.0,1.5,20.0,200604,12491.0
30,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.6137,400.0,1.5,,200606,14200.0
31,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,2.241,500.0,1.5,5.0,200609,12860.0
32,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.793,200.0,1.5,10.0,200702,14913.0
33,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.793,200.0,1.5,10.0,200703,15640.0
34,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,15.68875,3500.0,1.5,5.0,200704,14836.0
36,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,2.017125,500.0,1.5,,200707,16344.0
37,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,22.4125,5000.0,1.5,5.0,200710,16446.0
39,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,2.6895,300.0,1.5,10.0,200801,18289.0
40,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,86.064,1200.0,1.5,80.0,200805,18091.0
41,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,22.4125,5000.0,1.5,5.0,200806,18335.0
42,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.793,200.0,1.5,10.0,200901,16861.0
43,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,35.86,8000.0,1.5,5.0,200906,21713.0
44,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,35.86,8000.0,1.5,5.0,200911,22605.0
45,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,35.86,8000.0,1.5,5.0,201007,23059.0
46,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,35.86,8000.0,1.5,5.0,201106,23754.0
50,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,10.758,300.0,1.5,40.0,200608,14270.0
54,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.4387219999999998,300.0,1.5,5.35,200705,16576.0
57,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,13.4475,500.0,1.5,30.0,200709,14737.0
59,OH,RETAIL PHARMACY,OH,COSHOCTON,9193,0.3027,100.0,1.0,5.0,200603,112.0
60,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,28.23975,2100.0,1.5,15.0,201104,22558.0
63,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,4.482,1000.0,1.5,5.0,200607,13677.0
64,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,0.8965,100.0,1.5,10.0,200612,14489.0
65,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,0.8964,100.0,1.5,10.0,200701,15818.0
69,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,0.8965,100.0,1.5,10.0,200711,17757.0
70,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,0.44825,100.0,1.5,5.0,200712,17127.0
72,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,3.5860000000000003,100.0,1.5,40.0,200808,18609.0
73,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,0.8965,100.0,1.5,10.0,200809,19461.0
75,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.793,100.0,1.5,20.0,200903,20875.0
78,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,0.672375,100.0,1.5,7.5,200909,24636.0
80,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,3.5860000000000003,100.0,1.5,40.0,200912,23786.0
82,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,2.24125,500.0,1.5,5.0,201001,20513.0
86,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.34475,200.0,1.5,7.5,201008,22667.0
88,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,7.1720000000000015,100.0,1.5,80.0,201110,21484.0
89,OH,RETAIL PHARMACY,OH,FRANKLIN,9193,1.5135,500.0,1.0,5.0,201112,11326.0
90,OH,CHAIN PHARMACY,OH,FRANKLIN,9193,1.5135,500.0,1.0,5.0,201203,11083.0
92,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,3.836592,800.0,1.5,5.35,200605,16032.0
95,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,3.5860000000000003,200.0,1.5,20.0,200610,14710.0
96,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,2.39787,500.0,1.5,5.35,200611,14838.0
104,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.793,200.0,1.5,10.0,200803,18187.0
107,OH,CHAIN PHARMACY,OH,FRANKLIN,9143,1.4387219999999998,300.0,1.5,5.35,200708,17618.0
109,OH,RETAIL PHARMACY,OH,DELAWARE,9143,8.0685,300.0,1.5,30.0,200701,1503.0
110,OH,RETAIL PHARMACY,OH,DELAWARE,9143,8.0685,300.0,1.5,30.0,200702,1341.0
111,OH,RETAIL PHARMACY,OH,DELAWARE,9143,16.137,1200.0,1.5,15.0,200708,1693.0
112,OH,RETAIL PHARMACY,OH,CLERMONT,9193,3.027,1000.0,1.0,5.0,201202,2109.0
115,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,4.4825,1000.0,1.5,5.0,200807,20119.0
116,OH,RETAIL PHARMACY,OH,FRANKLIN,9143,1.793,200.0,1.5,10.0,200804,18208.0
117,IL,RETAIL PHARMACY,OH,PREBLE,9193,0.9081,300.0,1.0,5.0,200806,373.0
118,IL,RETAIL PHARMACY,OH,ALLEN,9143,1.793,100.0,1.5,20.0,200804,749.0
119,IL,RETAIL PHARMACY,OH,ALLEN,9143,0.672375,100.0,1.5,7.5,200805,692.0
120,IL,RETAIL PHARMACY,OH,ALLEN,9193,1.36215,300.0,1.0,7.5,200806,571.0
121,IL,RETAIL PHARMACY,OH,CLERMONT,9193,3.027,500.0,1.0,10.0,200804,1784.0
122,IL,RETAIL PHARMACY,OH,MADISON,9193,3.027,500.0,1.0,10.0,200806,223.0
123,IL,RETAIL PHARMACY,OH,BROWN,9143,1.34475,200.0,1.5,7.5,200805,555.0
124,IL,RETAIL PHARMACY,OH,BROWN,9143,0.8965,100.0,1.5,10.0,200807,593.0
125,OH,CHAIN PHARMACY,OH,LORAIN,9193,1.5135,500.0,1.0,5.0,200603,1179.0
126,OH,CHAIN PHARMACY,OH,LORAIN,9193,1.36215,300.0,1.0,7.5,200610,1248.0
127,OH,CHAIN PHARMACY,OH,LORAIN,9193,7.5675,2500.0,1.0,5.0,200705,1295.0
128,OH,CHAIN PHARMACY,OH,LORAIN,9193,2.27025,500.0,1.0,7.5,200707,1473.0
129,OH,CHAIN PHARMACY,OH,LORAIN,9193,2.4216,400.0,1.0,10.0,200708,1525.0
132,OH,CHAIN PHARMACY,OH,LORAIN,9193,9.081,3000.0,1.0,5.0,200709,1261.0
133,OH,CHAIN PHARMACY,OH,LORAIN,9193,6.81075,1500.0,1.0,7.5,200710,1662.0
