,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,CHAIN PHARMACY,OK,OKLAHOMA,9143,0.479574,100.0,1.5,5.35,200601,4207.0
1,NY,CHAIN PHARMACY,OK,TULSA,9193,3.027,500.0,1.0,10.0,200611,8124.0
3,NY,RETAIL PHARMACY,OK,OKLAHOMA,9193,0.45405,100.0,1.0,7.5,200702,9107.0
5,GA,RETAIL PHARMACY,OK,JACKSON,9193,2.27025,500.0,1.0,7.5,201209,419.0
6,GA,RETAIL PHARMACY,OK,JACKSON,9193,3.027,500.0,1.0,10.0,201211,498.0
7,GA,RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,200812,1063.0
8,GA,RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,200902,1114.0
9,GA,RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,200903,1183.0
10,GA,RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,200910,1365.0
11,GA,RETAIL PHARMACY,OK,PAYNE,9193,6.81075,1500.0,1.0,7.5,200912,1478.0
12,GA,RETAIL PHARMACY,OK,PAYNE,9193,0.45405,100.0,1.0,7.5,201002,1543.0
13,GA,RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,201012,1413.0
14,GA,RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,201106,1276.0
15,GA,RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,201111,1344.0
16,GA,RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,201204,1115.0
17,GA,RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,201205,1368.0
18,GA,RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,201206,1197.0
19,GA,RETAIL PHARMACY,OK,MAYES,9193,2.27025,500.0,1.0,7.5,201207,661.0
20,GA,RETAIL PHARMACY,OK,MAYES,9193,2.27025,500.0,1.0,7.5,201211,751.0
21,GA,RETAIL PHARMACY,OK,MAYES,9193,1.5135,500.0,1.0,5.0,201212,686.0
23,GA,RETAIL PHARMACY,OK,ROGERS,9193,4.5405,1000.0,1.0,7.5,201212,2906.0
24,GA,RETAIL PHARMACY,OK,OKLAHOMA,9193,0.136215,30.0,1.0,7.5,201106,18915.0
26,GA,RETAIL PHARMACY,OK,OKLAHOMA,9193,4.5405,1000.0,1.0,7.5,201109,18674.0
27,GA,RETAIL PHARMACY,OK,OKLAHOMA,9193,3.027,500.0,1.0,10.0,201205,19339.0
28,GA,RETAIL PHARMACY,OK,MCCLAIN,9193,0.27243,60.0,1.0,7.5,201011,817.0
29,GA,RETAIL PHARMACY,OK,MCCLAIN,9193,4.5405,1000.0,1.0,7.5,201205,706.0
30,GA,RETAIL PHARMACY,OK,MCCLAIN,9193,2.27025,500.0,1.0,7.5,201208,667.0
31,GA,RETAIL PHARMACY,OK,MCCLAIN,9193,3.027,500.0,1.0,10.0,201212,702.0
33,VA,PRACTITIONER,OK,OKLAHOMA,9193,6.81075,1500.0,1.0,7.5,200612,9134.0
34,VA,PRACTITIONER,OK,OKLAHOMA,9193,3.027,1000.0,1.0,5.0,200903,14662.0
35,VA,PRACTITIONER,OK,OKLAHOMA,9193,9.081,2000.0,1.0,7.5,200805,11384.0
36,LA,RETAIL PHARMACY,OK,OKLAHOMA,9193,3.027,500.0,1.0,10.0,201104,18697.0
37,TN,PRACTITIONER,OK,OKLAHOMA,9193,0.45405,100.0,1.0,7.5,201112,17201.0
38,TX,CHAIN PHARMACY,OK,OKLAHOMA,9193,11.35125,2500.0,1.0,7.5,200601,10040.0
