,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,CHAIN PHARMACY,OR,DESCHUTES,9143,10.758,300.0,1.5,40.0,200703,1366.0
1,NY,RETAIL PHARMACY,OR,LANE,9193,3.027,1000.0,1.0,5.0,200608,3352.0
2,NY,RETAIL PHARMACY,OR,CLACKAMAS,9193,2.7243,600.0,1.0,7.5,200701,3214.0
3,NY,RETAIL PHARMACY,OR,MULTNOMAH,9193,6.0539999999999985,1000.0,1.0,10.0,200611,5776.0
4,NY,RETAIL PHARMACY,OR,MULTNOMAH,9193,2.27025,500.0,1.0,7.5,200701,5733.0
5,NY,CHAIN PHARMACY,OR,UMATILLA,9193,12.108,2000.0,1.0,10.0,200606,634.0
6,NY,CHAIN PHARMACY,OR,UMATILLA,9143,0.479574,100.0,1.5,5.35,200702,517.0
7,NY,CHAIN PHARMACY,OR,LANE,9193,6.0539999999999985,1000.0,1.0,10.0,200601,2885.0
8,NY,CHAIN PHARMACY,OR,LANE,9193,0.3027,100.0,1.0,5.0,200605,3049.0
10,NY,CHAIN PHARMACY,OR,LANE,9143,21.516,300.0,1.5,80.0,200606,3837.0
11,NY,CHAIN PHARMACY,OR,LANE,9193,9.081,3000.0,1.0,5.0,200607,3321.0
12,NY,CHAIN PHARMACY,OR,LANE,9193,0.3027,100.0,1.0,5.0,200610,3417.0
13,NY,CHAIN PHARMACY,OR,LANE,9143,7.1720000000000015,200.0,1.5,40.0,200703,4301.0
14,NY,CHAIN PHARMACY,OR,DOUGLAS,9193,2.27025,500.0,1.0,7.5,200608,1285.0
15,NY,CHAIN PHARMACY,OR,DOUGLAS,9193,3.027,500.0,1.0,10.0,200610,1318.0
16,NY,CHAIN PHARMACY,OR,DOUGLAS,9193,9.081,1500.0,1.0,10.0,200702,1230.0
18,NY,CHAIN PHARMACY,OR,WASHINGTON,9193,3.027,1000.0,1.0,5.0,200610,3288.0
19,NY,CHAIN PHARMACY,OR,UNION,9193,3.027,1000.0,1.0,5.0,200604,185.0
20,CA,PRACTITIONER,OR,MULTNOMAH,9193,0.6054,200.0,1.0,5.0,200605,7926.0
21,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,21.516,1200.0,1.5,20.0,200602,4469.0
22,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,21.516,1200.0,1.5,20.0,200603,5592.0
23,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,21.516,600.0,1.5,40.0,200604,4396.0
24,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,43.032,600.0,1.5,80.0,200605,6054.0
25,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,57.37600000000001,800.0,1.5,80.0,200606,5193.0
26,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,21.516,600.0,1.5,40.0,200608,5766.0
27,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,43.032,600.0,1.5,80.0,200612,6015.0
28,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,43.032,2400.0,1.5,20.0,200704,6193.0
29,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,28.688,400.0,1.5,80.0,200705,7098.0
30,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,53.79,3000.0,1.5,20.0,200603,10533.0
31,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,53.79,3000.0,1.5,20.0,200605,11296.0
32,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,129.096,3600.0,1.5,40.0,200804,14974.0
33,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,39.9564,13200.0,1.0,5.0,201005,14491.0
34,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,39.9564,13200.0,1.0,5.0,201006,15278.0
36,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,39.9564,13200.0,1.0,5.0,201012,15634.0
37,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,43.5888,14400.0,1.0,5.0,201105,13410.0
38,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,21.516,600.0,1.5,40.0,200607,5360.0
39,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,21.516,1200.0,1.5,20.0,200609,5721.0
40,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,10.758,1200.0,1.5,10.0,200701,6985.0
41,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,26.892,6000.0,1.5,5.0,200702,5683.0
42,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,10.758,1200.0,1.5,10.0,200705,7023.0
43,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,28.688,400.0,1.5,80.0,200708,7004.0
44,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,26.15328,8640.0,1.0,5.0,201009,5559.0
45,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,26.15328,8640.0,1.0,5.0,201011,5913.0
46,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,26.15328,8640.0,1.0,5.0,201111,5759.0
47,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,32.274,3600.0,1.5,10.0,200610,6069.0
49,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,86.064,2400.0,1.5,40.0,200708,7598.0
50,OR,RETAIL PHARMACY,OR,CLACKAMAS,9193,5.81184,1920.0,1.0,5.0,201110,6597.0
53,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,32.2704,7200.0,1.5,5.0,200607,10743.0
54,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,43.032,1200.0,1.5,40.0,200705,14647.0
55,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,10.758,1200.0,1.5,10.0,200710,15388.0
56,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,86.064,2400.0,1.5,40.0,200711,14691.0
57,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,43.032,1200.0,1.5,40.0,200712,14470.0
59,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,2.90592,960.0,1.0,5.0,201008,14014.0
61,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,3.6324,1200.0,1.0,5.0,201009,15748.0
63,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,8.71776,2880.0,1.0,5.0,201011,13742.0
64,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,10.8972,3600.0,1.0,5.0,201101,14546.0
65,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,36.324,12000.0,1.0,5.0,201104,13391.0
66,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,29.0592,9600.0,1.0,5.0,201108,12571.0
67,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,8.71776,2880.0,1.0,5.0,201208,13663.0
68,OR,RETAIL PHARMACY,OR,MARION,9143,5.379,600.0,1.5,10.0,200608,3249.0
69,OR,RETAIL PHARMACY,OR,MARION,9143,5.379,600.0,1.5,10.0,200609,2884.0
70,OR,RETAIL PHARMACY,OR,MARION,9143,21.516,1200.0,1.5,20.0,200703,3422.0
71,OR,RETAIL PHARMACY,OR,MARION,9143,43.032,600.0,1.5,80.0,200707,3629.0
72,OR,RETAIL PHARMACY,OR,MARION,9143,43.032,1200.0,1.5,40.0,200801,4258.0
74,OR,RETAIL PHARMACY,OR,MARION,9143,10.758,1200.0,1.5,10.0,200806,3965.0
75,OR,RETAIL PHARMACY,OR,MARION,9193,17.43552,5760.0,1.0,5.0,201011,3406.0
76,OR,RETAIL PHARMACY,OR,MARION,9193,36.324,12000.0,1.0,5.0,201105,3793.0
78,OR,RETAIL PHARMACY,OR,MARION,9193,36.324,12000.0,1.0,5.0,201201,3873.0
79,OR,RETAIL PHARMACY,OR,MARION,9193,15.25608,5040.0,1.0,5.0,201205,3612.0
80,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,13.07664,4320.0,1.0,5.0,201203,14038.0
83,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,8.965,1000.0,1.5,10.0,200610,6010.0
85,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,43.032,1200.0,1.5,40.0,200703,6553.0
87,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,8.965,1000.0,1.5,10.0,200704,6579.0
88,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,17.93,1000.0,1.5,20.0,200706,6787.0
89,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,26.895,1500.0,1.5,20.0,200710,7638.0
90,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,26.895,1500.0,1.5,20.0,200711,7249.0
91,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,8.965,1000.0,1.5,10.0,200806,6983.0
92,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,8.71776,2880.0,1.0,5.0,201005,5386.0
93,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,14.5296,4800.0,1.0,5.0,201007,5539.0
94,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,14.5296,4800.0,1.0,5.0,201106,5841.0
97,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,2.17944,720.0,1.0,5.0,201108,6006.0
98,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,14.5296,4800.0,1.0,5.0,201205,6158.0
99,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,1.45296,480.0,1.0,5.0,201206,5681.0
100,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,1.08972,360.0,1.0,5.0,201210,4534.0
103,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,3.6324,1200.0,1.0,5.0,201110,14038.0
105,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,35.86,500.0,1.5,80.0,200604,8622.0
106,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,21.516,2400.0,1.5,10.0,200610,11838.0
108,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,32.274,3600.0,1.5,10.0,200611,12571.0
110,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,16.137,3600.0,1.5,5.0,201003,18549.0
111,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,26.895,6000.0,1.5,5.0,201006,18383.0
114,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,13.07664,4320.0,1.0,5.0,201107,13020.0
115,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,2.17944,720.0,1.0,5.0,201202,12986.0
117,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,3.5860000000000003,400.0,1.5,10.0,200707,6948.0
118,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,5.379,600.0,1.5,10.0,200802,7311.0
119,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,9.081,3000.0,1.0,5.0,201004,5547.0
120,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,2.17944,720.0,1.0,5.0,201110,5626.0
122,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,50.20399999999999,2800.0,1.5,20.0,200608,6004.0
125,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,27.243,9000.0,1.0,5.0,201211,4677.0
127,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,8.965,1000.0,1.5,10.0,200611,6121.0
128,OR,RETAIL PHARMACY,OR,CLACKAMAS,9193,14.5296,4800.0,1.0,5.0,201112,4471.0
129,OR,RETAIL PHARMACY,OR,CLACKAMAS,9193,21.7944,7200.0,1.0,5.0,201202,5303.0
130,OR,RETAIL PHARMACY,OR,MARION,9143,21.516,600.0,1.5,40.0,200601,2809.0
131,OR,RETAIL PHARMACY,OR,MARION,9143,7.1720000000000015,800.0,1.5,10.0,200605,3124.0
133,OR,RETAIL PHARMACY,OR,MARION,9143,5.379,1200.0,1.5,5.0,200612,3068.0
135,OR,RETAIL PHARMACY,OR,MARION,9143,5.379,1200.0,1.5,5.0,200701,3445.0
137,OR,RETAIL PHARMACY,OR,MARION,9143,3.5860000000000003,400.0,1.5,10.0,200702,3133.0
139,OR,RETAIL PHARMACY,OR,MARION,9143,1.793,200.0,1.5,10.0,200704,3251.0
140,OR,RETAIL PHARMACY,OR,MARION,9143,5.379,600.0,1.5,10.0,200705,3644.0
141,OR,RETAIL PHARMACY,OR,MARION,9143,7.1720000000000015,200.0,1.5,40.0,200706,3699.0
144,OR,RETAIL PHARMACY,OR,MARION,9143,28.688,800.0,1.5,40.0,200802,3659.0
145,OR,RETAIL PHARMACY,OR,MARION,9143,21.516,600.0,1.5,40.0,200805,3993.0
147,OR,RETAIL PHARMACY,OR,MARION,9193,36.324,12000.0,1.0,5.0,201005,3931.0
149,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,8.965,500.0,1.5,20.0,200606,9838.0
150,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,13.07664,4320.0,1.0,5.0,201201,13037.0
152,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,8.71776,2880.0,1.0,5.0,201205,17183.0
153,OR,RETAIL PHARMACY,OR,MULTNOMAH,9143,10.758,2400.0,1.5,5.0,201209,14419.0
154,OR,RETAIL PHARMACY,OR,MULTNOMAH,9193,4.35888,1440.0,1.0,5.0,201211,10425.0
155,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,86.064,1200.0,1.5,80.0,200802,6815.0
156,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,86.064,2400.0,1.5,40.0,200806,7755.0
157,OR,RETAIL PHARMACY,OR,CLACKAMAS,9143,64.548,14400.0,1.5,5.0,201003,9408.0
158,OR,RETAIL PHARMACY,OR,CLACKAMAS,9193,79.9128,26400.0,1.0,5.0,201004,6168.0
160,OR,RETAIL PHARMACY,OR,POLK,9143,10.758,2400.0,1.5,5.0,200905,665.0
161,OR,RETAIL PHARMACY,OR,POLK,9193,21.7944,7200.0,1.0,5.0,201106,671.0
163,OR,RETAIL PHARMACY,OR,WASHINGTON,9143,10.758,2400.0,1.5,5.0,201209,8049.0
164,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,0.9081,300.0,1.0,5.0,201109,5391.0
165,OR,RETAIL PHARMACY,OR,WASHINGTON,9193,0.3027,100.0,1.0,5.0,201201,5842.0
166,CA,PRACTITIONER,OR,JACKSON,9193,1.5135,500.0,1.0,5.0,200905,2932.0
167,CA,PRACTITIONER,OR,JACKSON,9143,0.672375,100.0,1.5,7.5,200903,4076.0
168,CA,CHAIN PHARMACY,OR,COLUMBIA,9193,3.027,500.0,1.0,10.0,201008,557.0
169,CA,PRACTITIONER,OR,CLACKAMAS,9143,0.44825,100.0,1.5,5.0,201201,8767.0
170,CA,PRACTITIONER,OR,WASHINGTON,9193,0.3027,100.0,1.0,5.0,201001,3146.0
171,CA,PRACTITIONER,OR,WASHINGTON,9143,0.1793,20.0,1.5,10.0,201012,8759.0
172,CA,PRACTITIONER,OR,WASHINGTON,9143,0.44825,100.0,1.5,5.0,200904,6725.0
173,CA,PRACTITIONER,OR,WASHINGTON,9143,0.44825,100.0,1.5,5.0,201111,8450.0
174,OR,CHAIN PHARMACY,OR,WASHINGTON,9193,1.5135,500.0,1.0,5.0,200602,2687.0
177,OR,CHAIN PHARMACY,OR,WASHINGTON,9143,1.793,100.0,1.5,20.0,200801,7889.0
178,OR,CHAIN PHARMACY,OR,WASHINGTON,9143,1.793,400.0,1.5,5.0,200804,7672.0
179,OR,CHAIN PHARMACY,OR,WASHINGTON,9143,1.793,100.0,1.5,20.0,200902,6146.0
180,OR,CHAIN PHARMACY,OR,LANE,9143,1.793,200.0,1.5,10.0,200605,7073.0
181,OR,CHAIN PHARMACY,OR,LANE,9143,5.379,1200.0,1.5,5.0,200607,3719.0
182,OR,CHAIN PHARMACY,OR,LANE,9143,8.0685,1800.0,1.5,5.0,200610,3940.0
183,OR,CHAIN PHARMACY,OR,LANE,9143,14.344,200.0,1.5,80.0,200611,3904.0
184,OR,CHAIN PHARMACY,OR,LANE,9143,28.688,400.0,1.5,80.0,200705,4539.0
186,OR,CHAIN PHARMACY,OR,LANE,9143,10.758,2400.0,1.5,5.0,200809,5340.0
188,OR,CHAIN PHARMACY,OR,LANE,9143,2.6895,400.0,1.5,7.5,200810,6116.0
189,OR,CHAIN PHARMACY,OR,LANE,9143,16.137,1200.0,1.5,15.0,200811,5045.0
190,OR,CHAIN PHARMACY,OR,LANE,9193,0.45405,100.0,1.0,7.5,200812,3902.0
191,OR,CHAIN PHARMACY,OR,LANE,9143,7.1720000000000015,400.0,1.5,20.0,200901,4653.0
192,OR,CHAIN PHARMACY,OR,LANE,9193,0.9081,200.0,1.0,7.5,200906,3696.0
193,OR,CHAIN PHARMACY,OR,LANE,9143,2.017125,300.0,1.5,7.5,200908,5489.0
194,OR,CHAIN PHARMACY,OR,LANE,9143,10.758,1200.0,1.5,10.0,201003,7012.0
195,OR,CHAIN PHARMACY,OR,LANE,9143,4.03425,600.0,1.5,7.5,201101,6911.0
196,OR,CHAIN PHARMACY,OR,LANE,9143,10.758,1200.0,1.5,10.0,201104,7075.0
197,OR,CHAIN PHARMACY,OR,LANE,9143,2.6895,100.0,1.5,30.0,201109,7685.0
198,OR,CHAIN PHARMACY,OR,LANE,9143,5.379,200.0,1.5,30.0,201111,7253.0
199,OR,CHAIN PHARMACY,OR,LANE,9143,1.793,200.0,1.5,10.0,201207,7993.0
200,OR,CHAIN PHARMACY,OR,LANE,9143,10.758,400.0,1.5,30.0,201210,8692.0
201,OR,RETAIL PHARMACY,OR,LINN,9193,1.5135,500.0,1.0,5.0,200602,839.0
