,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,PA,NORTHUMBERLAND,9193,0.136215,30.0,1.0,7.5,200605,257.0
1,NY,RETAIL PHARMACY,PA,NORTHUMBERLAND,9193,0.45405,100.0,1.0,7.5,200701,451.0
2,NY,RETAIL PHARMACY,PA,SUSQUEHANNA,9193,13.6215,3000.0,1.0,7.5,200602,142.0
3,NY,RETAIL PHARMACY,PA,SUSQUEHANNA,9193,1.36215,300.0,1.0,7.5,200603,149.0
4,NY,RETAIL PHARMACY,PA,PHILADELPHIA,9143,13.446,3000.0,1.5,5.0,200608,18890.0
5,NY,RETAIL PHARMACY,PA,LACKAWANNA,9193,2.7243,600.0,1.0,7.5,200604,2100.0
6,NY,RETAIL PHARMACY,PA,LACKAWANNA,9193,27.243,6000.0,1.0,7.5,200610,2117.0
7,NY,RETAIL PHARMACY,PA,LANCASTER,9143,2.6895,300.0,1.5,10.0,200605,3233.0
8,NY,RETAIL PHARMACY,PA,LANCASTER,9143,4.03425,300.0,1.5,15.0,200702,3147.0
9,NY,RETAIL PHARMACY,PA,LANCASTER,9143,2.6895,300.0,1.5,10.0,200703,3412.0
10,NY,RETAIL PHARMACY,PA,ALLEGHENY,9143,21.516,300.0,1.5,80.0,200703,13255.0
11,NY,RETAIL PHARMACY,PA,NORTHAMPTON,9143,21.516,300.0,1.5,80.0,200703,2459.0
12,NY,RETAIL PHARMACY,PA,FAYETTE,9143,0.8965,100.0,1.5,10.0,200704,1851.0
13,NY,RETAIL PHARMACY,PA,PHILADELPHIA,9193,2.27025,500.0,1.0,7.5,200603,4752.0
14,NY,RETAIL PHARMACY,PA,PHILADELPHIA,9193,6.0539999999999985,1000.0,1.0,10.0,200608,4925.0
15,NY,RETAIL PHARMACY,PA,PHILADELPHIA,9193,6.0539999999999985,1000.0,1.0,10.0,200610,4594.0
16,NY,RETAIL PHARMACY,PA,BUCKS,9193,1.5135,500.0,1.0,5.0,200606,2942.0
17,NY,RETAIL PHARMACY,PA,BUCKS,9193,4.5405,1000.0,1.0,7.5,200607,2615.0
18,NY,RETAIL PHARMACY,PA,BUCKS,9143,21.516,300.0,1.5,80.0,200703,10523.0
19,NY,RETAIL PHARMACY,PA,BUCKS,9143,2.6895,300.0,1.5,10.0,200704,8762.0
20,NY,RETAIL PHARMACY,PA,BRADFORD,9143,2.017125,300.0,1.5,7.5,200609,513.0
21,NY,RETAIL PHARMACY,PA,BRADFORD,9143,1.34475,200.0,1.5,7.5,200612,628.0
23,NY,RETAIL PHARMACY,PA,BRADFORD,9143,1.793,100.0,1.5,20.0,200702,453.0
24,NY,CHAIN PHARMACY,PA,MONTGOMERY,9193,0.27243,60.0,1.0,7.5,200701,4644.0
25,NY,RETAIL PHARMACY,PA,PHILADELPHIA,9193,3.027,500.0,1.0,10.0,200601,4285.0
26,NY,RETAIL PHARMACY,PA,ALLEGHENY,9143,3.5860000000000003,100.0,1.5,40.0,200609,11983.0
27,NY,RETAIL PHARMACY,PA,ALLEGHENY,9143,3.5860000000000003,400.0,1.5,10.0,200702,11613.0
28,NY,RETAIL PHARMACY,PA,ALLEGHENY,9193,1.5135,500.0,1.0,5.0,200703,8634.0
29,GA,RETAIL PHARMACY,PA,LUZERNE,9193,3.027,500.0,1.0,10.0,201212,3897.0
31,NY,CHAIN PHARMACY,PA,DELAWARE,9143,3.5860000000000003,400.0,1.5,10.0,200712,8991.0
32,NY,CHAIN PHARMACY,PA,DELAWARE,9143,16.137,3600.0,1.5,5.0,200802,8566.0
33,NY,CHAIN PHARMACY,PA,DELAWARE,9143,0.8965,200.0,1.5,5.0,200803,9422.0
34,NY,CHAIN PHARMACY,PA,DELAWARE,9143,21.516,600.0,1.5,40.0,200804,9110.0
36,NY,CHAIN PHARMACY,PA,DELAWARE,9143,0.8965,200.0,1.5,5.0,200810,10447.0
37,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,7.1720000000000015,200.0,1.5,40.0,200601,827.0
38,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,0.45405,100.0,1.0,7.5,200601,506.0
39,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.5135,500.0,1.0,5.0,200603,628.0
40,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,1.793,100.0,1.5,20.0,200603,1249.0
41,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,2.27025,500.0,1.0,7.5,200604,550.0
42,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,8.965,2000.0,1.5,5.0,200609,1327.0
43,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.5135,500.0,1.0,5.0,200609,630.0
45,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.24125,500.0,1.5,5.0,200610,1568.0
46,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,2.27025,500.0,1.0,7.5,200612,676.0
47,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,6.72375,1500.0,1.5,5.0,200701,1686.0
48,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,2.27025,500.0,1.0,7.5,200702,643.0
49,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,0.6054,100.0,1.0,10.0,200710,936.0
50,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,10.758,300.0,1.5,40.0,200802,1935.0
51,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,2.27025,500.0,1.0,7.5,200804,887.0
52,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.5135,500.0,1.0,5.0,200806,891.0
53,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.017125,300.0,1.5,7.5,200807,1968.0
54,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.017125,300.0,1.5,7.5,200808,1820.0
55,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,6.72375,1500.0,1.5,5.0,200810,1821.0
56,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.2108,200.0,1.0,10.0,200812,1014.0
57,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.24125,500.0,1.5,5.0,200812,2158.0
60,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.6895,400.0,1.5,7.5,200901,1884.0
61,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,2.27025,500.0,1.0,7.5,200903,954.0
62,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,0.45405,100.0,1.0,7.5,200904,920.0
63,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.5135,500.0,1.0,5.0,200905,921.0
64,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.6895,400.0,1.5,7.5,200905,1740.0
66,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,0.672375,100.0,1.5,7.5,200908,1728.0
67,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.5135,500.0,1.0,5.0,200908,917.0
68,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,0.8965,100.0,1.5,10.0,200910,1896.0
69,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,0.9081,200.0,1.0,7.5,200912,1095.0
71,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,2.27025,500.0,1.0,7.5,201002,933.0
72,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,2.24125,500.0,1.5,5.0,201004,2037.0
74,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9143,3.5860000000000003,100.0,1.5,40.0,201005,1867.0
75,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,0.6054,100.0,1.0,10.0,201005,973.0
76,NY,RETAIL PHARMACY,PA,SCHUYLKILL,9193,1.5135,500.0,1.0,5.0,201008,1007.0
77,NY,RETAIL PHARMACY,PA,LEHIGH,9143,1.34475,100.0,1.5,15.0,200806,2525.0
78,NY,RETAIL PHARMACY,PA,LEHIGH,9143,14.344,200.0,1.5,80.0,200807,3012.0
79,NY,RETAIL PHARMACY,PA,LEHIGH,9143,1.34475,200.0,1.5,7.5,200808,2870.0
81,NY,CHAIN PHARMACY,PA,LEHIGH,9193,2.27025,500.0,1.0,7.5,200801,934.0
82,NY,CHAIN PHARMACY,PA,LEHIGH,9143,3.5860000000000003,400.0,1.5,10.0,200804,2845.0
84,NY,CHAIN PHARMACY,PA,LEHIGH,9143,14.344,200.0,1.5,80.0,200805,2997.0
85,NY,CHAIN PHARMACY,PA,LEHIGH,9143,4.03425,300.0,1.5,15.0,200809,2779.0
86,NY,CHAIN PHARMACY,PA,CHESTER,9143,1.34475,300.0,1.5,5.0,200805,4139.0
87,NY,CHAIN PHARMACY,PA,CHESTER,9143,2.6895,600.0,1.5,5.0,200806,4112.0
89,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,0.8965,200.0,1.5,5.0,200802,20151.0
90,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,3.5860000000000003,800.0,1.5,5.0,200804,21967.0
92,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,5.379,1200.0,1.5,5.0,200807,24079.0
94,NY,CHAIN PHARMACY,PA,BUCKS,9143,1.793,200.0,1.5,10.0,200811,9113.0
98,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,10.758,300.0,1.5,40.0,200806,21836.0
101,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9193,0.6054,100.0,1.0,10.0,200808,4676.0
102,NY,CHAIN PHARMACY,PA,MONTGOMERY,9143,1.34475,200.0,1.5,7.5,200805,12634.0
103,NY,CHAIN PHARMACY,PA,MONTGOMERY,9143,2.017125,300.0,1.5,7.5,200807,13414.0
104,NY,CHAIN PHARMACY,PA,MONTGOMERY,9143,4.4825,500.0,1.5,10.0,200809,13086.0
105,NY,CHAIN PHARMACY,PA,DELAWARE,9143,8.0685,600.0,1.5,15.0,200801,10340.0
108,NY,CHAIN PHARMACY,PA,DELAWARE,9143,4.03425,600.0,1.5,7.5,200807,10349.0
109,NY,CHAIN PHARMACY,PA,DELAWARE,9143,0.44825,100.0,1.5,5.0,200808,9212.0
110,NY,CHAIN PHARMACY,PA,DELAWARE,9193,0.45405,100.0,1.0,7.5,200809,2656.0
115,NY,CHAIN PHARMACY,PA,DELAWARE,9143,14.344,400.0,1.5,40.0,200805,9698.0
117,NY,CHAIN PHARMACY,PA,DELAWARE,9143,4.4825,1000.0,1.5,5.0,200806,9103.0
121,NY,CHAIN PHARMACY,PA,DELAWARE,9143,7.1720000000000015,200.0,1.5,40.0,200809,9782.0
124,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,7.1720000000000015,100.0,1.5,80.0,200805,22052.0
126,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,1.34475,200.0,1.5,7.5,200809,23075.0
127,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,2.6895,300.0,1.5,10.0,200810,25009.0
136,NY,CHAIN PHARMACY,PA,PHILADELPHIA,9143,7.1720000000000015,200.0,1.5,40.0,200811,22068.0
