,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,PR,RETAIL PHARMACY,PR,VEGA BAJA,9193,0.3027,100.0,1.0,5.0,200608,53.0
1,PR,RETAIL PHARMACY,PR,VEGA BAJA,9193,0.9081,200.0,1.0,7.5,200709,37.0
2,PR,RETAIL PHARMACY,PR,HATILLO,9143,0.44825,100.0,1.5,5.0,200609,49.0
3,PR,RETAIL PHARMACY,PR,HATILLO,9193,0.45405,100.0,1.0,7.5,200611,9.0
4,PR,RETAIL PHARMACY,PR,PENUELAS,9143,3.5860000000000003,400.0,1.5,10.0,200704,5.0
5,PR,RETAIL PHARMACY,PR,PENUELAS,9193,0.3027,100.0,1.0,5.0,200707,10.0
6,PR,RETAIL PHARMACY,PR,MANATI,9193,0.6054,100.0,1.0,10.0,200712,16.0
7,PR,RETAIL PHARMACY,PR,TRUJILLO ALTO,9193,0.45405,100.0,1.0,7.5,200603,17.0
8,PR,RETAIL PHARMACY,PR,LAS PIEDRAS,9193,0.6054,100.0,1.0,10.0,200710,6.0
9,PR,RETAIL PHARMACY,PR,FAJARDO,9143,4.4825,1000.0,1.5,5.0,200602,65.0
10,PR,RETAIL PHARMACY,PR,FAJARDO,9193,0.45405,100.0,1.0,7.5,200605,12.0
11,PR,RETAIL PHARMACY,PR,FAJARDO,9193,0.45405,100.0,1.0,7.5,200612,12.0
12,PR,RETAIL PHARMACY,PR,CANOVANAS,9143,7.1720000000000015,200.0,1.5,40.0,200609,9.0
13,PR,RETAIL PHARMACY,PR,CANOVANAS,9143,3.5860000000000003,400.0,1.5,10.0,200612,31.0
14,PR,RETAIL PHARMACY,PR,CANOVANAS,9143,0.8965,200.0,1.5,5.0,200705,13.0
15,PR,RETAIL PHARMACY,PR,YABUCOA,9143,8.964,2000.0,1.5,5.0,200606,59.0
16,PR,RETAIL PHARMACY,PR,LUQUILLO,9193,0.6054,200.0,1.0,5.0,200608,9.0
17,PR,RETAIL PHARMACY,PR,BAYAMON,9193,0.45405,100.0,1.0,7.5,200710,52.0
18,PR,RETAIL PHARMACY,PR,TOA BAJA,9143,22.41,5000.0,1.5,5.0,200605,152.0
