,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,GA,RETAIL PHARMACY,SC,HORRY,9193,3.027,500.0,1.0,10.0,200908,4419.0
1,GA,RETAIL PHARMACY,SC,HORRY,9193,2.27025,500.0,1.0,7.5,201109,4627.0
2,GA,RETAIL PHARMACY,SC,YORK,9193,2.27025,500.0,1.0,7.5,200806,1236.0
3,SC,RETAIL PHARMACY,SC,HORRY,9143,1.4387219999999998,300.0,1.5,5.35,200603,3073.0
4,SC,RETAIL PHARMACY,SC,HORRY,9143,1.4387219999999998,300.0,1.5,5.35,200604,2601.0
5,SC,RETAIL PHARMACY,SC,HORRY,9143,0.959148,200.0,1.5,5.35,200606,3093.0
6,SC,RETAIL PHARMACY,SC,HORRY,9143,4.03425,300.0,1.5,15.0,200703,3299.0
8,SC,RETAIL PHARMACY,SC,HORRY,9143,7.1720000000000015,200.0,1.5,40.0,200704,3241.0
9,SC,RETAIL PHARMACY,SC,HORRY,9143,6.72375,500.0,1.5,15.0,200709,3338.0
11,SC,RETAIL PHARMACY,SC,HORRY,9143,2.241,500.0,1.5,5.0,200801,1979.0
12,SC,RETAIL PHARMACY,SC,HORRY,9143,2.6895,300.0,1.5,10.0,200804,3978.0
13,SC,RETAIL PHARMACY,SC,HORRY,9193,0.45405,100.0,1.0,7.5,200804,3836.0
14,SC,RETAIL PHARMACY,SC,HORRY,9193,3.027,500.0,1.0,10.0,200901,3662.0
15,SC,RETAIL PHARMACY,SC,HORRY,9143,0.8965,200.0,1.5,5.0,200905,4569.0
16,SC,RETAIL PHARMACY,SC,MARION,9143,0.44825,100.0,1.5,5.0,200601,299.0
17,SC,RETAIL PHARMACY,SC,MARION,9193,3.027,500.0,1.0,10.0,200603,292.0
18,SC,RETAIL PHARMACY,SC,MARION,9143,7.1720000000000015,200.0,1.5,40.0,200604,268.0
19,SC,RETAIL PHARMACY,SC,MARION,9193,3.027,500.0,1.0,10.0,200607,285.0
20,SC,RETAIL PHARMACY,SC,MARION,9143,4.482,1000.0,1.5,5.0,200607,263.0
21,SC,RETAIL PHARMACY,SC,MARION,9143,2.017125,300.0,1.5,7.5,200611,338.0
23,SC,RETAIL PHARMACY,SC,MARION,9143,0.8965,100.0,1.5,10.0,200612,356.0
24,SC,RETAIL PHARMACY,SC,MARION,9143,2.241,500.0,1.5,5.0,200701,316.0
25,SC,RETAIL PHARMACY,SC,MARION,9193,3.027,500.0,1.0,10.0,200701,341.0
27,SC,RETAIL PHARMACY,SC,MARION,9143,3.5860000000000003,100.0,1.5,40.0,200705,328.0
28,SC,RETAIL PHARMACY,SC,MARION,9143,8.0685,900.0,1.5,10.0,200709,368.0
29,SC,RETAIL PHARMACY,SC,MARION,9143,3.5860000000000003,100.0,1.5,40.0,200712,314.0
30,SC,RETAIL PHARMACY,SC,MARION,9143,1.793,200.0,1.5,10.0,200806,282.0
31,SC,RETAIL PHARMACY,SC,MARION,9143,2.24125,500.0,1.5,5.0,200901,387.0
32,SC,RETAIL PHARMACY,SC,MARION,9193,3.027,500.0,1.0,10.0,200903,502.0
33,SC,RETAIL PHARMACY,SC,MARION,9193,0.6054,100.0,1.0,10.0,201006,511.0
34,SC,RETAIL PHARMACY,SC,DARLINGTON,9143,3.5860000000000003,400.0,1.5,10.0,200601,889.0
35,SC,RETAIL PHARMACY,SC,DARLINGTON,9193,0.6054,100.0,1.0,10.0,200603,864.0
36,SC,RETAIL PHARMACY,SC,MARLBORO,9143,1.793,200.0,1.5,10.0,200601,205.0
37,SC,RETAIL PHARMACY,SC,MARLBORO,9193,3.027,500.0,1.0,10.0,200607,239.0
38,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.9081,200.0,1.0,7.5,200609,178.0
39,SC,RETAIL PHARMACY,SC,MARLBORO,9193,1.5135,500.0,1.0,5.0,200610,186.0
40,SC,RETAIL PHARMACY,SC,MARLBORO,9143,0.8964,200.0,1.5,5.0,200610,203.0
41,SC,RETAIL PHARMACY,SC,MARLBORO,9193,3.027,500.0,1.0,10.0,200701,168.0
42,SC,RETAIL PHARMACY,SC,MARLBORO,9143,0.8965,100.0,1.5,10.0,200704,244.0
43,SC,RETAIL PHARMACY,SC,MARLBORO,9143,2.241,500.0,1.5,5.0,200708,306.0
44,SC,RETAIL PHARMACY,SC,MARLBORO,9143,2.6895,300.0,1.5,10.0,200712,234.0
45,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.3027,100.0,1.0,5.0,200712,256.0
46,SC,RETAIL PHARMACY,SC,MARLBORO,9193,2.27025,500.0,1.0,7.5,200803,220.0
47,SC,RETAIL PHARMACY,SC,MARLBORO,9193,3.027,500.0,1.0,10.0,200805,216.0
48,SC,RETAIL PHARMACY,SC,MARLBORO,9193,2.27025,500.0,1.0,7.5,200806,297.0
49,SC,RETAIL PHARMACY,SC,MARLBORO,9193,1.5135,500.0,1.0,5.0,200807,266.0
50,SC,RETAIL PHARMACY,SC,MARLBORO,9143,1.793,400.0,1.5,5.0,200902,267.0
51,SC,RETAIL PHARMACY,SC,MARLBORO,9193,3.027,500.0,1.0,10.0,200902,277.0
52,SC,RETAIL PHARMACY,SC,MARLBORO,9143,4.4825,500.0,1.5,10.0,200904,310.0
53,SC,RETAIL PHARMACY,SC,MARLBORO,9193,2.27025,500.0,1.0,7.5,200907,332.0
55,SC,RETAIL PHARMACY,SC,MARLBORO,9143,0.672375,100.0,1.5,7.5,200907,343.0
56,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.45405,100.0,1.0,7.5,200908,317.0
57,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.9081,200.0,1.0,7.5,200909,275.0
58,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.6054,100.0,1.0,10.0,201004,349.0
59,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.6054,100.0,1.0,10.0,201006,419.0
60,SC,RETAIL PHARMACY,SC,MARLBORO,9193,0.45405,100.0,1.0,7.5,201007,263.0
62,SC,RETAIL PHARMACY,SC,DARLINGTON,9143,1.918296,400.0,1.5,5.35,200604,814.0
63,SC,RETAIL PHARMACY,SC,DARLINGTON,9143,0.672375,100.0,1.5,7.5,200608,1000.0
64,SC,RETAIL PHARMACY,SC,DARLINGTON,9143,1.793,100.0,1.5,20.0,200705,1074.0
65,SC,RETAIL PHARMACY,SC,DARLINGTON,9143,1.4387219999999998,300.0,1.5,5.35,200708,1040.0
