,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,8.0685,300.0,1.5,30.0,200709,531.0
1,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.45405,100.0,1.0,7.5,200711,449.0
2,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,0.8965,100.0,1.5,10.0,200807,728.0
3,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,1.5135,500.0,1.0,5.0,200903,588.0
4,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,0.44825,100.0,1.5,5.0,200905,778.0
5,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,200909,673.0
6,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,200912,745.0
7,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,200706,814.0
8,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.3027,100.0,1.0,5.0,200709,410.0
10,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.6895,200.0,1.5,15.0,200801,666.0
11,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.45405,100.0,1.0,7.5,200803,588.0
12,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,3.5860000000000003,100.0,1.5,40.0,200803,657.0
14,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,1.5135,500.0,1.0,5.0,200805,553.0
16,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.45405,100.0,1.0,7.5,200808,586.0
17,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,8.965,500.0,1.5,20.0,200808,581.0
18,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.3027,100.0,1.0,5.0,200810,557.0
19,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.6895,100.0,1.5,30.0,200810,657.0
20,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,200811,510.0
23,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,200812,691.0
24,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.6054,100.0,1.0,10.0,200812,648.0
27,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,13.4475,3000.0,1.5,5.0,200902,642.0
28,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,1.793,400.0,1.5,5.0,200903,604.0
30,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,3.027,500.0,1.0,10.0,200905,547.0
32,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,0.44825,100.0,1.5,5.0,200906,615.0
33,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,0.44825,100.0,1.5,5.0,200908,642.0
34,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.6054,100.0,1.0,10.0,200910,639.0
35,IL,RETAIL PHARMACY,SD,PENNINGTON,9143,0.44825,100.0,1.5,5.0,200911,652.0
36,IL,RETAIL PHARMACY,SD,PENNINGTON,9193,0.6054,200.0,1.0,5.0,200911,664.0
