,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,TN,RUTHERFORD,9193,1.8162,300.0,1.0,10.0,200601,1377.0
1,NY,RETAIL PHARMACY,TN,RUTHERFORD,9193,2.27025,500.0,1.0,7.5,200606,1751.0
2,NY,RETAIL PHARMACY,TN,KNOX,9143,1.793,200.0,1.5,10.0,200703,8891.0
3,NY,RETAIL PHARMACY,TN,COCKE,9193,2.4216,400.0,1.0,10.0,200610,652.0
4,NY,RETAIL PHARMACY,TN,COCKE,9193,1.5135,500.0,1.0,5.0,200704,557.0
5,GA,RETAIL PHARMACY,TN,GILES,9193,1.2108,200.0,1.0,10.0,200902,343.0
6,GA,RETAIL PHARMACY,TN,GILES,9193,0.6054,100.0,1.0,10.0,200906,357.0
7,GA,RETAIL PHARMACY,TN,GILES,9193,2.27025,500.0,1.0,7.5,201203,690.0
8,GA,RETAIL PHARMACY,TN,UNION,9193,2.27025,500.0,1.0,7.5,200909,157.0
9,GA,RETAIL PHARMACY,TN,UNION,9193,1.8162,400.0,1.0,7.5,201008,195.0
10,GA,RETAIL PHARMACY,TN,GRAINGER,9193,3.027,500.0,1.0,10.0,200810,237.0
11,GA,RETAIL PHARMACY,TN,GRAINGER,9193,18.162,3000.0,1.0,10.0,201001,191.0
12,GA,RETAIL PHARMACY,TN,GRAINGER,9193,3.027,500.0,1.0,10.0,201103,205.0
13,VA,PRACTITIONER,TN,WASHINGTON,9193,1.2108,200.0,1.0,10.0,200609,1408.0
14,VA,PRACTITIONER,TN,WASHINGTON,9193,2.4216,400.0,1.0,10.0,200703,1599.0
15,VA,PRACTITIONER,TN,WASHINGTON,9193,2.4216,400.0,1.0,10.0,200809,1740.0
16,VA,PRACTITIONER,TN,WASHINGTON,9193,2.4216,400.0,1.0,10.0,200811,1592.0
17,VA,PRACTITIONER,TN,WASHINGTON,9193,2.4216,400.0,1.0,10.0,200812,1769.0
18,VA,PRACTITIONER,TN,WASHINGTON,9193,2.4216,400.0,1.0,10.0,200903,1845.0
19,VA,PRACTITIONER,TN,WASHINGTON,9193,2.4216,400.0,1.0,10.0,200907,1807.0
20,VA,PRACTITIONER,TN,HAMILTON,9193,3.027,500.0,1.0,10.0,200711,6552.0
21,VA,PRACTITIONER,TN,HOUSTON,9193,0.6054,100.0,1.0,10.0,200710,97.0
22,VA,PRACTITIONER,TN,HOUSTON,9193,0.6054,100.0,1.0,10.0,200812,61.0
23,VA,PRACTITIONER,TN,HOUSTON,9193,1.2108,200.0,1.0,10.0,200906,67.0
24,VA,PRACTITIONER,TN,HOUSTON,9193,0.45405,100.0,1.0,7.5,200907,73.0
25,VA,PRACTITIONER-DW/275,TN,SEVIER,9193,0.6054,100.0,1.0,10.0,200611,1122.0
26,VA,PRACTITIONER-DW/275,TN,BENTON,9193,4.5405,1000.0,1.0,7.5,200705,530.0
27,VA,PRACTITIONER-DW/275,TN,BENTON,9193,4.5405,1000.0,1.0,7.5,200805,522.0
28,CA,PRACTITIONER,TN,MONTGOMERY,9193,1.36215,300.0,1.0,7.5,201103,2172.0
29,CA,PRACTITIONER,TN,MONTGOMERY,9193,0.136215,30.0,1.0,7.5,201106,2251.0
30,CA,PRACTITIONER,TN,MONTGOMERY,9193,1.8162,300.0,1.0,10.0,201111,1951.0
