,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,TX,GREGG,9193,1.5135,500.0,5.0,200601,1982.0
1,NY,RETAIL PHARMACY,TX,JEFFERSON,9193,1.5135,500.0,5.0,200601,3299.0
2,NY,RETAIL PHARMACY,TX,JEFFERSON,9193,2.4216,400.0,10.0,200611,3598.0
3,NY,RETAIL PHARMACY,TX,JEFFERSON,9193,0.6054,100.0,10.0,200701,3575.0
4,NY,RETAIL PHARMACY,TX,JEFFERSON,9193,0.6054,100.0,10.0,200702,3198.0
5,NY,RETAIL PHARMACY,TX,JEFFERSON,9193,1.8162,300.0,10.0,200703,3969.0
6,NY,RETAIL PHARMACY,TX,EL PASO,9193,3.027,500.0,10.0,200704,3131.0
7,NY,RETAIL PHARMACY,TX,HARRIS,9193,18.162,3000.0,10.0,200703,48433.0
8,NY,RETAIL PHARMACY,TX,HARRIS,9193,9.081,1500.0,10.0,200608,40992.0
9,NY,RETAIL PHARMACY,TX,HARRIS,9193,2.27025,500.0,7.5,200607,36546.0
11,NY,RETAIL PHARMACY,TX,HARRIS,9193,18.162,3000.0,10.0,200704,45936.0
12,NY,RETAIL PHARMACY,TX,WOOD,9193,3.027,1000.0,5.0,200701,709.0
15,NY,RETAIL PHARMACY,TX,HARRIS,9193,0.9081,200.0,7.5,200610,40380.0
16,NY,RETAIL PHARMACY,TX,HARRIS,9193,9.081,1500.0,10.0,200612,43010.0
19,NY,RETAIL PHARMACY,TX,TARRANT,9193,0.9081,200.0,7.5,200704,20808.0
20,NY,RETAIL PHARMACY,TX,ROCKWALL,9193,6.0539999999999985,1000.0,10.0,200703,682.0
21,NY,RETAIL PHARMACY,TX,NUECES,9193,4.5405,1000.0,7.5,200610,2715.0
22,NY,RETAIL PHARMACY,TX,HARRIS,9193,9.081,1500.0,10.0,200702,42469.0
26,NY,RETAIL PHARMACY,TX,FORT BEND,9193,18.162,3000.0,10.0,200606,5370.0
27,NY,RETAIL PHARMACY,TX,FORT BEND,9193,18.162,3000.0,10.0,200607,4985.0
28,NY,RETAIL PHARMACY,TX,FORT BEND,9193,18.162,3000.0,10.0,200609,3737.0
29,NY,RETAIL PHARMACY,TX,FORT BEND,9193,18.162,3000.0,10.0,200611,3471.0
30,NY,RETAIL PHARMACY,TX,FORT BEND,9193,18.162,3000.0,10.0,200612,4105.0
31,NY,RETAIL PHARMACY,TX,FORT BEND,9193,12.108,2000.0,10.0,200701,4225.0
32,NY,RETAIL PHARMACY,TX,FORT BEND,9193,15.135,2500.0,10.0,200610,3281.0
37,NY,RETAIL PHARMACY,TX,FORT BEND,9193,12.108,2000.0,10.0,200703,3872.0
38,NY,RETAIL PHARMACY,TX,HARRIS,9193,18.162,3000.0,10.0,200609,38551.0
40,NY,RETAIL PHARMACY,TX,DALLAS,9193,0.3027,100.0,5.0,200703,19986.0
41,GA,RETAIL PHARMACY,TX,LIVE OAK,9193,4.5405,1000.0,7.5,201208,65.0
42,GA,RETAIL PHARMACY,TX,LIVE OAK,9193,6.0539999999999985,1000.0,10.0,201209,32.0
43,GA,RETAIL PHARMACY,TX,TOM GREEN,9193,2.27025,500.0,7.5,201108,2392.0
44,GA,RETAIL PHARMACY,TX,TOM GREEN,9193,1.5135,500.0,5.0,201111,2450.0
45,GA,RETAIL PHARMACY,TX,TOM GREEN,9193,2.27025,500.0,7.5,201208,1907.0
46,GA,RETAIL PHARMACY,TX,TOM GREEN,9193,3.027,1000.0,5.0,201209,1748.0
