,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,UT,WEBER,9193,3.027,500.0,1.0,10.0,200702,1665.0
1,CO,RETAIL PHARMACY,UT,GRAND,9193,2.4216,400.0,1.0,10.0,200609,67.0
2,CO,RETAIL PHARMACY,UT,GRAND,9193,2.27025,500.0,1.0,7.5,200610,66.0
3,CO,RETAIL PHARMACY,UT,GRAND,9193,0.3027,100.0,1.0,5.0,200611,73.0
4,CO,RETAIL PHARMACY,UT,GRAND,9143,14.344,200.0,1.5,80.0,200611,71.0
6,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200612,82.0
7,CO,RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,200701,83.0
9,CO,RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,100.0,1.5,40.0,200701,44.0
11,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200705,87.0
12,CO,RETAIL PHARMACY,UT,GRAND,9193,1.36215,300.0,1.0,7.5,200706,74.0
14,CO,RETAIL PHARMACY,UT,GRAND,9143,1.793,200.0,1.5,10.0,200707,68.0
15,CO,RETAIL PHARMACY,UT,GRAND,9143,1.793,100.0,1.5,20.0,200708,70.0
16,CO,RETAIL PHARMACY,UT,GRAND,9143,1.793,200.0,1.5,10.0,200710,73.0
17,CO,RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,200711,83.0
18,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200801,67.0
19,CO,RETAIL PHARMACY,UT,GRAND,9143,2.6895,100.0,1.5,30.0,200802,64.0
20,CO,RETAIL PHARMACY,UT,GRAND,9143,4.4825,1000.0,1.5,5.0,200803,78.0
23,CO,RETAIL PHARMACY,UT,GRAND,9193,6.0539999999999985,1000.0,1.0,10.0,200804,84.0
24,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200805,86.0
25,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200807,86.0
26,CO,RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,200808,73.0
27,CO,RETAIL PHARMACY,UT,GRAND,9143,2.6895,300.0,1.5,10.0,200808,61.0
28,CO,RETAIL PHARMACY,UT,GRAND,9143,2.6895,100.0,1.5,30.0,200809,72.0
29,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200901,91.0
30,CO,RETAIL PHARMACY,UT,GRAND,9143,2.24125,500.0,1.5,5.0,200902,56.0
32,CO,RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,100.0,1.5,40.0,200904,81.0
33,CO,RETAIL PHARMACY,UT,GRAND,9143,1.34475,300.0,1.5,5.0,200905,82.0
34,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,200905,75.0
35,CO,RETAIL PHARMACY,UT,GRAND,9143,2.24125,500.0,1.5,5.0,200906,77.0
38,CO,RETAIL PHARMACY,UT,GRAND,9143,1.34475,100.0,1.5,15.0,200907,76.0
39,CO,RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,200908,99.0
41,CO,RETAIL PHARMACY,UT,GRAND,9193,0.45405,100.0,1.0,7.5,200909,100.0
44,CO,RETAIL PHARMACY,UT,GRAND,9143,2.6895,100.0,1.5,30.0,200911,89.0
45,CO,RETAIL PHARMACY,UT,GRAND,9193,0.45405,100.0,1.0,7.5,200912,104.0
46,CO,RETAIL PHARMACY,UT,GRAND,9143,1.34475,200.0,1.5,7.5,201004,119.0
48,CO,RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,201006,120.0
49,CO,RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,100.0,1.5,40.0,201006,116.0
