,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,VA,TAZEWELL,9143,10.758,300.0,1.5,40.0,200604,465.0
1,NY,RETAIL PHARMACY,VA,TAZEWELL,9193,3.027,500.0,1.0,10.0,200701,1045.0
2,NY,RETAIL PHARMACY,VA,TAZEWELL,9193,3.027,500.0,1.0,10.0,200702,931.0
3,NY,RETAIL PHARMACY,VA,DANVILLE CITY,9193,1.5135,500.0,1.0,5.0,200604,657.0
4,NY,RETAIL PHARMACY,VA,DANVILLE CITY,9193,2.27025,500.0,1.0,7.5,200605,640.0
5,NY,RETAIL PHARMACY,VA,DANVILLE CITY,9193,1.5135,500.0,1.0,5.0,200606,738.0
6,NY,RETAIL PHARMACY,VA,PATRICK,9193,6.0539999999999985,1000.0,1.0,10.0,200605,69.0
7,NY,RETAIL PHARMACY,VA,PATRICK,9193,6.0539999999999985,1000.0,1.0,10.0,200608,137.0
8,NY,RETAIL PHARMACY,VA,PATRICK,9193,3.027,500.0,1.0,10.0,200609,163.0
9,NY,RETAIL PHARMACY,VA,PATRICK,9193,9.081,1500.0,1.0,10.0,200703,165.0
10,NY,RETAIL PHARMACY,VA,SUFFOLK CITY,9193,4.5405,1000.0,1.0,7.5,200608,353.0
11,GA,RETAIL PHARMACY,VA,CAMPBELL,9193,2.27025,500.0,1.0,7.5,201203,220.0
12,GA,RETAIL PHARMACY,VA,CAMPBELL,9193,4.5405,1500.0,1.0,5.0,201204,253.0
13,GA,RETAIL PHARMACY,VA,CAMPBELL,9193,3.027,1000.0,1.0,5.0,201211,300.0
14,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,3.027,500.0,1.0,10.0,200905,18.0
15,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,3.027,500.0,1.0,10.0,200910,32.0
16,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,3.027,500.0,1.0,10.0,201101,33.0
17,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,3.027,1000.0,1.0,5.0,201106,45.0
18,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,1.5135,500.0,1.0,5.0,201108,35.0
19,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,1.5135,500.0,1.0,5.0,201111,58.0
20,GA,RETAIL PHARMACY,VA,LUNENBURG,9193,4.5405,1500.0,1.0,5.0,201201,48.0
21,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,3.027,500.0,1.0,10.0,200712,748.0
22,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,2.27025,500.0,1.0,7.5,200801,540.0
23,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,3.027,500.0,1.0,10.0,200903,703.0
25,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,1.2108,200.0,1.0,10.0,200908,811.0
26,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,3.027,500.0,1.0,10.0,201001,699.0
27,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,6.0539999999999985,1000.0,1.0,10.0,201003,837.0
28,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,0.136215,30.0,1.0,7.5,201007,802.0
29,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,3.027,500.0,1.0,10.0,201008,1008.0
30,GA,RETAIL PHARMACY,VA,DANVILLE CITY,9193,3.027,500.0,1.0,10.0,201102,803.0
31,GA,RETAIL PHARMACY,VA,JAMES CITY,9193,1.5135,500.0,1.0,5.0,201105,515.0
32,GA,RETAIL PHARMACY,VA,JAMES CITY,9193,1.5135,500.0,1.0,5.0,201108,594.0
33,GA,RETAIL PHARMACY,VA,PATRICK,9193,0.15135,100.0,1.0,2.5,201002,228.0
34,GA,RETAIL PHARMACY,VA,PATRICK,9193,3.027,500.0,1.0,10.0,201208,285.0
35,GA,RETAIL PHARMACY,VA,PATRICK,9193,0.6054,400.0,1.0,2.5,201209,271.0
36,GA,RETAIL PHARMACY,VA,GALAX CITY,9193,3.027,500.0,1.0,10.0,201012,313.0
37,GA,RETAIL PHARMACY,VA,GALAX CITY,9193,6.0539999999999985,1000.0,1.0,10.0,201104,343.0
38,GA,RETAIL PHARMACY,VA,CHARLOTTE,9193,2.27025,500.0,1.0,7.5,201108,93.0
39,GA,RETAIL PHARMACY,VA,CHARLOTTE,9193,1.5135,500.0,1.0,5.0,201112,90.0
40,GA,RETAIL PHARMACY,VA,CHARLOTTE,9193,0.9081,200.0,1.0,7.5,201209,83.0
41,GA,RETAIL PHARMACY,VA,CHARLOTTE,9193,6.0539999999999985,1000.0,1.0,10.0,201210,94.0
42,GA,RETAIL PHARMACY,VA,CHARLOTTE,9193,3.027,500.0,1.0,10.0,201212,116.0
43,GA,RETAIL PHARMACY,VA,MARTINSVILLE CITY,9193,3.027,500.0,1.0,10.0,201004,1066.0
44,GA,RETAIL PHARMACY,VA,MARTINSVILLE CITY,9193,3.027,500.0,1.0,10.0,201112,1226.0
45,GA,RETAIL PHARMACY,VA,MARTINSVILLE CITY,9193,6.0539999999999985,1000.0,1.0,10.0,201204,1077.0
47,GA,RETAIL PHARMACY,VA,MARTINSVILLE CITY,9193,3.027,500.0,1.0,10.0,201207,1135.0
48,GA,RETAIL PHARMACY,VA,WISE,9193,2.27025,500.0,1.0,7.5,200907,1031.0
49,GA,RETAIL PHARMACY,VA,COLONIAL HEIGHTS CITY,9193,3.027,500.0,1.0,10.0,200607,339.0
50,GA,RETAIL PHARMACY,VA,COLONIAL HEIGHTS CITY,9193,3.027,500.0,1.0,10.0,200708,346.0
51,GA,RETAIL PHARMACY,VA,COLONIAL HEIGHTS CITY,9193,1.5135,500.0,1.0,5.0,200901,420.0
52,GA,RETAIL PHARMACY,VA,COLONIAL HEIGHTS CITY,9193,2.27025,500.0,1.0,7.5,201010,501.0
53,GA,RETAIL PHARMACY,VA,COLONIAL HEIGHTS CITY,9193,3.027,500.0,1.0,10.0,201111,485.0
54,GA,RETAIL PHARMACY,VA,AUGUSTA,9193,12.108,2000.0,1.0,10.0,200805,247.0
55,GA,RETAIL PHARMACY,VA,WISE,9193,3.027,500.0,1.0,10.0,201110,1152.0
56,GA,RETAIL PHARMACY,VA,WASHINGTON,9193,0.27243,60.0,1.0,7.5,200911,1289.0
57,GA,RETAIL PHARMACY,VA,WASHINGTON,9193,0.136215,30.0,1.0,7.5,200912,1171.0
58,GA,RETAIL PHARMACY,VA,WASHINGTON,9193,4.5405,1000.0,1.0,7.5,201201,1177.0
59,GA,RETAIL PHARMACY,VA,WASHINGTON,9193,9.081,3000.0,1.0,5.0,201203,1226.0
60,GA,RETAIL PHARMACY,VA,WASHINGTON,9193,9.081,2000.0,1.0,7.5,201206,1154.0
61,GA,RETAIL PHARMACY,VA,WASHINGTON,9193,15.135,5000.0,1.0,5.0,201212,1284.0
62,GA,RETAIL PHARMACY,VA,DICKENSON,9193,4.5405,1000.0,1.0,7.5,201211,581.0
63,MD,RETAIL PHARMACY,VA,SALEM,9193,0.6054,100.0,1.0,10.0,200601,195.0
64,MD,RETAIL PHARMACY,VA,SALEM,9193,0.45405,100.0,1.0,7.5,200607,428.0
66,MD,RETAIL PHARMACY,VA,SALEM,9143,1.793,200.0,1.5,10.0,200610,384.0
67,MD,RETAIL PHARMACY,VA,SALEM,9193,1.5135,500.0,1.0,5.0,200612,431.0
68,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,200702,484.0
69,MD,RETAIL PHARMACY,VA,SALEM,9143,2.6895,300.0,1.5,10.0,200703,523.0
70,MD,RETAIL PHARMACY,VA,SALEM,9143,4.03425,300.0,1.5,15.0,200704,503.0
71,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,200708,438.0
72,MD,RETAIL PHARMACY,VA,SALEM,9193,0.6054,100.0,1.0,10.0,200710,563.0
73,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,200712,507.0
74,MD,RETAIL PHARMACY,VA,SALEM,9143,2.241,500.0,1.5,5.0,200712,473.0
75,MD,RETAIL PHARMACY,VA,SALEM,9193,1.5135,500.0,1.0,5.0,200801,421.0
76,MD,RETAIL PHARMACY,VA,SALEM,9143,7.1720000000000015,100.0,1.5,80.0,200803,622.0
78,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,200804,503.0
79,MD,RETAIL PHARMACY,VA,SALEM,9143,1.793,200.0,1.5,10.0,200804,506.0
80,MD,RETAIL PHARMACY,VA,SALEM,9193,0.3027,100.0,1.0,5.0,200805,503.0
81,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,200809,558.0
83,MD,RETAIL PHARMACY,VA,SALEM,9143,14.344,200.0,1.5,80.0,200810,733.0
84,MD,RETAIL PHARMACY,VA,SALEM,9143,2.24125,500.0,1.5,5.0,200811,644.0
87,MD,RETAIL PHARMACY,VA,SALEM,9193,1.5135,500.0,1.0,5.0,200901,500.0
88,MD,RETAIL PHARMACY,VA,SALEM,9143,1.793,200.0,1.5,10.0,200901,678.0
89,MD,RETAIL PHARMACY,VA,SALEM,9193,1.5135,500.0,1.0,5.0,200902,504.0
91,MD,RETAIL PHARMACY,VA,SALEM,9193,1.2108,200.0,1.0,10.0,200904,542.0
92,MD,RETAIL PHARMACY,VA,SALEM,9193,0.3027,100.0,1.0,5.0,200905,584.0
94,MD,RETAIL PHARMACY,VA,SALEM,9193,0.45405,100.0,1.0,7.5,200906,586.0
95,MD,RETAIL PHARMACY,VA,SALEM,9143,14.344,200.0,1.5,80.0,200906,774.0
96,MD,RETAIL PHARMACY,VA,SALEM,9193,0.3027,100.0,1.0,5.0,200907,605.0
99,MD,RETAIL PHARMACY,VA,SALEM,9193,0.45405,100.0,1.0,7.5,200910,559.0
100,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,201001,563.0
102,MD,RETAIL PHARMACY,VA,SALEM,9143,0.672375,100.0,1.5,7.5,201001,683.0
103,MD,RETAIL PHARMACY,VA,SALEM,9143,1.34475,200.0,1.5,7.5,201002,689.0
104,MD,RETAIL PHARMACY,VA,SALEM,9193,0.3027,100.0,1.0,5.0,201003,717.0
105,MD,RETAIL PHARMACY,VA,SALEM,9143,1.793,100.0,1.5,20.0,201003,796.0
106,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,201004,611.0
107,MD,RETAIL PHARMACY,VA,SALEM,9143,2.6895,200.0,1.5,15.0,201004,693.0
108,MD,RETAIL PHARMACY,VA,SALEM,9193,0.6054,100.0,1.0,10.0,201005,687.0
109,MD,RETAIL PHARMACY,VA,SALEM,9193,0.9081,200.0,1.0,7.5,201006,685.0
110,MD,RETAIL PHARMACY,VA,SALEM,9193,0.45405,100.0,1.0,7.5,201007,651.0
111,MD,RETAIL PHARMACY,VA,SALEM,9193,0.45405,100.0,1.0,7.5,201008,797.0
114,MD,RETAIL PHARMACY,VA,SALEM,9143,14.344,200.0,1.5,80.0,201008,755.0
115,MD,RETAIL PHARMACY,VA,SALEM,9143,2.24125,500.0,1.5,5.0,201009,714.0
116,MD,RETAIL PHARMACY,VA,SALEM,9193,0.3027,100.0,1.0,5.0,201010,657.0
117,MD,RETAIL PHARMACY,VA,SALEM,9193,0.45405,100.0,1.0,7.5,201012,606.0
118,MD,RETAIL PHARMACY,VA,SALEM,9193,0.3027,100.0,1.0,5.0,201102,624.0
119,MD,RETAIL PHARMACY,VA,SALEM,9143,2.24125,500.0,1.5,5.0,201102,713.0
120,MD,RETAIL PHARMACY,VA,SALEM,9193,0.6054,100.0,1.0,10.0,201105,718.0
121,MD,RETAIL PHARMACY,VA,SALEM,9193,1.2108,200.0,1.0,10.0,201106,730.0
122,MD,RETAIL PHARMACY,VA,SALEM,9143,2.24125,500.0,1.5,5.0,201107,701.0
123,MD,RETAIL PHARMACY,VA,SALEM,9193,1.2108,200.0,1.0,10.0,201109,689.0
124,MD,RETAIL PHARMACY,VA,SALEM,9143,2.24125,500.0,1.5,5.0,201109,756.0
126,MD,RETAIL PHARMACY,VA,SALEM,9193,0.6054,100.0,1.0,10.0,201110,776.0
128,MD,RETAIL PHARMACY,VA,SALEM,9193,2.27025,500.0,1.0,7.5,201112,730.0
131,MD,RETAIL PHARMACY,VA,SALEM,9143,1.34475,200.0,1.5,7.5,201112,792.0
132,MD,RETAIL PHARMACY,VA,SALEM,9193,0.9081,300.0,1.0,5.0,201202,717.0
134,MD,RETAIL PHARMACY,VA,SALEM,9193,0.6054,100.0,1.0,10.0,201203,751.0
136,MD,RETAIL PHARMACY,VA,HENRICO,9193,0.6054,100.0,1.0,10.0,200601,2480.0
137,MD,RETAIL PHARMACY,VA,HENRICO,9193,0.6054,100.0,1.0,10.0,200605,3001.0
138,MD,RETAIL PHARMACY,VA,HENRICO,9143,0.8965,100.0,1.5,10.0,200609,2338.0
139,MD,RETAIL PHARMACY,VA,HENRICO,9193,1.5135,500.0,1.0,5.0,200703,1788.0
140,MD,RETAIL PHARMACY,VA,HENRICO,9193,1.5135,500.0,1.0,5.0,200706,1877.0
141,MD,RETAIL PHARMACY,VA,HENRICO,9143,0.8965,100.0,1.5,10.0,200706,2516.0
142,MD,RETAIL PHARMACY,VA,HENRICO,9143,0.8965,100.0,1.5,10.0,200801,1617.0
143,MD,RETAIL PHARMACY,VA,HENRICO,9143,2.24125,500.0,1.5,5.0,200802,2711.0
144,MD,RETAIL PHARMACY,VA,HENRICO,9193,2.27025,500.0,1.0,7.5,200805,2336.0
145,MD,RETAIL PHARMACY,VA,HENRICO,9193,0.45405,100.0,1.0,7.5,200806,1862.0
146,MD,RETAIL PHARMACY,VA,HENRICO,9193,1.5135,500.0,1.0,5.0,200901,2376.0
147,MD,RETAIL PHARMACY,VA,HENRICO,9193,1.5135,500.0,1.0,5.0,200904,2549.0
148,MD,RETAIL PHARMACY,VA,HENRICO,9143,2.24125,500.0,1.5,5.0,201001,3387.0
149,MD,RETAIL PHARMACY,VA,HENRICO,9193,1.5135,500.0,1.0,5.0,201006,3901.0
150,MD,RETAIL PHARMACY,VA,HENRICO,9143,2.24125,500.0,1.5,5.0,201101,3912.0
151,MD,RETAIL PHARMACY,VA,HENRICO,9143,2.24125,500.0,1.5,5.0,201110,4191.0
