,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,VT,LAMOILLE,9193,0.45405,100.0,1.0,7.5,200603,111.0
1,NY,RETAIL PHARMACY,VT,LAMOILLE,9193,1.5135,500.0,1.0,5.0,200604,81.0
2,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,3.027,1000.0,1.0,5.0,200601,325.0
4,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,3.027,500.0,1.0,10.0,200604,374.0
5,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,1.2108,200.0,1.0,10.0,200606,319.0
6,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.9081,200.0,1.0,7.5,200611,268.0
9,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,200612,318.0
10,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,1.36215,300.0,1.0,7.5,200701,333.0
11,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,200711,420.0
12,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,4.5405,1500.0,1.0,5.0,200807,423.0
13,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,3.6324,600.0,1.0,10.0,200808,438.0
16,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,200908,432.0
18,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,1.8162,400.0,1.0,7.5,200911,401.0
19,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,201004,387.0
20,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,1.8162,400.0,1.0,7.5,201007,441.0
21,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,9.081,1500.0,1.0,10.0,201009,403.0
22,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,7.2648,1200.0,1.0,10.0,201012,533.0
23,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,201103,378.0
24,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.9081,200.0,1.0,7.5,201107,353.0
25,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,4.5405,1500.0,1.0,5.0,201109,365.0
26,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,201111,337.0
27,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,201112,378.0
28,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,2.27025,500.0,1.0,7.5,201208,382.0
29,NY,CHAIN PHARMACY,VT,FRANKLIN,9193,0.9081,200.0,1.0,7.5,201209,321.0
