,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,WA,CLALLAM,9193,3.6324,800.0,7.5,200606,833.0
1,NY,RETAIL PHARMACY,WA,CLALLAM,9193,0.3027,100.0,5.0,200610,891.0
2,NY,RETAIL PHARMACY,WA,PIERCE,9143,5.379,300.0,20.0,200703,10435.0
3,NY,RETAIL PHARMACY,WA,SPOKANE,9193,3.027,500.0,10.0,200609,6076.0
4,NY,RETAIL PHARMACY,WA,SPOKANE,9193,3.027,500.0,10.0,200611,6280.0
5,NY,RETAIL PHARMACY,WA,SPOKANE,9193,3.027,500.0,10.0,200701,6612.0
6,NY,RETAIL PHARMACY,WA,SPOKANE,9193,4.5405,1000.0,7.5,200703,6272.0
7,NY,CHAIN PHARMACY,WA,DOUGLAS,9193,0.45405,100.0,7.5,200601,173.0
8,NY,CHAIN PHARMACY,WA,DOUGLAS,9193,0.9081,200.0,7.5,200610,199.0
9,GA,RETAIL PHARMACY,WA,CLALLAM,9193,2.27025,500.0,7.5,201206,909.0
10,VA,PRACTITIONER,WA,PIERCE,9193,3.027,500.0,10.0,200701,4816.0
11,VA,PRACTITIONER,WA,KING,9193,3.027,500.0,10.0,200706,11729.0
12,CA,PRACTITIONER,WA,SPOKANE,9193,0.45405,100.0,7.5,200606,7961.0
13,CA,PRACTITIONER,WA,SPOKANE,9193,0.9081,300.0,5.0,200610,6264.0
15,CA,PRACTITIONER,WA,SPOKANE,9193,0.12108,40.0,5.0,200601,7465.0
16,CA,PRACTITIONER,WA,SPOKANE,9193,0.9081,200.0,7.5,200612,6687.0
18,CA,PRACTITIONER,WA,SPOKANE,9193,0.6054,200.0,5.0,200706,6369.0
19,OR,RETAIL PHARMACY,WA,CLARK,9143,32.2704,7200.0,5.0,200607,4932.0
20,OR,RETAIL PHARMACY,WA,CLARK,9193,2.90592,960.0,5.0,201207,4333.0
21,OR,RETAIL PHARMACY,WA,COWLITZ,9143,43.032,1200.0,40.0,200602,1895.0
22,OR,RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,10.0,200611,2595.0
23,OR,RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,10.0,200701,2666.0
24,OR,RETAIL PHARMACY,WA,COWLITZ,9143,57.37600000000001,800.0,80.0,200702,2300.0
26,OR,RETAIL PHARMACY,WA,COWLITZ,9143,43.032,2400.0,20.0,200705,2648.0
27,OR,RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,10.0,200708,2847.0
28,OR,RETAIL PHARMACY,WA,COWLITZ,9143,43.032,2400.0,20.0,200801,3155.0
29,OR,RETAIL PHARMACY,WA,COWLITZ,9143,21.516,1200.0,20.0,200804,2961.0
30,OR,RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,10.0,200806,2893.0
31,OR,RETAIL PHARMACY,WA,COWLITZ,9143,215.16,6000.0,40.0,200807,3410.0
32,OR,RETAIL PHARMACY,WA,COWLITZ,9193,4.8432,1600.0,5.0,201011,2001.0
34,OR,RETAIL PHARMACY,WA,COWLITZ,9193,65.3832,21600.0,5.0,201108,2133.0
35,OR,RETAIL PHARMACY,WA,COWLITZ,9193,65.3832,21600.0,5.0,201109,2290.0
36,OR,RETAIL PHARMACY,WA,COWLITZ,9193,65.3832,21600.0,5.0,201110,1978.0
38,OR,RETAIL PHARMACY,WA,CLARK,9143,21.5136,4800.0,5.0,200703,6002.0
39,OR,RETAIL PHARMACY,WA,CLARK,9143,8.965,1000.0,10.0,200708,7536.0
40,OR,RETAIL PHARMACY,WA,CLARK,9143,53.79,3000.0,20.0,200710,8351.0
41,OR,RETAIL PHARMACY,WA,CLARK,9143,32.274,7200.0,5.0,201006,7589.0
42,OR,RETAIL PHARMACY,WA,CLARK,9193,72.648,24000.0,5.0,201105,5086.0
43,OR,RETAIL PHARMACY,WA,CLARK,9193,17.43552,5760.0,5.0,201109,4697.0
44,OR,RETAIL PHARMACY,WA,CLARK,9193,72.648,24000.0,5.0,201111,4824.0
45,OR,RETAIL PHARMACY,WA,CLARK,9193,69.0156,22800.0,5.0,201201,4179.0
47,OR,RETAIL PHARMACY,WA,CLARK,9143,43.032,1200.0,40.0,200601,4199.0
50,OR,RETAIL PHARMACY,WA,CLARK,9143,13.446,3000.0,5.0,200602,4069.0
51,OR,RETAIL PHARMACY,WA,CLARK,9143,21.516,300.0,80.0,200603,4955.0
52,OR,RETAIL PHARMACY,WA,CLARK,9143,71.72,2000.0,40.0,200605,5215.0
54,OR,RETAIL PHARMACY,WA,CLARK,9143,43.032,600.0,80.0,200608,5259.0
55,OR,RETAIL PHARMACY,WA,CLARK,9143,14.344,800.0,20.0,200704,5918.0
56,OR,RETAIL PHARMACY,WA,CLARK,9143,43.032,1200.0,40.0,200709,6345.0
57,OR,RETAIL PHARMACY,WA,CLARK,9143,16.137,1800.0,10.0,200712,7651.0
58,OR,RETAIL PHARMACY,WA,CLARK,9193,26.15328,8640.0,5.0,201004,5276.0
59,OR,RETAIL PHARMACY,WA,CLARK,9193,26.15328,8640.0,5.0,201011,5147.0
61,OR,RETAIL PHARMACY,WA,CLARK,9193,26.15328,8640.0,5.0,201208,5193.0
64,OR,RETAIL PHARMACY,WA,CLARK,9143,43.032,2400.0,20.0,200804,9598.0
65,OR,RETAIL PHARMACY,WA,CLARK,9193,43.5888,14400.0,5.0,201103,5075.0
66,TN,CHAIN PHARMACY,WA,MASON,9193,1.5135,500.0,5.0,201203,484.0
67,OR,CHAIN PHARMACY,WA,YAKIMA,9193,1.5135,500.0,5.0,200602,1117.0
68,OR,CHAIN PHARMACY,WA,YAKIMA,9143,3.13775,700.0,5.0,200603,1293.0
70,OR,CHAIN PHARMACY,WA,YAKIMA,9143,0.44825,100.0,5.0,200605,1386.0
72,OR,CHAIN PHARMACY,WA,YAKIMA,9143,3.5860000000000003,400.0,10.0,200612,1267.0
73,OR,CHAIN PHARMACY,WA,YAKIMA,9143,4.4825,1000.0,5.0,200701,1532.0
74,OR,CHAIN PHARMACY,WA,YAKIMA,9143,1.34475,200.0,7.5,200707,1438.0
75,OR,CHAIN PHARMACY,WA,YAKIMA,9143,3.5860000000000003,200.0,20.0,200709,1493.0
76,OR,CHAIN PHARMACY,WA,YAKIMA,9193,0.45405,100.0,7.5,200710,1416.0
77,OR,CHAIN PHARMACY,WA,YAKIMA,9143,4.4825,500.0,10.0,200808,1658.0
78,OR,CHAIN PHARMACY,WA,YAKIMA,9143,7.1720000000000015,200.0,40.0,200810,1930.0
79,OR,CHAIN PHARMACY,WA,YAKIMA,9143,0.403425,100.0,,201101,2611.0
80,OR,CHAIN PHARMACY,WA,YAKIMA,9143,4.4825,500.0,10.0,201104,2629.0
81,OR,CHAIN PHARMACY,WA,YAKIMA,9143,0.8965,100.0,10.0,201205,3248.0
82,OR,CHAIN PHARMACY,WA,YAKIMA,9193,0.3027,100.0,5.0,201207,2125.0
83,OR,CHAIN PHARMACY,WA,BENTON,9143,1.793,400.0,5.0,200610,1219.0
85,OR,CHAIN PHARMACY,WA,BENTON,9143,2.6895,300.0,10.0,200611,1246.0
86,OR,CHAIN PHARMACY,WA,BENTON,9143,4.03425,300.0,15.0,200707,1322.0
87,OR,CHAIN PHARMACY,WA,BENTON,9193,0.3027,100.0,5.0,200711,1425.0
88,OR,CHAIN PHARMACY,WA,BENTON,9143,0.8965,100.0,10.0,200712,1344.0
89,OR,CHAIN PHARMACY,WA,BENTON,9143,1.34475,300.0,5.0,200801,1425.0
91,OR,CHAIN PHARMACY,WA,BENTON,9143,3.5860000000000003,100.0,40.0,200805,1289.0
92,OR,CHAIN PHARMACY,WA,BENTON,9143,1.793,400.0,5.0,200808,1454.0
93,OR,CHAIN PHARMACY,WA,BENTON,9193,0.45405,100.0,7.5,200809,1598.0
94,OR,CHAIN PHARMACY,WA,BENTON,9143,2.6895,100.0,30.0,200809,1570.0
95,OR,CHAIN PHARMACY,WA,BENTON,9143,2.6895,300.0,10.0,201003,1955.0
96,OR,CHAIN PHARMACY,WA,BENTON,9193,3.027,500.0,10.0,201101,2480.0
97,OR,CHAIN PHARMACY,WA,BENTON,9193,2.27025,500.0,7.5,201206,2284.0
98,OR,RETAIL PHARMACY,WA,CLARK,9143,0.672375,100.0,7.5,200801,8919.0
99,OR,RETAIL PHARMACY,WA,CLARK,9143,7.1720000000000015,100.0,80.0,200802,7766.0
100,OR,RETAIL PHARMACY,WA,CLARK,9193,0.45405,100.0,7.5,200806,2588.0
101,OR,RETAIL PHARMACY,WA,CLARK,9143,2.24125,500.0,5.0,200807,10180.0
103,OR,RETAIL PHARMACY,WA,CLARK,9143,32.274,1200.0,30.0,200809,10753.0
105,OR,RETAIL PHARMACY,WA,CLARK,9143,5.379,400.0,15.0,200812,10471.0
106,OR,RETAIL PHARMACY,WA,CLARK,9143,13.4475,500.0,30.0,200903,8196.0
107,OR,RETAIL PHARMACY,WA,CLARK,9143,1.793,100.0,20.0,200906,6565.0
108,OR,RETAIL PHARMACY,WA,CLARK,9143,2.6895,400.0,7.5,200907,6920.0
109,OR,RETAIL PHARMACY,WA,CLARK,9143,6.2755,1400.0,5.0,200908,6498.0
111,OR,RETAIL PHARMACY,WA,CLARK,9143,7.1720000000000015,100.0,80.0,200909,6986.0
112,OR,RETAIL PHARMACY,WA,CLARK,9143,0.8965,100.0,10.0,200911,6783.0
113,OR,RETAIL PHARMACY,WA,CLARK,9143,1.34475,200.0,7.5,201007,7486.0
114,OR,RETAIL PHARMACY,WA,CLARK,9143,5.379,200.0,30.0,201105,7334.0
115,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,200602,374.0
116,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200603,417.0
117,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,200604,393.0
118,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.8965,100.0,10.0,200605,115.0
120,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200606,429.0
122,OR,RETAIL PHARMACY,WA,ASOTIN,9143,7.1720000000000015,400.0,20.0,200607,129.0
123,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,200608,446.0
124,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,200609,401.0
126,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.8965,100.0,10.0,200612,169.0
127,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,200701,522.0
130,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200702,236.0
131,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200704,238.0
133,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,200706,216.0
135,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,200707,230.0
136,OR,RETAIL PHARMACY,WA,ASOTIN,9143,1.793,400.0,5.0,200709,146.0
137,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200710,281.0
138,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.45405,100.0,7.5,200711,245.0
140,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.672375,100.0,7.5,200801,150.0
141,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200803,244.0
143,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.672375,100.0,7.5,200804,157.0
144,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200805,275.0
145,OR,RETAIL PHARMACY,WA,ASOTIN,9143,2.24125,500.0,5.0,200805,121.0
146,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.45405,100.0,7.5,200806,239.0
147,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200808,251.0
150,OR,RETAIL PHARMACY,WA,ASOTIN,9193,6.0539999999999985,1000.0,10.0,200809,261.0
151,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,200810,254.0
152,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.45405,100.0,7.5,200811,245.0
153,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.36215,300.0,7.5,200812,253.0
154,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200902,277.0
156,OR,RETAIL PHARMACY,WA,ASOTIN,9193,6.0539999999999985,1000.0,10.0,200903,329.0
157,OR,RETAIL PHARMACY,WA,ASOTIN,9143,1.34475,300.0,5.0,200903,176.0
159,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200904,372.0
160,OR,RETAIL PHARMACY,WA,ASOTIN,9143,2.6895,300.0,10.0,200904,240.0
161,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.45405,100.0,7.5,200905,299.0
162,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,200906,277.0
163,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200908,260.0
164,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200909,459.0
168,OR,RETAIL PHARMACY,WA,ASOTIN,9143,1.34475,200.0,7.5,200910,192.0
169,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.3027,100.0,5.0,200911,427.0
170,OR,RETAIL PHARMACY,WA,ASOTIN,9143,5.379,300.0,20.0,200911,196.0
171,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200912,493.0
172,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.36215,300.0,7.5,201001,697.0
174,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,201002,722.0
176,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,201003,746.0
177,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.6054,200.0,5.0,201005,808.0
178,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,201006,850.0
180,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,201007,777.0
182,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.45405,100.0,7.5,201008,815.0
183,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,201009,862.0
186,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.8965,100.0,10.0,201009,275.0
187,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,201010,888.0
188,OR,RETAIL PHARMACY,WA,ASOTIN,9143,7.1720000000000015,400.0,20.0,201011,286.0
190,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.3027,100.0,5.0,200601,365.0
191,OR,RETAIL PHARMACY,WA,ASOTIN,9143,3.5860000000000003,100.0,40.0,200604,96.0
192,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,200607,405.0
193,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200610,448.0
194,OR,RETAIL PHARMACY,WA,ASOTIN,9193,2.27025,500.0,7.5,200612,445.0
195,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,200705,271.0
201,OR,RETAIL PHARMACY,WA,ASOTIN,9143,3.5860000000000003,200.0,20.0,200808,150.0
203,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.9081,200.0,7.5,200901,306.0
204,OR,RETAIL PHARMACY,WA,ASOTIN,9143,3.5860000000000003,100.0,40.0,200909,217.0
208,OR,RETAIL PHARMACY,WA,ASOTIN,9143,1.793,200.0,10.0,201003,201.0
209,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,201004,710.0
210,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.8965,200.0,5.0,201005,251.0
212,OR,RETAIL PHARMACY,WA,ASOTIN,9193,1.5135,500.0,5.0,201012,936.0
213,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.6054,100.0,10.0,201101,971.0
214,OR,RETAIL PHARMACY,WA,ASOTIN,9143,7.1720000000000015,200.0,40.0,201101,281.0
215,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.6054,100.0,10.0,201102,874.0
216,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,201104,926.0
217,OR,RETAIL PHARMACY,WA,ASOTIN,9193,0.6054,100.0,10.0,201107,963.0
218,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,201109,1020.0
221,OR,RETAIL PHARMACY,WA,ASOTIN,9143,0.672375,100.0,7.5,201110,297.0
222,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,201111,982.0
223,OR,RETAIL PHARMACY,WA,ASOTIN,9193,6.0539999999999985,1000.0,10.0,201203,836.0
224,OR,RETAIL PHARMACY,WA,ASOTIN,9143,1.793,200.0,10.0,201204,286.0
225,OR,RETAIL PHARMACY,WA,ASOTIN,9193,3.027,500.0,10.0,201210,894.0
226,OR,RETAIL PHARMACY,WA,ASOTIN,9143,1.793,100.0,20.0,201212,321.0
227,OR,RETAIL PHARMACY,WA,KITTITAS,9193,0.45405,100.0,7.5,200602,167.0
228,OR,RETAIL PHARMACY,WA,KITTITAS,9193,1.5135,500.0,5.0,200603,201.0
229,OR,RETAIL PHARMACY,WA,KITTITAS,9143,3.5860000000000003,100.0,40.0,200611,325.0
230,OR,RETAIL PHARMACY,WA,KITTITAS,9193,0.3027,100.0,5.0,200707,183.0
231,OR,RETAIL PHARMACY,WA,KITTITAS,9143,2.6895,600.0,5.0,200708,331.0
232,OR,RETAIL PHARMACY,WA,KITTITAS,9143,7.1720000000000015,100.0,80.0,200710,354.0
233,OR,RETAIL PHARMACY,WA,KITTITAS,9143,2.24125,500.0,5.0,200712,304.0
235,OR,RETAIL PHARMACY,WA,KITTITAS,9143,3.5860000000000003,100.0,40.0,200801,325.0
237,OR,RETAIL PHARMACY,WA,KITTITAS,9143,3.5860000000000003,100.0,40.0,200802,322.0
238,OR,RETAIL PHARMACY,WA,KITTITAS,9193,1.5135,500.0,5.0,200803,226.0
239,OR,RETAIL PHARMACY,WA,KITTITAS,9143,2.6895,100.0,30.0,200803,335.0
241,OR,RETAIL PHARMACY,WA,KITTITAS,9193,2.27025,500.0,7.5,200805,297.0
242,OR,RETAIL PHARMACY,WA,KITTITAS,9193,0.45405,100.0,7.5,200806,220.0
243,OR,RETAIL PHARMACY,WA,KITTITAS,9193,0.9081,200.0,7.5,200807,255.0
244,OR,RETAIL PHARMACY,WA,KITTITAS,9143,0.8965,100.0,10.0,200807,396.0
245,OR,RETAIL PHARMACY,WA,KITTITAS,9143,1.34475,100.0,15.0,200809,360.0
246,OR,RETAIL PHARMACY,WA,KITTITAS,9193,1.36215,300.0,7.5,200810,258.0
247,OR,RETAIL PHARMACY,WA,KITTITAS,9143,7.1720000000000015,200.0,40.0,200811,310.0
248,OR,RETAIL PHARMACY,WA,KITTITAS,9143,21.516,300.0,80.0,200901,266.0
249,OR,RETAIL PHARMACY,WA,KITTITAS,9143,1.34475,300.0,5.0,200902,306.0
250,OR,RETAIL PHARMACY,WA,KITTITAS,9143,5.379,200.0,30.0,200905,354.0
251,OR,RETAIL PHARMACY,WA,KITTITAS,9143,3.5860000000000003,100.0,40.0,200906,369.0
253,OR,RETAIL PHARMACY,WA,KITTITAS,9193,3.027,1000.0,5.0,200907,274.0
254,OR,RETAIL PHARMACY,WA,KITTITAS,9143,7.1720000000000015,100.0,80.0,200907,380.0
255,OR,RETAIL PHARMACY,WA,KITTITAS,9193,1.36215,300.0,7.5,200908,215.0
256,OR,RETAIL PHARMACY,WA,KITTITAS,9143,0.8965,100.0,10.0,200908,361.0
257,OR,RETAIL PHARMACY,WA,KITTITAS,9193,1.2108,200.0,10.0,200912,221.0
258,OR,RETAIL PHARMACY,WA,KITTITAS,9143,7.1720000000000015,100.0,80.0,200912,412.0
259,OR,RETAIL PHARMACY,WA,KITTITAS,9193,1.5135,500.0,5.0,201001,276.0
260,OR,RETAIL PHARMACY,WA,KITTITAS,9143,1.793,100.0,20.0,201001,318.0
261,OR,RETAIL PHARMACY,WA,KITTITAS,9143,4.03425,300.0,15.0,201003,294.0
262,OR,RETAIL PHARMACY,WA,KITTITAS,9193,0.45405,100.0,7.5,201004,261.0
263,OR,RETAIL PHARMACY,WA,KITTITAS,9143,0.8965,100.0,10.0,201005,346.0
