,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,4.03425,900.0,1.5,5.0,200802,13103.0
1,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,5.379,600.0,1.5,10.0,200912,20871.0
2,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,6.0539999999999985,1000.0,1.0,10.0,201001,6991.0
3,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,500.0,1.0,10.0,201003,7934.0
4,IL,RETAIL PHARMACY,WI,ONEIDA,9193,0.45405,100.0,1.0,7.5,200601,269.0
5,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,1.34475,300.0,1.5,5.0,200701,13286.0
6,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,0.45405,100.0,1.0,7.5,200710,5541.0
7,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,14.344,200.0,1.5,80.0,200901,13351.0
8,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.44825,100.0,1.5,5.0,200902,14181.0
9,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.44825,100.0,1.5,5.0,200903,15106.0
10,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.672375,100.0,1.5,7.5,200904,16323.0
11,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,2.017125,300.0,1.5,7.5,200906,16309.0
12,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,1.793,200.0,1.5,10.0,200907,17617.0
14,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.8965,200.0,1.5,5.0,200911,17250.0
16,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,0.3027,100.0,1.0,5.0,201101,8219.0
19,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,5.379,400.0,1.5,15.0,201104,21411.0
21,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.672375,100.0,1.5,7.5,201105,23149.0
22,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,1.5135,500.0,1.0,5.0,201106,10059.0
23,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,3.5860000000000003,100.0,1.5,40.0,201108,25964.0
24,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.8965,100.0,1.5,10.0,201112,24584.0
25,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,8.0685,300.0,1.5,30.0,201201,23954.0
26,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,13.4475,500.0,1.5,30.0,201206,24206.0
27,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,500.0,1.0,10.0,201005,7719.0
28,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,1000.0,1.0,5.0,201204,8938.0
29,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,17.93,1000.0,1.5,20.0,200703,14648.0
30,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,1.5135,500.0,1.0,5.0,200812,6230.0
31,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,1000.0,1.0,5.0,200907,6412.0
32,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,0.45405,100.0,1.0,7.5,200910,7550.0
34,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,500.0,1.0,10.0,201202,8270.0
35,IL,RETAIL PHARMACY,WI,JUNEAU,9193,0.45405,100.0,1.0,7.5,200901,182.0
36,IL,RETAIL PHARMACY,WI,COLUMBIA,9143,0.672375,100.0,1.5,7.5,200603,772.0
37,IL,RETAIL PHARMACY,WI,COLUMBIA,9193,1.5135,500.0,1.0,5.0,200608,372.0
38,IL,RETAIL PHARMACY,WI,COLUMBIA,9193,0.6054,200.0,1.0,5.0,200912,717.0
39,IL,RETAIL PHARMACY,WI,COLUMBIA,9143,5.379,200.0,1.5,30.0,201003,938.0
40,IL,RETAIL PHARMACY,WI,WINNEBAGO,9193,1.5135,500.0,1.0,5.0,200706,881.0
41,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,2.24125,500.0,1.5,5.0,200605,11076.0
42,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,1.5135,500.0,1.0,5.0,200705,5274.0
43,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,1.793,100.0,1.5,20.0,200705,13767.0
44,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,0.8965,100.0,1.5,10.0,200707,12812.0
45,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,1.34475,300.0,1.5,5.0,200708,15294.0
46,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,0.3027,100.0,1.0,5.0,200810,6611.0
48,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,5.379,1200.0,1.5,5.0,200905,16512.0
50,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,6.0539999999999985,2000.0,1.0,5.0,200908,9006.0
51,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,1.793,200.0,1.5,10.0,200910,17777.0
54,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,3.5860000000000003,800.0,1.5,5.0,201005,18657.0
55,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,6.0539999999999985,2000.0,1.0,5.0,201006,7910.0
56,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,10.758,600.0,1.5,20.0,201007,19794.0
57,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,7.1720000000000015,400.0,1.5,20.0,201008,20894.0
58,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,500.0,1.0,10.0,201008,8521.0
59,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,0.3027,200.0,1.0,2.5,201009,7955.0
60,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,0.15135,100.0,1.0,2.5,201011,8351.0
62,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,1.36215,300.0,1.0,7.5,201102,8221.0
63,IL,RETAIL PHARMACY,WI,MILWAUKEE,9143,1.34475,200.0,1.5,7.5,201103,24163.0
65,IL,RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,1000.0,1.0,5.0,201104,8330.0
