,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,NY,RETAIL PHARMACY,WV,KANAWHA,9193,6.0539999999999985,1000.0,1.0,10.0,200606,4187.0
1,GA,RETAIL PHARMACY,WV,RALEIGH,9193,3.027,500.0,1.0,10.0,201111,1953.0
2,GA,RETAIL PHARMACY,WV,RALEIGH,9193,3.027,500.0,1.0,10.0,201203,1831.0
3,GA,RETAIL PHARMACY,WV,RALEIGH,9193,1.5135,500.0,1.0,5.0,201205,1951.0
4,GA,RETAIL PHARMACY,WV,RALEIGH,9193,1.5135,500.0,1.0,5.0,201206,1579.0
5,GA,RETAIL PHARMACY,WV,RALEIGH,9193,2.27025,500.0,1.0,7.5,201207,1661.0
6,GA,RETAIL PHARMACY,WV,RALEIGH,9193,1.5135,500.0,1.0,5.0,201211,1644.0
7,GA,RETAIL PHARMACY,WV,RALEIGH,9193,3.027,500.0,1.0,10.0,201212,1692.0
8,GA,RETAIL PHARMACY,WV,GREENBRIER,9193,0.3027,200.0,1.0,2.5,201205,831.0
9,OH,PRACTITIONER,WV,WETZEL,9193,0.3027,100.0,1.0,5.0,200609,326.0
10,OH,PRACTITIONER,WV,PUTNAM,9193,0.3027,100.0,1.0,5.0,200611,817.0
11,OH,PRACTITIONER,WV,OHIO,9193,0.3027,100.0,1.0,5.0,200706,356.0
12,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200604,571.0
13,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,200703,613.0
14,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200705,691.0
15,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.2108,200.0,1.0,10.0,200706,535.0
16,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,200707,593.0
18,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,200708,531.0
20,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.6054,100.0,1.0,10.0,200709,526.0
22,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,3.5860000000000003,400.0,1.5,10.0,200710,549.0
23,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.9081,200.0,1.0,7.5,200711,546.0
24,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,200712,530.0
27,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,200806,452.0
28,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,200807,611.0
29,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.45405,100.0,1.0,7.5,200808,513.0
31,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,200811,483.0
32,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,200904,596.0
33,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,200905,483.0
34,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200907,591.0
35,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.45405,100.0,1.0,7.5,200908,484.0
36,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.45405,100.0,1.0,7.5,200911,439.0
37,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,201002,431.0
38,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,1000.0,1.0,5.0,201003,510.0
39,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,201006,523.0
40,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,201009,493.0
41,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,201010,563.0
43,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,201011,553.0
47,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.3027,100.0,1.0,5.0,201102,494.0
48,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.3027,100.0,1.0,5.0,201103,619.0
49,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.15135,100.0,1.0,2.5,201104,580.0
50,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,201105,626.0
51,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,200601,554.0
53,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,5.379,600.0,1.5,10.0,200605,407.0
54,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,21.516,2400.0,1.5,10.0,200606,471.0
55,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,200607,598.0
56,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,2.6895,200.0,1.5,15.0,200607,359.0
57,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,10.758,300.0,1.5,40.0,200610,447.0
58,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200611,560.0
59,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,14.344,200.0,1.5,80.0,200611,490.0
61,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200701,614.0
62,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,7.1720000000000015,800.0,1.5,10.0,200702,542.0
64,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,8.0685,600.0,1.5,15.0,200703,503.0
66,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,200704,638.0
68,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,7.1720000000000015,200.0,1.5,40.0,200705,560.0
70,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,1.793,100.0,1.5,20.0,200707,468.0
72,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,5.379,600.0,1.5,10.0,200708,585.0
73,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,1.793,100.0,1.5,20.0,200709,449.0
76,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200710,499.0
78,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,5.379,600.0,1.5,10.0,200712,399.0
79,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200801,518.0
81,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,2.24125,500.0,1.5,5.0,200803,250.0
82,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,0.15135,100.0,1.0,2.5,200803,502.0
85,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,200804,465.0
86,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,10.758,800.0,1.5,15.0,200805,503.0
88,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,16.137,1200.0,1.5,15.0,200807,471.0
90,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,35.86,500.0,1.5,80.0,200808,415.0
93,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,10.758,1200.0,1.5,10.0,200809,491.0
94,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200810,548.0
95,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,32.274,1200.0,1.5,30.0,200811,424.0
96,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200901,538.0
97,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,13.4475,500.0,1.5,30.0,200903,578.0
98,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,1.34475,300.0,1.5,5.0,200905,413.0
100,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,13.4475,500.0,1.5,30.0,200906,311.0
101,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,28.688,400.0,1.5,80.0,200907,299.0
102,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200909,456.0
103,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,200910,572.0
104,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,6.0539999999999985,1000.0,1.0,10.0,200912,502.0
105,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,35.86,500.0,1.5,80.0,200912,447.0
106,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,5.379,600.0,1.5,10.0,201001,374.0
107,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,32.274,1200.0,1.5,30.0,201002,470.0
109,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,57.37600000000001,800.0,1.5,80.0,201003,458.0
110,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,10.758,200.0,1.5,60.0,201006,443.0
114,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,7.1720000000000015,800.0,1.5,10.0,201011,414.0
115,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,6.0539999999999985,1000.0,1.0,10.0,201012,578.0
116,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,201101,631.0
118,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,5.379,600.0,1.5,10.0,201103,375.0
119,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,7.1720000000000015,800.0,1.5,10.0,201104,450.0
120,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,201106,570.0
121,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,201107,580.0
122,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,0.672375,100.0,1.5,7.5,201107,423.0
123,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,201110,556.0
124,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,2.24125,500.0,1.5,5.0,201111,337.0
125,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,201111,567.0
126,MD,RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,201112,610.0
128,MD,RETAIL PHARMACY,WV,MCDOWELL,9143,48.411,1800.0,1.5,30.0,201201,337.0
129,MD,CHAIN PHARMACY,WV,MCDOWELL,9143,4.4825,500.0,1.5,10.0,200601,373.0
133,MD,CHAIN PHARMACY,WV,MCDOWELL,9143,2.017125,300.0,1.5,7.5,200612,487.0
138,MD,CHAIN PHARMACY,WV,MCDOWELL,9143,10.758,300.0,1.5,40.0,200804,485.0
139,MD,CHAIN PHARMACY,WV,MCDOWELL,9143,0.8965,200.0,1.5,5.0,200810,513.0
140,MD,CHAIN PHARMACY,WV,MCDOWELL,9193,0.9081,200.0,1.0,7.5,200812,576.0
145,MD,CHAIN PHARMACY,WV,MCDOWELL,9143,4.03425,900.0,1.5,5.0,201005,366.0
146,MD,CHAIN PHARMACY,WV,MCDOWELL,9193,0.45405,100.0,1.0,7.5,201007,529.0
147,MD,CHAIN PHARMACY,WV,MCDOWELL,9143,2.017125,300.0,1.5,7.5,201008,339.0
150,MD,CHAIN PHARMACY,WV,MCDOWELL,9193,1.8162,400.0,1.0,7.5,201109,632.0
152,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.793,200.0,1.5,10.0,200609,111.0
153,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.34475,200.0,1.5,7.5,200701,132.0
154,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,2.6895,200.0,1.5,15.0,200705,142.0
155,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,2.6895,600.0,1.5,5.0,200803,130.0
156,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.34475,100.0,1.5,15.0,200804,136.0
157,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.793,200.0,1.5,10.0,200805,173.0
158,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9193,0.3027,100.0,1.0,5.0,200810,295.0
159,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,2.6895,600.0,1.5,5.0,200810,211.0
161,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,3.5860000000000003,200.0,1.5,20.0,200901,227.0
162,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,0.672375,100.0,1.5,7.5,200907,180.0
163,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.793,200.0,1.5,10.0,200908,211.0
164,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,2.24125,500.0,1.5,5.0,200911,218.0
166,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,2.6895,300.0,1.5,10.0,201002,227.0
167,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.34475,200.0,1.5,7.5,201005,197.0
168,MD,CHAIN PHARMACY,WV,HAMPSHIRE,9143,1.34475,300.0,1.5,5.0,201008,263.0
