,REPORTER_STATE,BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year/month,quantity
0,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.6054,100.0,1.0,10.0,200601,580.0
2,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,400.0,1.5,10.0,200603,418.0
5,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.9081,200.0,1.0,7.5,200604,559.0
6,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,300.0,1.5,10.0,200605,424.0
8,CO,RETAIL PHARMACY,WY,NATRONA,9143,1.793,400.0,1.5,5.0,200607,431.0
10,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,200607,561.0
12,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,300.0,1.5,10.0,200609,446.0
14,CO,RETAIL PHARMACY,WY,NATRONA,9193,4.5405,1500.0,1.0,5.0,200610,650.0
15,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,600.0,1.5,5.0,200612,513.0
16,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.45405,100.0,1.0,7.5,200701,690.0
17,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,400.0,1.5,10.0,200701,521.0
18,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,200702,628.0
19,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.6054,200.0,1.0,5.0,200705,760.0
22,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,200706,699.0
23,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.241,500.0,1.5,5.0,200706,493.0
24,CO,RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,200707,726.0
25,CO,RETAIL PHARMACY,WY,NATRONA,9143,0.44825,100.0,1.5,5.0,200707,537.0
27,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.9081,300.0,1.0,5.0,200709,695.0
28,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,200710,813.0
29,CO,RETAIL PHARMACY,WY,NATRONA,9143,1.300507725,300.0,1.5,4.8355,200710,672.0
30,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,200711,689.0
31,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.241,500.0,1.5,5.0,200711,541.0
32,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,400.0,1.5,10.0,200712,596.0
33,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,600.0,1.5,5.0,200801,731.0
36,CO,RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,200802,627.0
37,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.9081,200.0,1.0,7.5,200803,657.0
39,CO,RETAIL PHARMACY,WY,NATRONA,9143,0.44825,100.0,1.5,5.0,200806,587.0
42,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,200807,781.0
43,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,200.0,1.5,20.0,200807,601.0
47,CO,RETAIL PHARMACY,WY,NATRONA,9143,5.379,200.0,1.5,30.0,200808,575.0
48,CO,RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,200809,685.0
49,CO,RETAIL PHARMACY,WY,NATRONA,9143,0.672375,100.0,1.5,7.5,200809,618.0
50,CO,RETAIL PHARMACY,WY,NATRONA,9143,21.516,300.0,1.5,80.0,200810,762.0
51,CO,RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,200810,753.0
52,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,200811,718.0
55,CO,RETAIL PHARMACY,WY,NATRONA,9143,0.672375,100.0,1.5,7.5,200811,602.0
56,CO,RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,200812,802.0
57,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,400.0,1.5,10.0,200812,613.0
58,CO,RETAIL PHARMACY,WY,NATRONA,9193,6.81075,1500.0,1.0,7.5,200901,799.0
59,CO,RETAIL PHARMACY,WY,NATRONA,9193,3.027,1000.0,1.0,5.0,200902,737.0
60,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,400.0,1.5,7.5,200902,545.0
61,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.9081,300.0,1.0,5.0,200903,761.0
62,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,100.0,1.5,40.0,200903,590.0
67,CO,RETAIL PHARMACY,WY,NATRONA,9193,1.5135,500.0,1.0,5.0,200904,765.0
69,CO,RETAIL PHARMACY,WY,NATRONA,9143,5.379,400.0,1.5,15.0,200905,654.0
71,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,200906,783.0
73,CO,RETAIL PHARMACY,WY,NATRONA,9143,1.34475,300.0,1.5,5.0,200906,739.0
76,CO,RETAIL PHARMACY,WY,NATRONA,9193,0.9081,200.0,1.0,7.5,200907,843.0
77,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,600.0,1.5,5.0,200907,723.0
79,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,200908,830.0
80,CO,RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,100.0,1.5,40.0,200908,719.0
81,CO,RETAIL PHARMACY,WY,NATRONA,9193,6.0539999999999985,1000.0,1.0,10.0,200909,789.0
83,CO,RETAIL PHARMACY,WY,NATRONA,9143,1.793,200.0,1.5,10.0,200909,723.0
84,CO,RETAIL PHARMACY,WY,NATRONA,9143,0.8965,100.0,1.5,10.0,200910,675.0
85,CO,RETAIL PHARMACY,WY,NATRONA,9143,2.6895,300.0,1.5,10.0,200912,820.0
86,CO,RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,201001,857.0
87,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.672375,100.0,1.5,7.5,200702,23.0
88,CO,RETAIL PHARMACY,WY,JOHNSON,9143,5.379,600.0,1.5,10.0,200703,57.0
89,CO,RETAIL PHARMACY,WY,JOHNSON,9143,2.24125,500.0,1.5,5.0,200705,16.0
91,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.672375,100.0,1.5,7.5,200708,35.0
92,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.44825,100.0,1.5,5.0,200711,30.0
93,CO,RETAIL PHARMACY,WY,JOHNSON,9193,1.5135,500.0,1.0,5.0,200711,19.0
94,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.793,200.0,1.5,10.0,200801,33.0
95,CO,RETAIL PHARMACY,WY,JOHNSON,9143,3.5860000000000003,100.0,1.5,40.0,200802,22.0
96,CO,RETAIL PHARMACY,WY,JOHNSON,9193,3.027,1000.0,1.0,5.0,200804,26.0
97,CO,RETAIL PHARMACY,WY,JOHNSON,9143,3.5860000000000003,100.0,1.5,40.0,200804,27.0
98,CO,RETAIL PHARMACY,WY,JOHNSON,9193,1.5135,500.0,1.0,5.0,200807,29.0
100,CO,RETAIL PHARMACY,WY,JOHNSON,9193,4.5405,1500.0,1.0,5.0,200901,20.0
101,CO,RETAIL PHARMACY,WY,JOHNSON,9143,4.4825,1000.0,1.5,5.0,200903,46.0
102,CO,RETAIL PHARMACY,WY,JOHNSON,9143,7.1720000000000015,100.0,1.5,80.0,200905,38.0
103,CO,RETAIL PHARMACY,WY,JOHNSON,9143,8.0685,600.0,1.5,15.0,200907,37.0
104,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.793,200.0,1.5,10.0,200908,80.0
105,CO,RETAIL PHARMACY,WY,JOHNSON,9193,3.027,1000.0,1.0,5.0,200910,41.0
106,CO,RETAIL PHARMACY,WY,JOHNSON,9193,0.6054,200.0,1.0,5.0,200911,30.0
107,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.34475,200.0,1.5,7.5,201001,52.0
108,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.34475,100.0,1.5,15.0,201002,23.0
109,CO,RETAIL PHARMACY,WY,JOHNSON,9193,1.5135,500.0,1.0,5.0,201003,24.0
110,CO,RETAIL PHARMACY,WY,JOHNSON,9193,3.027,1000.0,1.0,5.0,201005,28.0
111,CO,RETAIL PHARMACY,WY,JOHNSON,9193,2.27025,500.0,1.0,7.5,201007,27.0
112,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.793,100.0,1.5,20.0,201007,25.0
113,CO,RETAIL PHARMACY,WY,JOHNSON,9193,3.027,500.0,1.0,10.0,201008,22.0
114,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.793,400.0,1.5,5.0,201010,52.0
115,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.8965,100.0,1.5,10.0,201011,49.0
116,CO,RETAIL PHARMACY,WY,JOHNSON,9143,2.24125,500.0,1.5,5.0,201012,68.0
118,CO,RETAIL PHARMACY,WY,JOHNSON,9193,3.027,1000.0,1.0,5.0,201103,31.0
119,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.793,200.0,1.5,10.0,201103,77.0
120,CO,RETAIL PHARMACY,WY,JOHNSON,9143,2.24125,500.0,1.5,5.0,201106,67.0
121,CO,RETAIL PHARMACY,WY,JOHNSON,9143,1.34475,200.0,1.5,7.5,201107,62.0
122,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.44825,100.0,1.5,5.0,201109,68.0
124,CO,RETAIL PHARMACY,WY,JOHNSON,9143,5.379,1200.0,1.5,5.0,201110,64.0
126,CO,RETAIL PHARMACY,WY,JOHNSON,9143,2.6895,100.0,1.5,30.0,201111,60.0
127,CO,RETAIL PHARMACY,WY,JOHNSON,9143,7.1720000000000015,100.0,1.5,80.0,201112,59.0
128,CO,RETAIL PHARMACY,WY,JOHNSON,9143,7.1720000000000015,200.0,1.5,40.0,201204,50.0
129,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.672375,100.0,1.5,7.5,201208,56.0
130,CO,RETAIL PHARMACY,WY,JOHNSON,9193,1.5135,500.0,1.0,5.0,201209,30.0
131,CO,RETAIL PHARMACY,WY,JOHNSON,9143,3.5860000000000003,400.0,1.5,10.0,201209,53.0
132,CO,RETAIL PHARMACY,WY,JOHNSON,9143,0.672375,100.0,1.5,7.5,201210,44.0
134,CO,RETAIL PHARMACY,WY,CROOK,9143,0.672375,100.0,1.5,7.5,201001,11.0
135,CO,RETAIL PHARMACY,WY,CROOK,9193,0.45405,100.0,1.0,7.5,201003,32.0
136,CO,RETAIL PHARMACY,WY,CROOK,9193,0.3027,100.0,1.0,5.0,201004,23.0
137,CO,RETAIL PHARMACY,WY,CROOK,9143,3.5860000000000003,100.0,1.5,40.0,201004,15.0
138,CO,RETAIL PHARMACY,WY,CROOK,9193,0.3027,100.0,1.0,5.0,201010,21.0
139,CO,RETAIL PHARMACY,WY,CROOK,9193,0.3027,100.0,1.0,5.0,201012,23.0
140,CO,RETAIL PHARMACY,WY,CROOK,9193,0.45405,100.0,1.0,7.5,201101,26.0
141,CO,RETAIL PHARMACY,WY,CROOK,9193,0.3027,100.0,1.0,5.0,201102,23.0
142,CO,RETAIL PHARMACY,WY,CROOK,9193,0.45405,100.0,1.0,7.5,201103,26.0
143,CO,RETAIL PHARMACY,WY,CROOK,9143,0.44825,100.0,1.5,5.0,201107,10.0
144,CO,RETAIL PHARMACY,WY,CROOK,9193,0.45405,100.0,1.0,7.5,201109,12.0
145,CO,RETAIL PHARMACY,WY,CROOK,9143,1.793,100.0,1.5,20.0,201109,8.0
146,CO,RETAIL PHARMACY,WY,CROOK,9193,0.9081,200.0,1.0,7.5,201111,20.0
147,CO,RETAIL PHARMACY,WY,CROOK,9193,0.45405,100.0,1.0,7.5,201209,8.0
148,CO,RETAIL PHARMACY,WY,CROOK,9193,1.5135,500.0,1.0,5.0,201212,9.0
149,CO,RETAIL PHARMACY,WY,LARAMIE,9193,4.5405,1500.0,1.0,5.0,200602,333.0
150,CO,RETAIL PHARMACY,WY,LARAMIE,9193,3.027,500.0,1.0,10.0,200603,424.0
152,CO,RETAIL PHARMACY,WY,LARAMIE,9143,1.793,100.0,1.5,20.0,200603,592.0
154,CO,RETAIL PHARMACY,WY,LARAMIE,9143,0.8965,100.0,1.5,10.0,200604,439.0
155,CO,RETAIL PHARMACY,WY,LARAMIE,9143,14.344,200.0,1.5,80.0,200605,497.0
156,CO,RETAIL PHARMACY,WY,LARAMIE,9193,3.027,500.0,1.0,10.0,200605,420.0
158,CO,RETAIL PHARMACY,WY,LARAMIE,9193,0.6054,200.0,1.0,5.0,200606,462.0
160,CO,RETAIL PHARMACY,WY,LARAMIE,9143,1.793,100.0,1.5,20.0,200607,554.0
161,CO,RETAIL PHARMACY,WY,LARAMIE,9193,3.027,500.0,1.0,10.0,200608,495.0
162,CO,RETAIL PHARMACY,WY,LARAMIE,9143,1.34475,200.0,1.5,7.5,200609,601.0
165,CO,RETAIL PHARMACY,WY,LARAMIE,9143,0.403425,100.0,1.5,,200610,577.0
166,CO,RETAIL PHARMACY,WY,LARAMIE,9193,7.5675,2500.0,1.0,5.0,200611,448.0
167,CO,RETAIL PHARMACY,WY,LARAMIE,9143,3.5860000000000003,200.0,1.5,20.0,200611,611.0
168,CO,RETAIL PHARMACY,WY,LARAMIE,9143,3.5860000000000003,400.0,1.5,10.0,200612,578.0
170,CO,RETAIL PHARMACY,WY,LARAMIE,9143,7.1720000000000015,400.0,1.5,20.0,200701,677.0
171,CO,RETAIL PHARMACY,WY,LARAMIE,9143,3.13775,700.0,1.5,5.0,200702,562.0
172,CO,RETAIL PHARMACY,WY,LARAMIE,9193,3.027,500.0,1.0,10.0,200703,511.0
173,CO,RETAIL PHARMACY,WY,LARAMIE,9143,1.793,100.0,1.5,20.0,200703,644.0
175,CO,RETAIL PHARMACY,WY,LARAMIE,9143,3.5860000000000003,100.0,1.5,40.0,200705,697.0
178,CO,RETAIL PHARMACY,WY,LARAMIE,9143,0.44825,100.0,1.5,5.0,200706,626.0
