State,Year,mme,quantity,population,Deaths,deaths_percap,mme_percap
AK,2003,,,,42.0,,
AK,2004,,,,38.0,,
AK,2005,,,,39.0,,
AK,2006,162514.55336854467,0.0,642532.0,37.0,5.7584680607347183e-05,0.2529283418857655
AK,2007,175312.7331193713,0.0,629857.0,47.0,7.462011218419419e-05,0.278337357716706
AK,2008,193005.82279058325,0.0,640378.0,74.0,0.00011555674929494767,0.30139358752265577
AK,2009,210108.542888707,0.0,639536.0,99.0,0.00015479972980410797,0.32853278453239065
AK,2010,220748.3262921059,0.0,646688.0,43.0,6.649265178880697e-05,0.34135213007216136
AK,2011,235311.86998946845,0.0,646609.0,64.0,9.897789854456094e-05,0.36391678740857064
AK,2012,246522.61577752966,0.0,658466.0,86.0,0.0001306065916843087,0.37438928627678525
AK,2013,,,,66.0,,
AK,2014,,,,77.0,,
AK,2015,,,,78.0,,
AL,2003,,,,73.0,,
AL,2004,,,,120.0,,
AL,2005,,,,121.0,,
AL,2006,1423019.0378484018,0.0,4628981.0,175.0,3.7805296673285115e-05,0.3074151822719518
AL,2007,1636737.2580548527,0.0,4672840.0,287.0,6.14187517655216e-05,0.3502660604803188
AL,2008,1825978.2225508706,0.0,4718206.0,361.0,7.651213194167444e-05,0.38700688832807867
AL,2009,1971035.7393190223,0.0,4633360.0,409.0,8.827287324965036e-05,0.4254009486245451
AL,2010,2186342.0028284495,0.0,4712651.0,321.0,6.811452831962307e-05,0.46393038712785
AL,2011,2507324.8030823786,0.0,4747424.0,344.0,7.246034902296487e-05,0.5281442742595518
AL,2012,2729906.686633204,0.0,4777326.0,363.0,7.598392908501534e-05,0.5714298514761613
AL,2013,,,,437.0,,
AL,2014,,,,517.0,,
AL,2015,,,,534.0,,
AR,2003,,,,18.0,,
AR,2004,,,,35.0,,
AR,2005,,,,61.0,,
AR,2006,711197.3340813331,503626.0,2812324.0,72.0,2.560160209136643e-05,0.25288598827209563
AR,2007,850708.043794032,587942.0,2839172.0,81.0,2.8529444500016202e-05,0.29963244347085416
AR,2008,975546.3660186243,662860.0,2864981.0,107.0,3.7347542618956285e-05,0.34050709795933176
AR,2009,1104115.4845230903,749310.0,2820439.0,104.0,3.6873692357820893e-05,0.3914693721520268
AR,2010,1249199.242356842,843062.0,2854425.0,144.0,5.044798864920256e-05,0.43763603610423885
