BUYER_COUNTY,BUYER_STATE,mme,quantity,year,population
CALVERT,MD,27466.673385363727,19071.0,2006,87043.0
BALTIMORE,MD,264986.25437906786,165355.0,2006,793733.0
MONTGOMERY,MD,146858.66380270608,86190.0,2006,926492.0
ALLEGANY,MD,32397.404136038705,19776.0,2006,73980.0
WORCESTER,MD,20858.65970308832,14190.0,2006,50678.0
FREDERICK,MD,59153.730631964376,38454.0,2006,224211.0
CARROLL,MD,47272.608823401424,28906.0,2006,166950.0
KENT,MD,10551.40296858765,5968.0,2006,19786.0
WICOMICO,MD,35663.534997901545,23242.0,2006,94621.0
SAINT MARYS,MD,23934.57165022588,18585.0,2006,98849.0
HOWARD,MD,60214.55111611369,43041.0,2006,271793.0
CAROLINE,MD,8460.642751725038,5086.0,2006,32214.0
SOMERSET,MD,3320.2899900000075,2497.0,2006,26139.0
HARFORD,MD,92906.06214285383,54636.0,2006,241163.0
CECIL,MD,55442.789072251435,29164.0,2006,98821.0
TALBOT,MD,9135.3017655001,5647.0,2006,37000.0
DORCHESTER,MD,8448.972382500127,5207.0,2006,31677.0
QUEEN ANNES,MD,13279.633473862563,7418.0,2006,45716.0
BALTIMORE CITY,MD,213281.6927768568,119008.0,2006,621109.0
PRINCE GEORGES,MD,121705.34385764418,84301.0,2006,852097.0
CHARLES,MD,40350.27866862734,29493.0,2006,141164.0
WASHINGTON,MD,43037.24035390168,30795.0,2006,144286.0
GARRETT,MD,5290.194190087549,4438.0,2006,30147.0
ANNE ARUNDEL,MD,168318.12466685617,111951.0,2006,517698.0
WASHINGTON,MD,48696.228907713565,33362.0,2007,146173.0
CALVERT,MD,34776.344171901364,24950.0,2007,87445.0
HARFORD,MD,110392.31495447943,63772.0,2007,241634.0
HOWARD,MD,63990.227582938525,47380.0,2007,275196.0
BALTIMORE CITY,MD,195076.7372247929,120939.0,2007,620306.0
QUEEN ANNES,MD,16281.203620500104,9048.0,2007,46517.0
TALBOT,MD,10000.98203450013,6143.0,2007,37167.0
CAROLINE,MD,9503.610661725092,5727.0,2007,32720.0
ALLEGANY,MD,35543.91955986411,22828.0,2007,74449.0
PRINCE GEORGES,MD,138509.87127635587,96048.0,2007,849916.0
MONTGOMERY,MD,176105.7921845675,104266.0,2007,931694.0
CHARLES,MD,51539.25813866488,36086.0,2007,142721.0
GARRETT,MD,6854.6070750001,5499.0,2007,30148.0
KENT,MD,11443.047219525122,6328.0,2007,19801.0
CARROLL,MD,57926.026508813935,35014.0,2007,167390.0
CECIL,MD,64474.29024015138,31343.0,2007,99628.0
BALTIMORE,MD,309555.0973197335,193775.0,2007,796073.0
FREDERICK,MD,72045.59339186482,44947.0,2007,227463.0
WICOMICO,MD,40920.89383373905,24678.0,2007,96110.0
DORCHESTER,MD,8815.131023362617,5523.0,2007,32172.0
ANNE ARUNDEL,MD,186962.2920312929,126690.0,2007,520503.0
WORCESTER,MD,23857.033924725907,16120.0,2007,51049.0
SOMERSET,MD,3992.0907975000096,2862.0,2007,26534.0
SAINT MARYS,MD,34587.12004400156,24933.0,2007,100599.0
HOWARD,MD,69869.02159426383,51262.0,2008,278405.0
ANNE ARUNDEL,MD,198711.3675567413,136437.0,2008,525304.0
TALBOT,MD,10907.841903000108,6755.0,2008,37307.0
ALLEGANY,MD,37476.06939622666,25370.0,2008,74638.0
FREDERICK,MD,79023.19871801428,48252.0,2008,229286.0
CARROLL,MD,65503.3477731891,38703.0,2008,167433.0
QUEEN ANNES,MD,16215.309830000124,9394.0,2008,47063.0
WICOMICO,MD,53182.18705316368,29468.0,2008,97111.0
WORCESTER,MD,28053.01245517625,18055.0,2008,51196.0
SAINT MARYS,MD,41048.798763864,29008.0,2008,101921.0
SOMERSET,MD,5383.575522750008,3719.0,2008,26474.0
BALTIMORE,MD,337151.4235587389,211757.0,2008,798651.0
CECIL,MD,84832.30407442643,38477.0,2008,100232.0
KENT,MD,13148.29603811267,7342.0,2008,20150.0
HARFORD,MD,138097.9322930553,75021.0,2008,242779.0
BALTIMORE CITY,MD,208717.29415666746,131794.0,2008,620184.0
CALVERT,MD,40849.45554045148,27351.0,2008,87788.0
DORCHESTER,MD,9152.669473725122,5970.0,2008,32466.0
GARRETT,MD,7110.87165150013,5793.0,2008,30222.0
WASHINGTON,MD,53612.534888888425,36060.0,2008,146674.0
CHARLES,MD,57302.643523126775,36927.0,2008,143783.0
MONTGOMERY,MD,187271.57536441766,105694.0,2008,942748.0
CAROLINE,MD,9960.151329000106,5537.0,2008,32983.0
PRINCE GEORGES,MD,145430.70914801914,100070.0,2008,850167.0
ANNE ARUNDEL,MD,225722.99647868305,148764.0,2009,513711.0
CECIL,MD,108600.78086917636,44210.0,2009,99069.0
HOWARD,MD,81994.21403445092,59194.0,2009,274328.0
QUEEN ANNES,MD,18930.475320000132,11123.0,2009,46653.0
SOMERSET,MD,6675.697012500016,4212.0,2009,25943.0
HARFORD,MD,176708.50723362004,92018.0,2009,240297.0
CARROLL,MD,74609.9328176479,42648.0,2009,168964.0
CHARLES,MD,69485.77822972706,41020.0,2009,140181.0
SAINT MARYS,MD,41168.483917725935,27307.0,2009,100140.0
CALVERT,MD,51900.77917815148,32355.0,2009,88055.0
CAROLINE,MD,9848.777820225107,5596.0,2009,32727.0
WICOMICO,MD,62868.58268771322,34486.0,2009,92827.0
DORCHESTER,MD,9465.356775000124,6228.0,2009,31646.0
ALLEGANY,MD,43920.88201567637,28740.0,2009,72598.0
GARRETT,MD,8280.20904045017,6684.0,2009,29631.0
BALTIMORE CITY,MD,227130.8874944373,141562.0,2009,639337.0
TALBOT,MD,12481.85730000017,7747.0,2009,36034.0
PRINCE GEORGES,MD,172472.8637393677,108642.0,2009,834986.0
WORCESTER,MD,29131.79827725085,18100.0,2009,49081.0
BALTIMORE,MD,422900.7650205091,245886.0,2009,786697.0
KENT,MD,14626.701836587607,7758.0,2009,19998.0
WASHINGTON,MD,69778.22172270053,44016.0,2009,144158.0
FREDERICK,MD,95273.46130747627,54896.0,2009,224185.0
MONTGOMERY,MD,245821.2451968804,120828.0,2009,946172.0
MONTGOMERY,MD,278557.6567556629,134304.0,2010,947230.0
CALVERT,MD,62708.04301110107,36343.0,2010,87891.0
HARFORD,MD,197344.5629856777,99512.0,2010,242888.0
PRINCE GEORGES,MD,198808.2446691793,122603.0,2010,854722.0
HOWARD,MD,85797.36021487505,65350.0,2010,279366.0
CHARLES,MD,87325.13513636336,46883.0,2010,143912.0
WASHINGTON,MD,103807.53851883764,55606.0,2010,146329.0
CAROLINE,MD,10026.791580225105,5888.0,2010,32805.0
BALTIMORE,MD,492376.8880705064,279502.0,2010,799195.0
CARROLL,MD,83046.46389701236,47460.0,2010,167208.0
SAINT MARYS,MD,46581.58116750077,29911.0,2010,102086.0
SOMERSET,MD,9447.444127500059,5357.0,2010,26411.0
DORCHESTER,MD,9482.616022725146,6450.0,2010,32287.0
GARRETT,MD,9365.432752500197,7247.0,2010,30145.0
ALLEGANY,MD,46555.96088793873,31086.0,2010,74638.0
ANNE ARUNDEL,MD,248927.7746073429,160497.0,2010,527020.0
BALTIMORE CITY,MD,246072.4766939965,157501.0,2010,620538.0
TALBOT,MD,14070.669667725277,9074.0,2010,37361.0
CECIL,MD,158134.10693951233,59666.0,2010,100139.0
FREDERICK,MD,99034.90877520008,58842.0,2010,229205.0
QUEEN ANNES,MD,18808.225005000182,11400.0,2010,46945.0
KENT,MD,16192.438518862686,8607.0,2010,20018.0
WICOMICO,MD,91230.73201679943,45261.0,2010,96951.0
WORCESTER,MD,33604.340342250885,19548.0,2010,51133.0
BALTIMORE,MD,532668.9406750114,309303.0,2011,802487.0
DORCHESTER,MD,10372.942072500142,6688.0,2011,32480.0
CALVERT,MD,64869.52434862586,37008.0,2011,88329.0
QUEEN ANNES,MD,19940.4462043128,12201.0,2011,47468.0
CHARLES,MD,83675.50004703827,46992.0,2011,145508.0
KENT,MD,17090.078258625268,9743.0,2011,20098.0
BALTIMORE CITY,MD,258682.55633849878,165563.0,2011,620210.0
FREDERICK,MD,107995.86714791332,64064.0,2011,231725.0
CAROLINE,MD,10155.33408750011,6532.0,2011,32955.0
ANNE ARUNDEL,MD,267783.3547063185,171881.0,2011,532369.0
WORCESTER,MD,34788.975054300776,20918.0,2011,51307.0
WICOMICO,MD,107442.63326771118,52039.0,2011,97862.0
CECIL,MD,161644.6997289363,60915.0,2011,100716.0
HOWARD,MD,95876.20037362416,77647.0,2011,283655.0
WASHINGTON,MD,79285.12544339916,57716.0,2011,147118.0
SOMERSET,MD,11253.376237500052,6209.0,2011,26453.0
ALLEGANY,MD,49111.029454313466,31849.0,2011,74788.0
SAINT MARYS,MD,48033.591829312965,30606.0,2011,103805.0
GARRETT,MD,10336.932390000213,8190.0,2011,30128.0
TALBOT,MD,16283.90380500025,10553.0,2011,37575.0
PRINCE GEORGES,MD,217193.734058137,133222.0,2011,858539.0
CARROLL,MD,80948.63259990064,48819.0,2011,167277.0
MONTGOMERY,MD,237953.3016823873,132752.0,2011,959738.0
HARFORD,MD,198601.14126862914,102570.0,2011,243955.0
DORCHESTER,MD,9267.96399000013,5883.0,2012,32570.0
CECIL,MD,73406.31269609969,31852.0,2012,101109.0
QUEEN ANNES,MD,19767.078957900285,11682.0,2012,47894.0
FREDERICK,MD,119993.42542424955,67601.0,2012,234268.0
KENT,MD,16252.47992703761,9531.0,2012,20184.0
BALTIMORE CITY,MD,273115.53899921104,178909.0,2012,620644.0
WICOMICO,MD,65868.57668816201,37874.0,2012,98940.0
HOWARD,MD,103034.03279291085,80364.0,2012,288676.0
ANNE ARUNDEL,MD,264200.3854269752,171896.0,2012,538473.0
PRINCE GEORGES,MD,199326.03568199984,132139.0,2012,865443.0
SAINT MARYS,MD,52292.97043747542,34244.0,2012,105528.0
ALLEGANY,MD,46623.78647272562,32027.0,2012,74645.0
MONTGOMERY,MD,234768.48354093664,135543.0,2012,974824.0
CARROLL,MD,78193.79141711177,47844.0,2012,167249.0
WASHINGTON,MD,84436.8805799979,61723.0,2012,147882.0
GARRETT,MD,11112.387922500257,8891.0,2012,30079.0
BALTIMORE,MD,507414.3412069567,446463.0,2012,807318.0
WORCESTER,MD,29146.890552263343,18205.0,2012,51398.0
CAROLINE,MD,9183.256555875134,6116.0,2012,32947.0
CALVERT,MD,62004.93857362582,36557.0,2012,88774.0
TALBOT,MD,15567.240024525312,10783.0,2012,37746.0
CHARLES,MD,74879.26501203854,44682.0,2012,147107.0
HARFORD,MD,169289.09820454,97000.0,2012,245396.0
SOMERSET,MD,7398.1250475000525,4877.0,2012,26402.0
CASCADE,MT,24848.77674600126,17960.0,2006,79984.0
FERGUS,MT,2647.2912643625077,1536.0,2006,11501.0
SHERIDAN,MT,338.297484,177.0,2006,3507.0
LINCOLN,MT,9734.053466500054,4511.0,2006,19228.0
RICHLAND,MT,1112.0626095000025,865.0,2006,9267.0
STILLWATER,MT,1393.705687500002,928.0,2006,8659.0
FALLON,MT,862.2539760000003,488.0,2006,2722.0
ROOSEVELT,MT,858.6225930000003,530.0,2006,10285.0
BIG HORN,MT,1531.0910865000021,685.0,2006,12540.0
BROADWATER,MT,472.4381144999994,284.0,2006,4958.0
BEAVERHEAD,MT,1804.279275,1321.0,2006,9012.0
DEER LODGE,MT,2530.555924500003,1254.0,2006,9180.0
VALLEY,MT,1631.1918615000022,1150.0,2006,7272.0
ROSEBUD,MT,991.4116875000008,586.0,2006,9057.0
DAWSON,MT,2609.259205500007,1560.0,2006,8853.0
MINERAL,MT,802.9987770000023,362.0,2006,4211.0
POWELL,MT,1121.562562500003,693.0,2006,7115.0
TETON,MT,904.8167625000008,471.0,2006,6110.0
LAKE,MT,6907.033648612531,4114.0,2006,28283.0
MADISON,MT,627.5789250000001,453.0,2006,7343.0
MEAGHER,MT,226.08813749999985,131.0,2006,1923.0
FLATHEAD,MT,48138.36136900208,22565.0,2006,85759.0
